"                   ","Census Division"," ","Census Division"," ","Census Division"," ","Census Division"," ","Census Division"," ","Census Division"," ","Census Division"," ","Census Division"," ","Census Division"," ","Census Division"," "
"Census Division          ","New England"," ","Middle Atlantic"," ","East North Central"," ","West North Central"," ","South Atlantic"," ","East South Central"," ","West South Central"," ","Mountain"," ","Pacific"," ","U.S. Average"," "
"November",
"  Normal","703","  ","665","  ","757","  ","841","  ","442","  ","455","  ","305","  ","740","  ","366","  ","589","  ",
"  2015","584","  ","509","  ","596","  ","653","  ","325","  ","322","  ","229","  ","731","  ","393","  ","486","  ",
"  2016","639","  ","576","  ","575","  ","578","  ","384","  ","351","  ","172","  ","550","  ","263","  ","452","  ",
"  % Diff (normal to 2016)","-9.1","  ","-13.4","  ","-24.0","  ","-31.3","  ","-13.1","  ","-22.9","  ","-43.6","  ","-25.7","  ","-28.1","  ","-23.3","  ",
"  % Diff (2015 to 2016)","9.4","  ","13.2","  ","-3.5","  ","-11.5","  ","18.2","  ","9.0","  ","-24.9","  ","-24.8","  ","-33.1","  ","-7.0","  ",
"November to November",
"  Normal","703","  ","665","  ","757","  ","841","  ","442","  ","455","  ","305","  ","740","  ","366","  ","589","  ",
"  2015","584","  ","509","  ","596","  ","653","  ","325","  ","322","  ","229","  ","731","  ","393","  ","486","  ",
"  2016","639","  ","576","  ","575","  ","578","  ","384","  ","351","  ","172","  ","550","  ","263","  ","452","  ",
"  % Diff (normal to 2016)","-9.1","  ","-13.4","  ","-24.0","  ","-31.3","  ","-13.1","  ","-22.9","  ","-43.6","  ","-25.7","  ","-28.1","  ","-23.3","  ",
"  % Diff (2015 to 2016)","9.4","  ","13.2","  ","-3.5","  ","-11.5","  ","18.2","  ","9.0","  ","-24.9","  ","-24.8","  ","-33.1","  ","-7.0","  ",
