"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.06","  ","0.00","W ","0.00","W ","2.78","  ","3.07","  ","3.13","  ","3.25","  ","3.17","  ","3.26","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"Alaska","6.59","  ","5.39","  ","5.07","  ","6.86","  ","6.52","  ","6.49","  ","6.81","  ","7.10","  ","6.43","  ","6.47","  ","6.34","  ","6.43","  ","6.47","  ","5.40","  ","5.44","  ","5.48","  ","5.45","  ","5.48","  ","5.21","  ","5.19","  ","5.14","  ","4.86","  ","5.47","  ","5.41","  ","5.49","  ","5.95","  ","5.06","  ","5.13","  ","4.97","  ","4.96","  ","5.33","  ","5.27","  ","5.26","  ","5.42","  ","5.49","  ","5.47","  ","4.50","  ","4.56","  ","4.61","  ",
"Arizona","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.43","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.47","  ","3.54","  ","3.47","  ","3.73","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","5.30","  ","0.00","W ","4.88","  ","4.57","  ","4.89","  ","4.78","  ","5.17","  ","5.32","  ","5.78","  ","6.06","  ","0.00","W ","7.51","  ","5.85","  ",
"Arkansas","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ",
"California","0.00","W ","3.48","  ","5.29","  ","3.43","  ","3.59","  ","3.45","  ","3.48","  ","2.98","  ","0.00","W ","2.47","  ","2.59","  ","2.85","  ","3.08","  ","3.39","  ","2.95","  ","2.94","  ","3.18","  ","3.29","  ","3.52","  ","3.53","  ","3.51","  ","3.44","  ","3.34","  ","3.50","  ","3.73","  ","3.91","  ","5.22","  ","4.70","  ","4.86","  ","4.62","  ","4.81","  ","4.81","  ","5.07","  ","5.44","  ","5.47","  ","5.40","  ","5.81","  ","6.86","  ","5.24","  ",
"Colorado","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.81","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","4.72","  ","5.49","  ","5.21","  ","0.00","W ","4.87","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","6.06","  ","6.26","  ","0.00","W ","0.00","W ",
"Connecticut","3.52","  ","4.51","  ","0.00","W ","2.45","  ","2.92","  ","3.09","  ","3.13","  ","2.33","  ","2.39","  ","2.74","  ","4.63","  ","5.63","  ","6.12","  ","4.73","  ","5.06","  ","5.14","  ","3.17","  ","3.08","  ","2.69","  ","2.48","  ","2.19","  ","2.30","  ","2.99","  ","6.91","  ","12.82","  ","8.77","  ","6.82","  ","5.85","  ","5.18","  ","3.01","  ","0.00","W ","4.70","  ","3.72","  ","4.42","  ","4.13","  ","5.01","  ","11.54","  ","17.46","  ","14.98","  ",
"Delaware","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"District of Columbia","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"Florida","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","3.94","  ","3.72","  ","3.43","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","4.41","  ","3.98","  ","3.90","  ","4.31","  ","4.46","  ","4.45","  ","4.43","  ","4.52","  ","4.39","  ","0.00","W ","0.00","W ","4.78","  ","0.00","W ","5.58","  ","0.00","W ","0.00","W ","0.00","W ","0.00","W ","5.06","  ","0.00","W ","0.00","W ","0.00","W ","5.65","  ","0.00","W ","6.74","  ","5.76","  ",
