"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","13.74","  ","13.90","  ","14.81","  ","21.22","  ","21.10","  ","21.26","  ","20.57","  ","19.30","  ","17.16","  ","14.45","  ","12.15","  ","11.26","  ","12.14","  ","14.13","  ","14.48","  ","17.89","  ","19.36","  ","20.73","  ","20.86","  ","20.60","  ","19.61","  ","17.89","  ","15.37","  ","12.15","  ","12.21","  ","12.80","  ","14.62","  ","13.54","  ","14.52","  ","20.61","  ","21.87","  ","21.85","  ","21.81","  ","20.93","  ","18.64","  ","15.49","  ","13.80","  ","13.14","  ","13.18","  ",
"Alaska","9.89","  ","9.94","  ","9.02","  ","10.07","  ","11.36","  ","12.66","  ","12.98","  ","12.14","  ","10.41","  ","9.63","  ","9.09","  ","8.99","  ","8.87","  ","9.64","  ","8.76","  ","8.86","  ","9.40","  ","9.81","  ","11.41","  ","11.66","  ","11.29","  ","10.87","  ","10.03","  ","9.68","  ","9.64","  ","9.51","  ","9.11","  ","9.59","  ","9.22","  ","9.35","  ","10.43","  ","12.05","  ","12.01","  ","10.63","  ","7.77","  ","6.82","  ","7.18","  ","9.42","  ","9.49","  ",
"Arizona","15.58","  ","18.38","  ","17.29","  ","18.61","  ","20.69","  ","22.29","  ","21.49","  ","19.48","  ","17.44","  ","16.54","  ","18.06","  ","13.83","  ","11.99","  ","17.04","  ","12.75","  ","14.57","  ","20.78","  ","23.02","  ","24.02","  ","23.60","  ","21.54","  ","19.21","  ","18.94","  ","18.94","  ","18.88","  ","14.36","  ","17.20","  ","16.55","  ","17.48","  ","21.92","  ","23.70","  ","24.03","  ","23.29","  ","21.54","  ","18.99","  ","17.61","  ","18.04","  ","15.54","  ","13.03","  ",
"Arkansas","11.16","  ","11.61","  ","10.29","  ","18.42","  ","19.07","  ","18.86","  ","17.01","  ","15.57","  ","13.88","  ","11.01","  ","10.44","  ","9.16","  ","9.65","  ","11.58","  ","10.48","  ","13.97","  ","17.62","  ","18.98","  ","19.43","  ","17.76","  ","16.16","  ","13.91","  ","11.66","  ","9.99","  ","10.90","  ","10.65","  ","10.39","  ","10.38","  ","11.72","  ","17.48","  ","18.96","  ","18.85","  ","18.24","  ","16.07","  ","13.29","  ","10.65","  ","8.98","  ","8.66","  ","8.94","  ",
"California","11.63","  ","11.52","  ","11.60","  ","13.39","  ","13.34","  ","12.90","  ","11.97","  ","11.37","  ","11.52","  ","10.50","  ","10.60","  ","11.53","  ","11.46","  ","11.39","  ","11.38","  ","10.31","  ","11.54","  ","11.92","  ","11.86","  ","11.69","  ","11.73","  ","11.35","  ","10.93","  ","11.29","  ","11.53","  ","11.68","  ","11.51","  ","11.27","  ","11.04","  ","12.32","  ","12.32","  ","12.05","  ","12.50","  ","12.03","  ","12.14","  ","11.46","  ","11.76","  ","11.12","  ","10.69","  ",
"Colorado","7.59","  ","8.95","  ","9.19","  ","9.75","  ","12.12","  ","14.28","  ","14.02","  ","12.51","  ","7.09","  ","6.87","  ","6.71","  ","6.48","  ","6.10","  ","8.27","  ","6.48","  ","6.92","  ","9.31","  ","13.17","  ","13.68","  ","14.38","  ","11.28","  ","9.25","  ","8.07","  ","8.50","  ","7.97","  ","8.05","  ","8.89","  ","8.15","  ","8.08","  ","10.06","  ","13.58","  ","15.47","  ","15.45","  ","12.81","  ","10.23","  ","9.30","  ","8.21","  ","7.84","  ","7.66","  ",
"Connecticut","13.10","  ","12.57","  ","14.56","  ","16.63","  ","22.18","  ","24.07","  ","21.75","  ","19.19","  ","15.03","  ","12.87","  ","11.74","  ","10.67","  ","10.34","  ","12.50","  ","11.84","  ","12.53","  ","15.33","  ","21.54","  ","19.36","  ","18.26","  ","17.41","  ","14.40","  ","12.54","  ","11.00","  ","11.10","  ","11.67","  ","14.13","  ","12.38","  ","12.65","  ","17.79","  ","20.30","  ","20.65","  ","20.34","  ","20.33","  ","17.78","  ","16.51","  ","13.89","  ","13.13","  ","11.30","  ",
"Delaware","11.80","  ","12.70","  ","13.28","  ","19.78","  ","22.48","  ","24.20","  ","21.34","  ","17.54","  ","13.44","  ","11.47","  ","10.24","  ","9.71","  ","10.09","  ","12.62","  ","11.09","  ","14.03","  ","18.50","  ","23.22","  ","23.75","  ","21.80","  ","20.74","  ","16.05","  ","12.74","  ","11.27","  ","11.33","  ","11.23","  ","13.21","  ","12.09","  ","14.86","  ","21.17","  ","23.45","  ","23.95","  ","22.96","  ","20.49","  ","15.55","  ","12.79","  ","11.88","  ","11.79","  ","11.92","  ",
"District of Columbia","0.00","NA","12.18","  ","13.29","  ","0.00","NA","19.45","  ","20.11","  ","18.38","  ","15.35","  ","12.56","  ","10.55","  ","10.72","  ","9.53","  ","9.96","  ","11.98","  ","10.25","  ","12.06","  ","15.52","  ","17.40","  ","17.38","  ","16.93","  ","16.63","  ","14.34","  ","12.16","  ","11.94","  ","10.50","  ","11.34","  ","13.05","  ","11.85","  ","12.50","  ","14.12","  ","16.87","  ","16.90","  ","17.99","  ","16.68","  ","14.23","  ","14.02","  ","14.57","  ","11.77","  ","11.40","  ",
"Florida","19.27","  ","19.39","  ","19.17","  ","23.28","  ","23.87","  ","23.96","  ","24.18","  ","22.59","  ","20.69","  ","17.98","  ","17.20","  ","16.13","  ","16.92","  ","19.55","  ","19.43","  ","21.87","  ","23.71","  ","24.76","  ","24.94","  ","24.67","  ","22.91","  ","21.53","  ","19.02","  ","16.40","  ","16.15","  ","16.83","  ","19.02","  ","17.20","  ","20.31","  ","23.66","  ","24.73","  ","25.39","  ","24.68","  ","22.02","  ","20.88","  ","18.70","  ","17.27","  ","15.81","  ","16.01","  ",
