"                   ","NGLC"," ","Natural Gas Spot"," ","Citygate"," ","Residential"," ","Residential"," ","Commercial"," ","Commercial"," ","Industrial"," ","Industrial"," ","Electric Power"," "
"Year and Month     ","Price"," ","Price"," ","Price"," ","Price"," ","Percentage"," ","Price"," ","Percentage"," ","Price"," ","Percentage"," ","Price"," "
"  October                 ","8.75","  ","3.78","  ","5.16","  ","13.11","  ","95.3","  ","8.96","  ","58.8","  ","4.97","  ","14.8","  ","4.23","  ",
"  November                 ","7.84","  ","4.12","  ","4.91","  ","10.19","  ","95.8","  ","8.29","  ","66.1","  ","4.97","  ","15.7","  ","4.68","  ",
"  December                 ","5.63","  ","3.48","  ","5.15","  ","10.01","  ","95.6","  ","8.52","  ","68.4","  ","5.54","  ","15.9","  ","4.50","  ",
"Annual Average","9.56","  ","4.37","  ","5.71","  ","10.97","  ","95.5","  ","8.90","  ","65.8","  ","5.55","  ","15.9","  ","5.19","  ",
"2015",
"  January                 ","5.08","  ","2.99","  ","4.48","  ","9.50","  ","95.8","  ","8.15","  ","71.0","  ","4.76","  ","15.9","  ","4.29","  ",
"  February                 ","5.70","  ","2.87","  ","4.54","  ","9.10","  ","95.7","  ","7.83","  ","71.1","  ","4.60","  ","16.1","  ","4.99","  ",
"  March                 ","5.52","  ","2.83","  ","4.35","  ","9.28","  ","95.5","  ","7.79","  ","70.1","  ","4.35","  ","16.6","  ","3.71","  ",
"  April                 ","5.58","  ","2.61","  ","3.93","  ","10.42","  ","95.5","  ","7.99","  ","64.7","  ","3.86","  ","15.8","  ","3.23","  ",
"  May                 ","5.25","  ","2.85","  ","4.24","  ","12.61","  ","95.5","  ","8.04","  ","61.5","  ","3.49","R","16.4","  ","3.28","  ",
"  June                 ","4.78","  ","2.78","  ","4.43","  ","15.07","  ","95.5","  ","8.50","  ","57.8","  ","3.69","  ","15.6","  ","3.24","  ",
"  July                 ","4.73","  ","2.84","  ","4.65","  ","16.21","  ","95.7","  ","8.45","  ","57.1","  ","3.67","  ","15.6","  ","3.23","  ",
"  August                 ","4.42","  ","2.77","  ","4.58","  ","16.80","  ","95.5","  ","8.45","  ","55.1","  ","3.73","  ","15.3","  ","3.22","  ",
"  September                 ","4.89","  ","2.66","  ","4.54","  ","16.37","  ","95.9","  ","8.37","  ","56.0","  ","3.58","  ","15.5","  ","3.19","  ",
"  October                 ","4.95","  ","2.34","  ","4.00","  ","12.59","  ","95.5","  ","7.74","  ","60.4","  ","3.45","  ","15.7","  ","3.03","  ",
"  November                 ","4.72","  ","2.09","  ","3.68","  ","10.06","  ","96.0","  ","7.38","  ","64.0","  ","3.18","  ","15.9","  ","2.78","  ",
"  December                 ","4.23","  ","1.93","  ","3.76","  ","9.29","  ","96.1","  ","7.21","  ","67.8","  ","3.38","  ","16.0","  ","2.71","  ",
"Annual Average","4.97","  ","2.62","  ","4.25","  ","10.38","  ","95.7","  ","7.89","  ","65.9","  ","3.84","  ","15.9","  ","3.37","  ",
"2016",
"  January                 ","3.69","  ","2.28","  ","3.44","  ","8.30","R","96.0","  ","6.74","R","70.5","R","3.49","R","16.3","  ","3.16","  ",
"  February                 ","3.89","  ","1.99","  ","3.46","  ","8.39","  ","95.9","  ","6.82","  ","69.2","  ","3.54","  ","16.1","  ","2.83","  ",
"2016 2-Month YTD","3.79","  ","2.14","  ","3.45","  ","8.34","  ","96.0","  ","6.78","  ","69.9","  ","3.51","  ","16.2","  ","3.00","  ",
"2015 2-Month YTD","5.38","  ","2.93","  ","4.51","  ","9.30","  ","95.7","  ","7.99","  ","71.0","  ","4.68","  ","16.0","  ","4.62","  ",
"2014 2-Month YTD","11.77","  ","5.32","  ","5.94","  ","9.50","  ","95.6","  ","8.39","  ","70.6","  ","6.09","  ","16.8","  ","7.61","  ",
