"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","1,691","– –","– –","2,356","-214","-128","15","3,612","79","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","778","-20","124","79","-262","– –","9","106","278","307"
"Pentanes Plus","94","-20","– –","1","142","– –","-2","24","191","4"
"Liquefied Petroleum Gases","684","– –","124","78","-404","– –","11","82","87","303"
"Ethane/Ethylene","233","– –","–","–","-101","– –","2","–","69","61"
"Propane/Propylene","300","– –","115","63","-257","– –","2","–","7","212"
"Normal Butane/Butylene","97","– –","13","9","-49","– –","7","29","11","22"
"Isobutane/Isobutylene","55","– –","-3","7","3","– –","0","53","0","9"
"Other Liquids","– –","977","– –","8","-293","-25","-11","658","29","-9"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","977","– –","2","-603","-58","-1","301","18","0"
"Hydrogen","– –","– –","– –","–","–","35","– –","35","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","0","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","977","– –","2","-603","-94","-1","265","18","0"
"Fuel Ethanol","– –","909","– –","–","-588","-58","-1","249","15","0"
"Renewable Fuels Except Fuel Ethanol","– –","68","– –","2","-15","-36","0","15","4","0"
"Other Hydrocarbons","– –","– –","– –","0","–","1","0","1","–","0"
"Unfinished Oils","– –","– –","– –","–","-17","– –","0","-13","5","-9"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","6","327","33","-10","370","6","0"
"Reformulated","– –","–","– –","–","83","-38","0","45","0","0"
"Conventional","– –","0","– –","6","244","71","-10","325","6","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","3","4,472","27","202","61","-11","– –","60","4,715"
"Finished Motor Gasoline","– –","3","2,622","0","30","25","-1","– –","11","2,671"
"Reformulated","– –","–","370","–","–","41","–","– –","–","411"
"Conventional","– –","3","2,252","0","30","-16","-1","– –","11","2,260"
"Finished Aviation Gasoline","– –","– –","2","0","1","– –","0","– –","–","3"
"Kerosene-Type Jet Fuel","– –","– –","239","0","30","– –","1","– –","13","254"
"Kerosene","– –","– –","3","0","1","– –","0","– –","1","3"
"Distillate Fuel Oil","– –","– –","1,025","2","158","36","-2","– –","8","1,215"
"15 ppm sulfur and under","– –","– –","1,025","1","155","36","-3","– –","2","1,218"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","2","–","3","–","0","– –","4","1"
"Greater than 500 ppm sulfur","– –","– –","-2","1","0","– –","1","– –","2","-4"
"Residual Fuel Oil","– –","– –","52","3","-25","– –","0","– –","8","21"
"Less than 0.31 percent sulfur","– –","– –","3","–","–","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","7","2","0","– –","0","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","41","1","-25","– –","0","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","29","5","-3","– –","0","– –","–","31"
"Naphtha for Petro. Feed. Use","– –","– –","22","3","-3","– –","0","– –","–","22"
"Other Oils for Petro. Feed. Use","– –","– –","7","2","0","– –","0","– –","–","9"
"Special Naphthas","– –","– –","1","2","1","– –","0","– –","–","4"
"Lubricants","– –","– –","9","7","7","– –","0","– –","6","17"
"Waxes","– –","– –","1","0","–","– –","0","– –","1","0"
"Petroleum Coke","– –","– –","188","1","–","– –","-1","– –","8","181"
"Marketable","– –","– –","140","1","–","– –","-1","– –","8","133"
"Catalyst","– –","– –","48","– –","– –","– –","– –","– –","– –","48"
"Asphalt and Road Oil","– –","– –","144","7","2","– –","-7","– –","4","156"
"Still Gas","– –","– –","142","– –","– –","– –","– –","– –","– –","142"
"Miscellaneous Products","– –","– –","15","–","0","– –","0","– –","0","16"
"Total","2,470","960","4,597","2,471","-568","-92","2","4,376","446","5,014"
