"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","643","– –","– –","401","-360","-62","-7","626","2","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","388","0","9","10","-337","– –","-12","26","12","44"
"Pentanes Plus","61","0","– –","–","-46","– –","0","6","12","-4"
"Liquefied Petroleum Gases","327","– –","9","10","-291","– –","-13","19","0","48"
"Ethane/Ethylene","105","– –","–","–","-90","– –","0","–","–","16"
"Propane/Propylene","141","– –","10","10","-126","– –","-1","–","0","36"
"Normal Butane/Butylene","56","– –","-2","–","-48","– –","-12","12","–","5"
"Isobutane/Isobutylene","25","– –","1","0","-27","– –","1","7","–","-8"
"Other Liquids","– –","14","– –","1","7","-22","5","-7","1","1"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","14","– –","0","14","10","0","38","0","0"
"Hydrogen","– –","– –","– –","–","–","7","– –","7","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","– –","14","– –","0","14","3","0","31","0","0"
"Fuel Ethanol","– –","14","– –","–","13","2","0","30","0","0"
"Renewable Fuels Except Fuel Ethanol","– –","–","– –","0","1","1","0","1","0","0"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","–","–","– –","-9","7","1","1"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","1","-7","-32","14","-52","0","0"
"Reformulated","– –","–","– –","–","–","–","–","–","–","–"
"Conventional","– –","–","– –","–","-7","-32","14","-52","0","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","667","2","9","29","41","– –","1","665"
"Finished Motor Gasoline","– –","–","311","–","-14","30","13","– –","0","315"
"Reformulated","– –","–","–","–","–","–","–","– –","–","–"
"Conventional","– –","–","311","–","-14","30","13","– –","0","315"
"Finished Aviation Gasoline","– –","– –","0","–","–","– –","0","– –","–","0"
"Kerosene-Type Jet Fuel","– –","– –","30","–","28","– –","4","– –","–","54"
"Kerosene","– –","– –","–","–","–","– –","0","– –","–","0"
"Distillate Fuel Oil","– –","– –","223","0","-5","-1","19","– –","–","199"
"15 ppm sulfur and under","– –","– –","220","0","-5","-1","18","– –","–","197"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","3","–","–","–","1","– –","–","1"
"Greater than 500 ppm sulfur","– –","– –","0","–","–","– –","0","– –","–","0"
"Residual Fuel Oil","– –","– –","13","–","–","– –","1","– –","0","11"
"Less than 0.31 percent sulfur","– –","– –","8","–","–","– –","1","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","0","–","–","– –","0","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","4","–","–","– –","0","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","–","–","–","– –","–","– –","–","–"
"Naphtha for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Special Naphthas","– –","– –","–","–","–","– –","–","– –","–","–"
"Lubricants","– –","– –","–","–","–","– –","–","– –","0","0"
"Waxes","– –","– –","–","–","–","– –","–","– –","0","0"
"Petroleum Coke","– –","– –","28","–","–","– –","2","– –","0","25"
"Marketable","– –","– –","20","–","–","– –","2","– –","0","17"
"Catalyst","– –","– –","8","– –","– –","– –","– –","– –","– –","8"
"Asphalt and Road Oil","– –","– –","35","1","–","– –","3","– –","0","34"
"Still Gas","– –","– –","24","– –","– –","– –","– –","– –","– –","24"
"Miscellaneous Products","– –","– –","3","0","–","– –","0","– –","–","3"
"Total","1,031","14","676","414","-681","-55","27","644","16","711"
