"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","341,855","– –","– –","391,912","43,313","13,778","-2,023","789,571","3,311","0","52,121"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","21,062","-145","20,533","5,745","8,347","– –","1,235","25,292","13,871","15,144","6,168"
"Pentanes Plus","9,873","-145","– –","–","–","– –","-8","8,256","168","1,312","36"
"Liquefied Petroleum Gases","11,189","– –","20,533","5,745","8,347","– –","1,243","17,036","13,703","13,832","6,132"
"Ethane/Ethylene","19","– –","–","–","–","– –","–","–","–","19","–"
"Propane/Propylene","3,701","– –","15,497","5,194","3,782","– –","645","–","9,565","17,964","2,137"
"Normal Butane/Butylene","3,666","– –","3,901","508","3,496","– –","606","9,261","4,138","-2,434","3,535"
"Isobutane/Isobutylene","3,803","– –","1,135","43","1,069","– –","-8","7,775","0","-1,717","460"
"Other Liquids","– –","8,784","– –","39,869","105,328","-2,885","-353","154,099","6,574","-9,224","50,933"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","8,784","– –","5,755","49,697","10,542","629","72,797","1,352","0","4,057"
"Hydrogen","– –","– –","– –","–","–","13,664","– –","13,664","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","16","–","–","16","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","8,784","– –","5,755","49,697","-3,138","629","59,133","1,336","0","4,057"
"Fuel Ethanol","– –","6,119","– –","756","46,946","358","263","52,840","1,077","0","2,742"
"Renewable Fuels Except Fuel Ethanol","– –","2,665","– –","4,999","2,751","-3,496","366","6,293","260","0","1,315"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","24,539","–","– –","-1,342","34,067","1,038","-9,224","19,687"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","9,575","55,631","-13,427","360","47,235","4,184","0","27,189"
"Reformulated","– –","–","– –","727","27,396","-1,949","448","25,722","4","0","13,662"
"Conventional","– –","–","– –","8,848","28,235","-11,477","-88","21,513","4,181","0","13,527"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","1,012,513","62,294","19,259","16,029","-135","– –","107,713","1,002,518","32,602"
"Finished Motor Gasoline","– –","–","538,308","994","4,115","13,069","773","– –","15,922","539,791","2,690"
"Reformulated","– –","–","374,571","–","–","-2,022","6","– –","–","372,543","20"
"Conventional","– –","–","163,737","994","4,115","15,090","767","– –","15,922","167,247","2,670"
"Finished Aviation Gasoline","– –","– –","577","61","24","– –","102","– –","–","560","286"
"Kerosene-Type Jet Fuel","– –","– –","143,549","30,643","2,550","– –","513","– –","8,043","168,186","8,999"
"Kerosene","– –","– –","112","–","–","– –","-8","– –","25","95","46"
"Distillate Fuel Oil","– –","– –","185,384","4,903","12,080","2,961","-811","– –","31,029","175,110","13,031"
"15 ppm sulfur and under","– –","– –","176,561","4,633","12,080","2,961","-712","– –","20,227","176,720","11,991"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","3,383","54","–","–","-154","– –","4,271","-680","187"
"Greater than 500 ppm sulfur","– –","– –","5,440","216","–","– –","55","– –","6,531","-930","853"
"Residual Fuel Oil","– –","– –","36,710","23,325","599","– –","-309","– –","10,609","50,334","3,851"
"Less than 0.31 percent sulfur","– –","– –","80","–","–","– –","-53","– –","NA","NA","231"
"0.31 to 1.00 percent sulfur","– –","– –","7,257","594","–","– –","-155","– –","NA","NA","449"
"Greater than 1.00 percent sulfur","– –","– –","29,373","22,731","–","– –","-101","– –","NA","NA","3,165"
"Petrochemical Feedstocks","– –","– –","41","336","–","– –","1","– –","–","376","3"
"Naphtha for Petro. Feed. Use","– –","– –","41","336","–","– –","1","– –","–","376","3"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Special Naphthas","– –","– –","319","–","–","– –","-18","– –","–","337","44"
"Lubricants","– –","– –","4,817","192","-109","– –","-185","– –","2,193","2,892","825"
"Waxes","– –","– –","–","490","–","– –","–","– –","75","415","–"
"Petroleum Coke","– –","– –","49,463","313","–","– –","-45","– –","39,360","10,461","1,157"
"Marketable","– –","– –","38,276","313","–","– –","-45","– –","39,360","-726","1,157"
"Catalyst","– –","– –","11,187","– –","– –","– –","– –","– –","– –","11,187","– –"
"Asphalt and Road Oil","– –","– –","8,454","1,037","–","– –","-165","– –","446","9,210","1,588"
"Still Gas","– –","– –","40,518","– –","– –","– –","– –","– –","– –","40,518","– –"
"Miscellaneous Products","– –","– –","4,261","–","–","– –","17","– –","10","4,234","82"
"Total","362,917","8,639","1,033,046","499,820","176,247","26,923","-1,276","968,962","131,469","1,008,438","141,824"
