"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Liquefied Refinery Gases","311","-67","244","986","-164","-98","724","364","4,597","4,247","-49","9","9,168","267","17","10,420"
"Ethane/Ethylene","8","–","8","–","–","–","–","1","105","1","–","–","107","–","–","115"
"Ethane","–","–","–","–","–","–","–","1","94","1","–","–","96","–","–","96"
"Ethylene","8","–","8","–","–","–","–","–","11","–","–","–","11","–","–","19"
"Propane/Propylene","1,151","16","1,167","2,281","416","651","3,348","768","5,985","4,696","27","41","11,517","295","1,365","17,692"
"Propane","711","16","727","1,486","237","458","2,181","374","2,462","2,115","26","41","5,018","284","1,063","9,273"
"Propylene","440","–","440","795","179","193","1,167","394","3,523","2,581","1","–","6,499","11","302","8,419"
"Normal Butane/Butylene","-748","-63","-811","-1,307","-533","-727","-2,567","-382","-1,091","-562","-76","-34","-2,145","-54","-1,327","-6,904"
"Normal Butane","-675","-63","-738","-1,246","-533","-724","-2,503","-382","-960","-732","-76","-36","-2,186","-53","-1,297","-6,777"
"Butylene","-73","–","-73","-61","–","-3","-64","–","-131","170","–","2","41","-1","-30","-127"
"Isobutane/Isobutylene","-100","-20","-120","12","-47","-22","-57","-23","-402","112","–","2","-311","26","-21","-483"
"Isobutane","-100","-20","-120","12","-47","-22","-57","-23","-386","112","–","2","-295","26","-21","-467"
"Isobutylene","–","–","–","–","–","–","–","–","-16","–","–","–","-16","–","–","-16"
"Finished Motor Gasoline","88,764","7,365","96,129","50,669","10,920","16,527","78,116","19,995","25,758","11,678","9,411","1,731","68,573","9,333","47,226","299,377"
"Reformulated","38,886","–","38,886","8,289","1,507","1,050","10,846","7,306","6,388","–","–","–","13,694","–","33,012","96,438"
"Reformulated Blended with Fuel Ethanol","38,886","–","38,886","8,289","1,507","1,050","10,846","7,306","6,388","–","–","–","13,694","–","33,012","96,438"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","49,878","7,365","57,243","42,380","9,413","15,477","67,270","12,689","19,370","11,678","9,411","1,731","54,879","9,333","14,214","202,939"
"Conventional Blended with Fuel Ethanol","52,981","7,113","60,094","39,141","9,805","14,142","63,088","11,685","1,693","4,555","10,121","1,536","29,590","8,822","13,125","174,719"
"Ed55 and Lower","52,944","7,113","60,057","39,133","9,785","14,097","63,015","11,677","1,693","4,555","10,111","1,536","29,572","8,813","13,122","174,579"
"Greater than Ed55","37","–","37","8","20","45","73","8","–","–","10","–","18","9","3","140"
"Conventional Other","-3,103","252","-2,851","3,239","-392","1,335","4,182","1,004","17,677","7,123","-710","195","25,289","511","1,089","28,220"
"Finished Aviation Gasoline","–","–","–","–","17","–","17","85","61","142","–","–","288","5","89","399"
"Kerosene-Type Jet Fuel","2,691","–","2,691","5,434","834","1,104","7,372","1,300","13,185","12,547","165","–","27,197","898","12,057","50,215"
