"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","15,088","– –","– –","290,427","71,333","44,019","-2,011","372,544","50,334","0","14,163"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","117,318","-159","10,888","14,326","-19,283","– –","1,144","11,659","22,252","88,035","9,414"
"Pentanes Plus","12,029","-159","– –","–","-31","– –","181","1,295","1,062","9,301","390"
"Liquefied Petroleum Gases","105,289","– –","10,888","14,326","-19,252","– –","963","10,364","21,190","78,734","9,024"
"Ethane/Ethylene","46,736","– –","137","43","-42,506","– –","172","–","6,485","-2,247","290"
"Propane/Propylene","40,226","– –","11,822","12,855","23,109","– –","561","–","13,150","74,301","7,284"
"Normal Butane/Butylene","12,352","– –","-738","485","496","– –","233","6,343","1,544","4,475","1,261"
"Isobutane/Isobutylene","5,975","– –","-333","943","-351","– –","-3","4,021","10","2,206","189"
"Other Liquids","– –","10,374","– –","215,096","580,737","103,454","2,939","906,088","20,498","-19,864","71,522"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","10,407","– –","7,541","99,448","-112","-434","116,349","1,369","0","8,231"
"Hydrogen","– –","– –","– –","–","–","1,138","– –","1,138","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","18","–","–","18","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","10,407","– –","7,535","99,448","-1,262","-434","115,211","1,351","0","8,231"
"Fuel Ethanol","– –","8,520","– –","12","98,003","5,380","-1,035","111,650","1,300","0","6,183"
"Renewable Fuels Except Fuel Ethanol","– –","1,887","– –","7,523","1,445","-6,642","601","3,561","51","0","2,048"
"Other Hydrocarbons","– –","– –","– –","6","–","-6","–","–","–","0","–"
"Unfinished Oils","– –","– –","– –","13,182","-319","– –","-612","16,125","17,214","-19,864","4,865"
"Motor Gasoline Blend.Comp. (MGBC)","– –","-33","– –","194,373","481,608","103,566","3,985","773,614","1,915","0","58,426"
"Reformulated","– –","–","– –","61,795","87,470","41,440","-831","191,531","5","0","18,926"
"Conventional","– –","-33","– –","132,578","394,138","62,126","4,816","582,083","1,910","0","39,500"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","1,294,628","117,128","489,787","-102,848","3,199","– –","46,465","1,749,031","103,019"
"Finished Motor Gasoline","– –","–","1,081,337","18,881","76,757","-108,946","-1,352","– –","843","1,068,537","4,486"
"Reformulated","– –","–","435,381","–","44","-32,200","8","– –","–","403,217","24"
"Conventional","– –","–","645,956","18,881","76,713","-76,747","-1,360","– –","843","665,320","4,462"
"Finished Aviation Gasoline","– –","– –","–","10","5,740","– –","-16","– –","–","5,766","125"
"Kerosene-Type Jet Fuel","– –","– –","29,421","19,084","147,456","– –","2,688","– –","567","192,706","12,761"
"Kerosene","– –","– –","682","630","–","– –","-149","– –","326","1,135","1,833"
"Distillate Fuel Oil","– –","– –","115,988","39,317","250,762","6,098","3,064","– –","22,965","386,136","67,516"
"15 ppm sulfur and under","– –","– –","102,546","26,940","227,763","6,098","4,035","– –","18,662","340,651","53,382"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","2,594","1,227","3,128","–","1,696","– –","3,536","1,717","6,900"
"Greater than 500 ppm sulfur","– –","– –","10,848","11,150","19,871","– –","-2,667","– –","767","43,769","7,234"
"Residual Fuel Oil","– –","– –","15,808","26,235","5","– –","-878","– –","11,411","31,515","10,572"
"Less than 0.31 percent sulfur","– –","– –","2,541","1,834","-194","– –","-698","– –","NA","NA","904"
"0.31 to 1.00 percent sulfur","– –","– –","1,794","3,378","–","– –","102","– –","NA","NA","2,729"
"Greater than 1.00 percent sulfur","– –","– –","11,473","21,023","199","– –","-282","– –","NA","NA","6,939"
"Petrochemical Feedstocks","– –","– –","1,537","36","-151","– –","66","– –","–","1,356","217"
"Naphtha for Petro. Feed. Use","– –","– –","1,537","23","–","– –","66","– –","–","1,494","217"
"Other Oils for Petro. Feed. Use","– –","– –","–","13","-151","– –","–","– –","–","-138","–"
"Special Naphthas","– –","– –","239","–","–","– –","-7","– –","–","246","23"
"Lubricants","– –","– –","4,408","2,108","5,694","– –","78","– –","2,258","9,874","1,288"
"Waxes","– –","– –","63","827","–","– –","32","– –","599","259","333"
"Petroleum Coke","– –","– –","11,856","1,704","–","– –","–","– –","6,464","7,096","–"
"Marketable","– –","– –","4,310","1,704","–","– –","–","– –","6,464","-450","–"
"Catalyst","– –","– –","7,546","– –","– –","– –","– –","– –","– –","7,546","– –"
"Asphalt and Road Oil","– –","– –","18,299","8,296","3,524","– –","-327","– –","880","29,566","3,828"
"Still Gas","– –","– –","14,076","– –","– –","– –","– –","– –","– –","14,076","– –"
"Miscellaneous Products","– –","– –","914","–","–","– –","0","– –","153","761","37"
"Total","132,406","10,215","1,305,516","636,977","1,122,574","44,625","5,271","1,290,291","139,549","1,817,202","198,118"
