"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","267,118","– –","– –","241,606","-4,433","-186","486,561","17,916","0","1,183,724"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","107,937","-654","10,420","5,701","– –","-9,869","20,845","37,821","74,607","234,629"
"Pentanes Plus","13,143","-654","– –","4","– –","660","4,327","4,957","2,549","25,784"
"Liquefied Petroleum Gases","94,794","– –","10,420","5,697","– –","-10,529","16,518","32,864","72,058","208,845"
"Ethane/Ethylene","40,361","– –","115","–","– –","3,408","–","2,737","34,331","55,209"
"Propane/Propylene","35,265","– –","17,692","4,811","– –","-1,184","–","25,472","33,480","100,909"
"Normal Butane/Butylene","10,168","– –","-6,904","717","– –","-12,228","9,724","4,566","1,919","45,014"
"Isobutane/Isobutylene","9,000","– –","-483","169","– –","-525","6,794","88","2,329","7,713"
"Other Liquids","– –","36,241","– –","39,402","971","4,796","59,661","15,344","-3,187","315,971"
"Hydrogen/Oxygenates/Renewables/ Other Hydrocarbons","– –","36,245","– –","3,129","1,194","-308","35,902","4,974","0","26,230"
"Hydrogen","– –","– –","– –","–","6,433","– –","6,433","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","2,292","– –","422","-567","168","62","1,917","0","1,224"
"Renewable Fuels (including Fuel Ethanol)","– –","33,953","– –","2,695","-4,682","-483","29,392","3,057","0","24,983"
"Fuel Ethanol","– –","30,565","– –","–","-1,207","-869","27,323","2,904","0","19,136"
"Renewable Fuels Except Fuel Ethanol","– –","3,388","– –","2,695","-3,476","386","2,069","152","0","5,847"
"Other Hydrocarbons","– –","– –","– –","12","10","7","15","–","0","23"
"Unfinished Oils","– –","– –","– –","16,382","– –","-2,817","14,566","7,811","-3,178","82,833"
"Motor Gasoline Blend.Comp. (MGBC)","– –","-4","– –","19,891","-223","7,917","9,188","2,559","0","206,891"
"Reformulated","– –","–","– –","6,229","5,703","3,796","8,134","2","0","49,923"
"Conventional","– –","-4","– –","13,662","-5,926","4,121","1,054","2,557","0","156,968"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","– –","4","5","–","-9","17"
"Finished Petroleum Products","– –","102","589,944","22,662","4,881","8,693","– –","90,672","518,224","319,365"
"Finished Motor Gasoline","– –","102","299,377","1,881","1,429","633","– –","24,854","277,303","26,525"
"Reformulated","– –","–","96,438","–","-5,764","1","– –","–","90,673","44"
"Conventional","– –","102","202,939","1,881","7,193","632","– –","24,854","186,630","26,481"
"Finished Aviation Gasoline","– –","– –","399","1","– –","55","– –","–","345","924"
"Kerosene-Type Jet Fuel","– –","– –","50,215","4,687","– –","224","– –","5,881","48,797","44,764"
"Kerosene","– –","– –","94","67","– –","-178","– –","255","84","2,271"
"Distillate Fuel Oil","– –","– –","151,952","4,336","3,452","6,289","– –","34,621","118,830","160,173"
"15 ppm sulfur and under","– –","– –","142,577","2,665","3,452","5,648","– –","30,070","112,975","136,751"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","2,777","341","–","100","– –","2,741","277","9,285"
"Greater than 500 ppm sulfur","– –","– –","6,598","1,330","– –","541","– –","1,810","5,577","14,137"
"Residual Fuel Oil","– –","– –","13,504","7,749","– –","1,276","– –","8,730","11,247","40,563"
"Less than 0.31 percent sulfur","– –","– –","1,615","868","– –","323","– –","NA","NA","3,361"
"0.31 to 1.00 percent sulfur","– –","– –","2,034","493","– –","232","– –","NA","NA","8,940"
"Greater than 1.00 percent sulfur","– –","– –","9,855","6,388","– –","721","– –","NA","NA","28,256"
"Petrochemical Feedstocks","– –","– –","8,543","1,238","– –","180","– –","–","9,601","3,334"
"Naphtha for Petro. Feed. Use","– –","– –","5,496","1,170","– –","58","– –","–","6,608","2,063"
"Other Oils for Petro. Feed. Use","– –","– –","3,047","68","– –","122","– –","–","2,993","1,271"
"Special Naphthas","– –","– –","935","541","– –","-5","– –","–","1,481","1,322"
"Lubricants","– –","– –","5,069","1,046","– –","380","– –","2,349","3,386","12,488"
"Waxes","– –","– –","150","112","– –","39","– –","144","79","634"
"Petroleum Coke","– –","– –","27,713","204","– –","-156","– –","13,394","14,679","5,557"
"Marketable","– –","– –","20,817","204","– –","-156","– –","13,394","7,783","5,557"
"Catalyst","– –","– –","6,896","– –","– –","– –","– –","– –","6,896","– –"
"Asphalt and Road Oil","– –","– –","9,010","798","– –","11","– –","424","9,373","19,995"
"Still Gas","– –","– –","20,220","– –","– –","– –","– –","– –","20,220","– –"
"Miscellaneous Products","– –","– –","2,763","2","– –","-55","– –","20","2,800","815"
"Total","375,055","35,689","600,364","309,371","1,420","3,434","567,067","161,754","589,644","2,053,689"
