"STUB_1","1","2","3","4","5","Total","Daily Average"
"Crude Oil","738","6,409","10,713","57","–","17,916","597"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","908","7,187","27,601","372","1,752","37,821","1,261"
"Pentanes Plus","110","4,409","40","370","28","4,957","165"
"Liquefied Petroleum Gases","798","2,778","27,562","2","1,724","32,864","1,095"
"Ethane/Ethylene","315","2,422","–","–","–","2,737","91"
"Propane/Propylene","475","61","23,425","2","1,510","25,472","849"
"Normal Butane/Butylene","7","295","4,049","–","214","4,566","152"
"Isobutane/Isobutylene","1","–","87","–","0","88","3"
"Other Liquids","1,845","837","12,330","29","303","15,344","511"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","88","589","4,248","5","44","4,974","166"
"Hydrogen","–","–","–","–","–","–","–"
"Oxygenates (excluding Fuel Ethanol)","1","0","1,915","–","1","1,917","64"
"Methyl Tertiary Butyl Ether (MTBE)","0","–","1,245","–","0","1,245","41"
"Other Oxygenates","1","0","671","–","1","672","22"
"Renewable Fuels (including Fuel Ethanol)","87","589","2,332","5","44","3,057","102"
"Fuel Ethanol","64","503","2,303","5","30","2,904","97"
"Biomass-Based Diesel","23","85","30","0","14","152","5"
"Other Renewable Diesel","–","–","–","–","–","–","–"
"Other Renewable Fuels","–","–","–","–","–","–","–"
"Other Hydrocarbons","–","–","–","–","–","–","–"
"Unfinished Oils","1,652","147","5,896","23","92","7,811","260"
"Naphthas and Lighter","1,643","143","5,383","23","90","7,282","243"
"Kerosene and Light Gas Oils","9","4","513","0","2","529","18"
"Heavy Gas Oils","–","–","–","–","–","–","–"
"Residuum","–","–","–","–","–","–","–"
"Motor Gasoline Blend.Comp. (MGBC)","105","101","2,186","1","167","2,559","85"
"Reformulated","0","0","1","–","1","2","0"
"Conventional","105","101","2,185","1","165","2,557","85"
"Aviation Gasoline Blend. Comp.","–","–","–","–","–","–","–"
"Finished Petroleum Products","3,234","2,010","77,464","32","7,933","90,672","3,022"
"Finished Motor Gasoline","33","572","23,246","1","1,001","24,854","828"
"Reformulated","–","–","–","–","–","–","–"
"Conventional","33","572","23,246","1","1,001","24,854","828"
"Finished Aviation Gasoline","–","–","–","–","–","–","–"
"Kerosene-Type Jet Fuel","166","623","3,992","–","1,100","5,881","196"
"Kerosene","2","1","249","–","3","255","9"
"Distillate Fuel Oil","859","224","31,174","–","2,363","34,621","1,154"
"15 ppm sulfur and under","859","0","28,166","–","1,045","30,070","1,002"
"Greater than 15 ppm to 500 ppm sulfur","0","82","2,165","–","494","2,741","91"
"Greater than 500 ppm sulfur","–","142","843","–","825","1,810","60"
"Residual Fuel Oil","1,445","164","6,282","12","828","8,730","291"
"Naphtha for Petro. Feed. Use","–","–","–","–","–","–","–"
"Other Oils for Petro. Feed. Use","–","–","–","–","–","–","–"
"Special Naphthas","–","–","–","–","–","–","–"
"Lubricants","256","172","1,804","14","103","2,349","78"
"Waxes","81","25","34","0","4","144","5"
"Petroleum Coke","324","160","10,417","0","2,492","13,394","446"
"Asphalt and Road Oil","52","68","261","6","38","424","14"
"Miscellaneous Products","16","0","4","–","0","20","1"
"Total","6,725","16,443","128,107","490","9,988","161,754","5,392"
