"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","43","– –","– –","898","145","-70","-126","1,118","25","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","376","-1","8","46","-47","– –","-4","63","30","293"
"Pentanes Plus","37","-1","– –","–","0","– –","5","7","4","20"
"Liquefied Petroleum Gases","339","– –","8","46","-46","– –","-9","55","27","273"
"Ethane/Ethylene","156","– –","0","–","-148","– –","-8","–","11","5"
"Propane/Propylene","126","– –","39","41","91","– –","18","–","16","262"
"Normal Butane/Butylene","38","– –","-27","3","12","– –","-17","46","0","-3"
"Isobutane/Isobutylene","19","– –","-4","2","-1","– –","-2","10","0","8"
"Other Liquids","– –","35","– –","697","1,621","372","55","2,660","62","-52"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","35","– –","44","295","-21","-1","350","3","0"
"Hydrogen","– –","– –","– –","–","–","4","– –","4","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","35","– –","44","295","-25","-1","346","3","0"
"Fuel Ethanol","– –","29","– –","–","293","-1","-13","332","2","0"
"Renewable Fuels Except Fuel Ethanol","– –","6","– –","44","1","-24","13","14","1","0"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","57","-2","– –","-29","81","55","-52"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","595","1,328","394","84","2,230","4","0"
"Reformulated","– –","–","– –","208","205","129","68","473","0","0"
"Conventional","– –","0","– –","388","1,123","265","16","1,756","3","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","3,883","319","1,461","-370","33","– –","108","5,153"
"Finished Motor Gasoline","– –","–","3,204","62","246","-393","-14","– –","1","3,133"
"Reformulated","– –","–","1,296","–","–","-120","0","– –","–","1,177"
"Conventional","– –","–","1,908","62","246","-273","-14","– –","1","1,956"
"Finished Aviation Gasoline","– –","– –","–","0","28","– –","-1","– –","–","29"
"Kerosene-Type Jet Fuel","– –","– –","90","33","445","– –","58","– –","6","505"
"Kerosene","– –","– –","2","2","–","– –","-2","– –","0","6"
"Distillate Fuel Oil","– –","– –","385","113","712","23","7","– –","29","1,197"
"15 ppm sulfur and under","– –","– –","353","81","641","23","7","– –","29","1,061"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","0","11","6","–","-15","– –","0","32"
"Greater than 500 ppm sulfur","– –","– –","32","21","65","– –","15","– –","–","104"
"Residual Fuel Oil","– –","– –","52","84","–","– –","-6","– –","48","93"
"Less than 0.31 percent sulfur","– –","– –","9","5","–","– –","-2","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","6","–","–","– –","9","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","36","79","–","– –","-13","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","5","–","–","– –","2","– –","–","3"
"Naphtha for Petro. Feed. Use","– –","– –","5","–","–","– –","2","– –","–","3"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Special Naphthas","– –","– –","1","–","–","– –","0","– –","–","1"
"Lubricants","– –","– –","14","4","18","– –","1","– –","9","27"
"Waxes","– –","– –","0","3","–","– –","1","– –","3","0"
"Petroleum Coke","– –","– –","41","0","–","– –","–","– –","11","30"
"Marketable","– –","– –","17","0","–","– –","–","– –","11","7"
"Catalyst","– –","– –","24","– –","– –","– –","– –","– –","– –","24"
"Asphalt and Road Oil","– –","– –","43","17","11","– –","-13","– –","2","83"
"Still Gas","– –","– –","43","– –","– –","– –","– –","– –","– –","43"
"Miscellaneous Products","– –","– –","4","–","–","– –","0","– –","1","3"
"Total","419","34","3,891","1,961","3,180","-67","-41","3,841","224","5,394"
