"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","1,654","– –","– –","2,560","-53","-11","262","3,674","214","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","796","-20","24","97","-267","– –","-140","146","240","384"
"Pentanes Plus","93","-20","– –","0","133","– –","4","20","147","35"
"Liquefied Petroleum Gases","702","– –","24","96","-400","– –","-144","126","93","349"
"Ethane/Ethylene","248","– –","–","–","-98","– –","19","–","81","50"
"Propane/Propylene","304","– –","112","79","-274","– –","-29","–","2","248"
"Normal Butane/Butylene","95","– –","-86","14","-31","– –","-134","74","10","44"
"Isobutane/Isobutylene","56","– –","-2","3","2","– –","-1","52","–","7"
"Other Liquids","– –","1,006","– –","11","-476","-11","10","520","28","-28"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","1,006","– –","2","-645","-48","-4","300","20","0"
"Hydrogen","– –","– –","– –","–","–","36","– –","36","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","0","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","1,006","– –","2","-645","-85","-4","263","20","0"
"Fuel Ethanol","– –","931","– –","–","-639","-35","-9","249","17","0"
"Renewable Fuels Except Fuel Ethanol","– –","75","– –","2","-6","-50","5","14","3","0"
"Other Hydrocarbons","– –","– –","– –","0","–","0","0","1","–","0"
"Unfinished Oils","– –","– –","– –","–","-30","– –","20","-28","5","-28"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","9","199","37","-6","248","3","0"
"Reformulated","– –","–","– –","–","50","-22","-14","41","0","0"
"Conventional","– –","0","– –","9","149","60","8","206","3","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","3","4,533","24","93","48","-31","– –","67","4,665"
"Finished Motor Gasoline","– –","3","2,604","–","22","-2","26","– –","19","2,582"
"Reformulated","– –","–","362","–","–","21","–","– –","–","383"
"Conventional","– –","3","2,242","–","22","-23","26","– –","19","2,200"
"Finished Aviation Gasoline","– –","– –","1","–","2","– –","-1","– –","–","4"
"Kerosene-Type Jet Fuel","– –","– –","246","–","10","– –","-9","– –","21","244"
"Kerosene","– –","– –","3","–","–","– –","0","– –","0","3"
"Distillate Fuel Oil","– –","– –","1,125","2","76","50","-55","– –","7","1,301"
"15 ppm sulfur and under","– –","– –","1,127","2","71","50","-60","– –","0","1,309"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","0","–","3","–","4","– –","3","-3"
"Greater than 500 ppm sulfur","– –","– –","-2","–","2","– –","1","– –","5","-6"
"Residual Fuel Oil","– –","– –","52","3","-18","– –","1","– –","5","30"
"Less than 0.31 percent sulfur","– –","– –","3","–","–","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","7","3","-1","– –","2","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","42","0","-17","– –","-1","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","30","5","-6","– –","0","– –","–","30"
"Naphtha for Petro. Feed. Use","– –","– –","21","3","-4","– –","-1","– –","–","21"
"Other Oils for Petro. Feed. Use","– –","– –","9","2","-2","– –","1","– –","–","9"
"Special Naphthas","– –","– –","2","1","1","– –","0","– –","–","4"
"Lubricants","– –","– –","9","7","8","– –","3","– –","6","15"
"Waxes","– –","– –","1","0","–","– –","0","– –","1","0"
"Petroleum Coke","– –","– –","184","1","–","– –","-1","– –","5","180"
"Marketable","– –","– –","140","1","–","– –","-1","– –","5","136"
"Catalyst","– –","– –","44","– –","– –","– –","– –","– –","– –","44"
"Asphalt and Road Oil","– –","– –","128","6","-3","– –","5","– –","2","124"
"Still Gas","– –","– –","134","– –","– –","– –","– –","– –","– –","134"
"Miscellaneous Products","– –","– –","15","–","0","– –","0","– –","0","15"
"Total","2,450","990","4,557","2,692","-704","26","102","4,340","548","5,021"
