"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","45","– –","– –","867","213","131","-6","1,112","150","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","350","0","33","43","-58","– –","3","35","66","263"
"Pentanes Plus","36","0","– –","–","0","– –","1","4","3","28"
"Liquefied Petroleum Gases","314","– –","33","43","-57","– –","3","31","63","235"
"Ethane/Ethylene","140","– –","0","0","-127","– –","1","–","19","-7"
"Propane/Propylene","120","– –","35","38","69","– –","2","–","39","222"
"Normal Butane/Butylene","37","– –","-2","1","1","– –","1","19","5","13"
"Isobutane/Isobutylene","18","– –","-1","3","-1","– –","0","12","0","7"
"Other Liquids","– –","31","– –","642","1,734","309","9","2,705","61","-59"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","31","– –","23","297","0","-1","347","4","0"
"Hydrogen","– –","– –","– –","–","–","3","– –","3","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","31","– –","22","297","-4","-1","344","4","0"
"Fuel Ethanol","– –","25","– –","0","293","16","-3","333","4","0"
"Renewable Fuels Except Fuel Ethanol","– –","6","– –","22","4","-20","2","11","0","0"
"Other Hydrocarbons","– –","– –","– –","0","–","0","–","–","–","0"
"Unfinished Oils","– –","– –","– –","39","-1","– –","-2","48","51","-59"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","580","1,438","309","12","2,309","6","0"
"Reformulated","– –","–","– –","184","261","124","-2","572","0","0"
"Conventional","– –","0","– –","396","1,177","185","14","1,738","6","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","3,865","350","1,462","-307","10","– –","139","5,221"
"Finished Motor Gasoline","– –","–","3,228","56","229","-325","-4","– –","3","3,190"
"Reformulated","– –","–","1,300","–","0","-96","0","– –","–","1,204"
"Conventional","– –","–","1,928","56","229","-229","-4","– –","3","1,986"
"Finished Aviation Gasoline","– –","– –","–","0","17","– –","0","– –","–","17"
"Kerosene-Type Jet Fuel","– –","– –","88","57","440","– –","8","– –","2","575"
"Kerosene","– –","– –","2","2","–","– –","0","– –","1","3"
"Distillate Fuel Oil","– –","– –","346","117","749","18","9","– –","69","1,153"
"15 ppm sulfur and under","– –","– –","306","80","680","18","12","– –","56","1,017"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","8","4","9","–","5","– –","11","5"
"Greater than 500 ppm sulfur","– –","– –","32","33","59","– –","-8","– –","2","131"
"Residual Fuel Oil","– –","– –","47","78","0","– –","-3","– –","34","94"
"Less than 0.31 percent sulfur","– –","– –","8","5","-1","– –","-2","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","5","10","–","– –","0","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","34","63","1","– –","-1","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","5","0","0","– –","0","– –","–","4"
"Naphtha for Petro. Feed. Use","– –","– –","5","0","–","– –","0","– –","–","4"
"Other Oils for Petro. Feed. Use","– –","– –","–","0","0","– –","–","– –","–","0"
"Special Naphthas","– –","– –","1","–","–","– –","0","– –","–","1"
"Lubricants","– –","– –","13","6","17","– –","0","– –","7","29"
"Waxes","– –","– –","0","2","–","– –","0","– –","2","1"
"Petroleum Coke","– –","– –","35","5","–","– –","–","– –","19","21"
"Marketable","– –","– –","13","5","–","– –","–","– –","19","-1"
"Catalyst","– –","– –","23","– –","– –","– –","– –","– –","– –","23"
"Asphalt and Road Oil","– –","– –","55","25","11","– –","-1","– –","3","88"
"Still Gas","– –","– –","42","– –","– –","– –","– –","– –","– –","42"
"Miscellaneous Products","– –","– –","3","–","–","– –","0","– –","0","2"
"Total","395","30","3,897","1,901","3,351","133","16","3,852","417","5,424"
