"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","662","– –","– –","327","-364","-8","13","598","8","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","364","0","14","10","-326","– –","1","19","5","36"
"Pentanes Plus","59","0","– –","–","-46","– –","0","6","4","3"
"Liquefied Petroleum Gases","305","– –","14","10","-280","– –","1","13","1","33"
"Ethane/Ethylene","92","– –","–","–","-85","– –","0","–","–","7"
"Propane/Propylene","136","– –","9","9","-123","– –","0","–","0","32"
"Normal Butane/Butylene","53","– –","4","0","-47","– –","1","7","1","2"
"Isobutane/Isobutylene","24","– –","1","1","-26","– –","0","7","–","-8"
"Other Liquids","– –","14","– –","2","15","-21","-2","8","1","4"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","14","– –","1","13","12","0","39","0","0"
"Hydrogen","– –","– –","– –","–","–","7","– –","7","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","14","– –","0","13","5","0","32","0","0"
"Fuel Ethanol","– –","14","– –","–","12","5","0","30","0","0"
"Renewable Fuels Except Fuel Ethanol","– –","–","– –","0","1","0","0","2","0","0"
"Other Hydrocarbons","– –","– –","– –","0","–","0","–","–","–","0"
"Unfinished Oils","– –","– –","– –","–","–","– –","-3","-2","1","4"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","2","3","-33","1","-29","0","0"
"Reformulated","– –","–","– –","–","–","–","–","–","–","–"
"Conventional","– –","–","– –","–","3","-33","1","-29","0","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","641","2","2","27","0","– –","2","669"
"Finished Motor Gasoline","– –","–","314","–","-14","28","0","– –","0","328"
"Reformulated","– –","–","–","–","–","–","–","– –","–","–"
"Conventional","– –","–","314","–","-14","28","0","– –","0","328"
"Finished Aviation Gasoline","– –","– –","0","0","–","– –","0","– –","–","0"
"Kerosene-Type Jet Fuel","– –","– –","34","0","20","– –","0","– –","0","54"
"Kerosene","– –","– –","0","–","–","– –","0","– –","–","0"
"Distillate Fuel Oil","– –","– –","196","0","-5","0","0","– –","0","191"
"15 ppm sulfur and under","– –","– –","195","0","-5","0","0","– –","0","190"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","1","–","–","–","0","– –","0","1"
"Greater than 500 ppm sulfur","– –","– –","0","–","–","– –","0","– –","–","0"
"Residual Fuel Oil","– –","– –","10","–","–","– –","0","– –","1","9"
"Less than 0.31 percent sulfur","– –","– –","6","–","–","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","1","–","–","– –","0","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","4","–","–","– –","0","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","–","–","–","– –","–","– –","–","–"
"Naphtha for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Special Naphthas","– –","– –","–","–","–","– –","–","– –","–","–"
"Lubricants","– –","– –","–","–","–","– –","–","– –","0","0"
"Waxes","– –","– –","–","–","–","– –","–","– –","0","0"
"Petroleum Coke","– –","– –","25","–","–","– –","0","– –","0","25"
"Marketable","– –","– –","17","–","–","– –","0","– –","0","17"
"Catalyst","– –","– –","8","– –","– –","– –","– –","– –","– –","8"
"Asphalt and Road Oil","– –","– –","35","1","–","– –","-1","– –","0","37"
"Still Gas","– –","– –","23","– –","– –","– –","– –","– –","– –","23"
"Miscellaneous Products","– –","– –","3","0","–","– –","0","– –","0","3"
"Total","1,027","13","655","341","-672","-1","12","625","16","709"
