"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","19,278","– –","– –","12,030","-10,805","-1,860","-196","18,783","57","0","23,958"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","11,647","-9","267","297","-10,116","– –","-370","767","372","1,317","3,982"
"Pentanes Plus","1,837","-9","– –","–","-1,382","– –","6","189","370","-119","307"
"Liquefied Petroleum Gases","9,810","– –","267","297","-8,734","– –","-376","578","2","1,436","3,675"
"Ethane/Ethylene","3,162","– –","–","–","-2,694","– –","3","–","–","465","452"
"Propane/Propylene","4,231","– –","295","296","-3,791","– –","-42","–","2","1,071","1,505"
"Normal Butane/Butylene","1,665","– –","-54","–","-1,448","– –","-357","367","–","153","1,450"
"Isobutane/Isobutylene","752","– –","26","1","-801","– –","20","211","–","-253","268"
"Other Liquids","– –","418","– –","26","218","-669","143","-223","29","44","8,685"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","418","– –","6","418","293","-12","1,142","5","0","369"
"Hydrogen","– –","– –","– –","–","–","215","– –","215","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","– –","418","– –","6","418","78","-12","927","5","0","369"
"Fuel Ethanol","– –","418","– –","–","402","58","-12","885","5","0","357"
"Renewable Fuels Except Fuel Ethanol","– –","–","– –","6","16","20","0","42","0","0","12"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","–","–","– –","-265","198","23","44","2,670"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","20","-200","-962","420","-1,563","1","0","5,646"
"Reformulated","– –","–","– –","–","–","–","–","–","–","–","–"
"Conventional","– –","–","– –","–","-200","-962","420","-1,563","1","0","5,646"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","20,016","54","273","884","1,238","– –","32","19,957","8,997"
"Finished Motor Gasoline","– –","–","9,333","–","-415","904","381","– –","1","9,440","2,450"
"Reformulated","– –","–","–","–","–","–","–","– –","–","–","–"
"Conventional","– –","–","9,333","–","-415","904","381","– –","1","9,440","2,450"
"Finished Aviation Gasoline","– –","– –","5","–","–","– –","0","– –","–","5","8"
"Kerosene-Type Jet Fuel","– –","– –","898","–","830","– –","111","– –","–","1,617","762"
"Kerosene","– –","– –","–","–","–","– –","0","– –","–","0","1"
"Distillate Fuel Oil","– –","– –","6,686","8","-142","-20","574","– –","–","5,958","4,250"
"15 ppm sulfur and under","– –","– –","6,607","8","-142","-20","539","– –","–","5,914","4,012"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","81","–","–","–","37","– –","–","44","196"
"Greater than 500 ppm sulfur","– –","– –","-2","–","–","– –","-2","– –","–","0","42"
"Residual Fuel Oil","– –","– –","381","–","–","– –","28","– –","12","341","227"
"Less than 0.31 percent sulfur","– –","– –","252","–","–","– –","18","– –","NA","NA","35"
"0.31 to 1.00 percent sulfur","– –","– –","11","–","–","– –","-3","– –","NA","NA","4"
"Greater than 1.00 percent sulfur","– –","– –","118","–","–","– –","13","– –","NA","NA","188"
"Petrochemical Feedstocks","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Naphtha for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Special Naphthas","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Lubricants","– –","– –","–","–","–","– –","–","– –","14","-14","–"
"Waxes","– –","– –","–","–","–","– –","–","– –","0","0","–"
"Petroleum Coke","– –","– –","836","–","–","– –","72","– –","0","764","181"
"Marketable","– –","– –","588","–","–","– –","72","– –","0","516","181"
"Catalyst","– –","– –","248","– –","– –","– –","– –","– –","– –","248","– –"
"Asphalt and Road Oil","– –","– –","1,047","44","–","– –","75","– –","6","1,010","1,099"
"Still Gas","– –","– –","732","– –","– –","– –","– –","– –","– –","732","– –"
"Miscellaneous Products","– –","– –","98","2","–","– –","-3","– –","–","103","19"
"Total","30,925","409","20,283","12,407","-20,430","-1,645","815","19,327","490","21,317","45,622"
