"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","5,531","– –","– –","3,221","137","-80","-181","8,633","357","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","1,971","-1","306","–","623","– –","-126","348","920","1,757"
"Pentanes Plus","213","-1","– –","–","-87","– –","13","81","1","30"
"Liquefied Petroleum Gases","1,758","– –","306","–","710","– –","-139","267","919","1,727"
"Ethane/Ethylene","836","– –","4","–","336","– –","103","–","–","1,073"
"Propane/Propylene","596","– –","384","–","300","– –","-21","–","781","520"
"Normal Butane/Butylene","137","– –","-72","–","52","– –","-205","137","135","52"
"Isobutane/Isobutylene","189","– –","-10","–","22","– –","-15","130","3","82"
"Other Liquids","– –","124","– –","475","-1,466","-285","31","-1,629","411","35"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","124","– –","38","188","73","-14","295","142","0"
"Hydrogen","– –","– –","– –","–","–","129","– –","129","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","76","– –","14","–","-19","6","2","64","0"
"Renewable Fuels (including Fuel Ethanol)","– –","48","– –","24","188","-37","-19","164","78","0"
"Fuel Ethanol","– –","26","– –","–","191","-9","-15","145","77","0"
"Renewable Fuels Except Fuel Ethanol","– –","22","– –","24","-3","-28","-5","18","1","0"
"Other Hydrocarbons","– –","– –","– –","0","–","0","–","–","–","0"
"Unfinished Oils","– –","– –","– –","393","32","– –","-82","275","197","36"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","44","-1,686","-358","126","-2,199","73","0"
"Reformulated","– –","–","– –","–","-333","83","10","-260","0","0"
"Conventional","– –","–","– –","44","-1,353","-441","117","-1,939","73","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","0","0","–","0"
"Finished Petroleum Products","– –","–","7,672","211","-1,594","402","236","– –","2,582","3,873"
"Finished Motor Gasoline","– –","–","2,286","–","-266","367","-14","– –","775","1,626"
"Reformulated","– –","–","456","–","–","-86","–","– –","–","371"
"Conventional","– –","–","1,829","–","-266","453","-14","– –","775","1,256"
"Finished Aviation Gasoline","– –","– –","10","–","-30","– –","2","– –","–","-22"
"Kerosene-Type Jet Fuel","– –","– –","907","–","-491","– –","-33","– –","133","316"
"Kerosene","– –","– –","-2","–","–","– –","-4","– –","8","-7"
"Distillate Fuel Oil","– –","– –","2,780","23","-796","35","196","– –","1,039","807"
"15 ppm sulfur and under","– –","– –","2,522","–","-720","35","175","– –","939","723"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","82","–","-9","–","15","– –","72","-14"
"Greater than 500 ppm sulfur","– –","– –","177","23","-67","– –","6","– –","28","99"
"Residual Fuel Oil","– –","– –","254","106","18","– –","68","– –","209","101"
"Less than 0.31 percent sulfur","– –","– –","33","24","–","– –","12","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","28","14","1","– –","-1","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","193","69","17","– –","57","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","250","37","6","– –","5","– –","–","287"
"Naphtha for Petro. Feed. Use","– –","– –","157","36","4","– –","2","– –","–","196"
"Other Oils for Petro. Feed. Use","– –","– –","93","0","2","– –","3","– –","–","91"
"Special Naphthas","– –","– –","28","17","-1","– –","0","– –","–","43"
"Lubricants","– –","– –","144","23","-26","– –","13","– –","60","67"
"Waxes","– –","– –","4","0","–","– –","0","– –","1","3"
"Petroleum Coke","– –","– –","527","5","–","– –","4","– –","347","181"
"Marketable","– –","– –","407","5","–","– –","4","– –","347","61"
"Catalyst","– –","– –","120","– –","– –","– –","– –","– –","– –","120"
"Asphalt and Road Oil","– –","– –","69","–","-8","– –","0","– –","9","52"
"Still Gas","– –","– –","360","– –","– –","– –","– –","– –","– –","360"
"Miscellaneous Products","– –","– –","57","–","0","– –","-2","– –","0","59"
"Total","7,502","124","7,977","3,907","-2,300","37","-40","7,352","4,270","5,665"
