"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","1,832,194","– –","– –","1,058,186","79,090","4,499","34,218","2,845,669","94,082","0","944,100"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","648,087","-201","140,838","3,129","207,824","– –","31,634","95,770","263,313","608,960","157,395"
"Pentanes Plus","72,836","-201","– –","2,878","-32,268","– –","5,714","29,525","683","7,323","15,697"
"Liquefied Petroleum Gases","575,251","– –","140,838","251","240,092","– –","25,920","66,245","262,630","601,637","141,698"
"Ethane/Ethylene","265,188","– –","1,254","–","104,772","– –","20,568","–","681","349,965","48,766"
"Propane/Propylene","199,835","– –","125,909","–","100,284","– –","2,237","–","233,777","190,014","63,237"
"Normal Butane/Butylene","41,930","– –","15,993","251","28,102","– –","4,058","26,823","26,182","29,213","24,954"
"Isobutane/Isobutylene","68,298","– –","-2,318","–","6,934","– –","-943","39,422","1,991","32,444","4,741"
"Other Liquids","– –","39,679","– –","184,394","-593,122","-1,391","1,671","-524,679","132,502","20,066","121,201"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","39,679","– –","9,186","48,520","40,594","-382","98,661","39,701","0","5,920"
"Hydrogen","– –","– –","– –","–","–","43,680","– –","43,680","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","24,549","– –","3,690","–","-2,984","297","967","23,991","0","1,224"
"Renewable Fuels (including Fuel Ethanol)","– –","15,130","– –","5,411","48,520","-16","-679","54,014","15,710","0","4,696"
"Fuel Ethanol","– –","8,906","– –","94","48,086","5,663","-1,199","48,652","15,296","0","3,147"
"Renewable Fuels Except Fuel Ethanol","– –","6,224","– –","5,317","434","-5,680","520","5,362","414","0","1,549"
"Other Hydrocarbons","– –","– –","– –","85","–","-85","–","–","–","0","–"
"Unfinished Oils","– –","– –","– –","159,709","6,039","– –","2,900","86,533","56,191","20,124","42,632"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","15,499","-647,681","-41,986","-856","-709,922","36,610","0","72,632"
"Reformulated","– –","–","– –","638","-142,709","33,228","-587","-108,295","39","0","11,175"
"Conventional","– –","–","– –","14,861","-504,972","-75,214","-269","-601,627","36,571","0","61,457"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","9","49","–","-58","17"
"Finished Petroleum Products","– –","–","2,482,751","52,605","-577,210","44,181","-5,201","– –","813,717","1,193,811","116,143"
"Finished Motor Gasoline","– –","–","742,026","808","-86,487","36,322","-1,183","– –","181,818","512,035","9,898"
"Reformulated","– –","–","153,702","–","-44","-40,335","–","– –","–","113,323","–"
"Conventional","– –","–","588,324","808","-86,443","76,657","-1,183","– –","181,818","398,711","9,898"
"Finished Aviation Gasoline","– –","– –","2,482","–","-6,055","– –","-5","– –","–","-3,568","365"
"Kerosene-Type Jet Fuel","– –","– –","285,360","–","-166,743","– –","749","– –","45,261","72,607","15,064"
"Kerosene","– –","– –","2,642","–","-182","– –","-61","– –","2,664","-143","265"
"Distillate Fuel Oil","– –","– –","902,833","3,589","-314,092","7,859","-2,093","– –","341,418","260,863","44,144"
"15 ppm sulfur and under","– –","– –","820,705","216","-290,004","7,859","-2,455","– –","297,614","243,617","37,294"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","32,383","313","-4,125","–","-533","– –","28,600","504","1,608"
"Greater than 500 ppm sulfur","– –","– –","49,745","3,060","-19,963","– –","895","– –","15,205","16,742","5,242"
"Residual Fuel Oil","– –","– –","67,600","25,433","7,886","– –","-463","– –","72,639","28,743","24,585"
"Less than 0.31 percent sulfur","– –","– –","10,207","1,935","245","– –","-159","– –","NA","NA","2,166"
"0.31 to 1.00 percent sulfur","– –","– –","5,081","4,426","40","– –","3,024","– –","NA","NA","5,507"
"Greater than 1.00 percent sulfur","– –","– –","52,312","19,072","7,601","– –","-3,328","– –","NA","NA","16,912"
"Petrochemical Feedstocks","– –","– –","85,704","8,617","1,143","– –","137","– –","–","95,327","2,489"
"Naphtha for Petro. Feed. Use","– –","– –","54,975","7,524","1,007","– –","25","– –","–","63,481","1,356"
"Other Oils for Petro. Feed. Use","– –","– –","30,729","1,093","136","– –","112","– –","–","31,846","1,133"
"Special Naphthas","– –","– –","10,582","4,243","-400","– –","8","– –","–","14,417","1,099"
"Lubricants","– –","– –","43,441","8,495","-7,986","– –","-930","– –","19,651","25,229","9,635"
"Waxes","– –","– –","1,156","255","–","– –","16","– –","177","1,218","246"
"Petroleum Coke","– –","– –","170,891","1,063","–","– –","-240","– –","145,711","26,483","3,322"
"Marketable","– –","– –","130,328","1,063","–","– –","-240","– –","145,711","-14,080","3,322"
"Catalyst","– –","– –","40,563","– –","– –","– –","– –","– –","– –","40,563","– –"
"Asphalt and Road Oil","– –","– –","26,313","102","-4,151","– –","-1,164","– –","4,119","19,309","4,464"
"Still Gas","– –","– –","122,885","– –","– –","– –","– –","– –","– –","122,885","– –"
"Miscellaneous Products","– –","– –","18,836","–","-143","– –","28","– –","260","18,405","567"
"Total","2,480,281","39,478","2,623,589","1,298,314","-883,418","47,288","62,322","2,416,760","1,303,613","1,822,837","1,338,839"
