"STUB_1","1","2","3","4","5","Total","Daily Average"
"Crude Oil","27,529","70,249","105,103","9,649","29,076","241,606","8,054"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","1,382","2,898","–","297","1,124","5,701","190"
"Pentanes Plus","–","4","–","–","–","4","0"
"Liquefied Petroleum Gases","1,382","2,894","–","297","1,124","5,697","190"
"Ethane","–","–","–","–","–","–","–"
"Ethylene","–","–","–","–","–","–","–"
"Propane","999","1,955","–","296","915","4,165","139"
"Propylene","227","419","–","–","–","646","22"
"Normal Butane","97","355","–","–","187","639","21"
"Butylene","–","78","–","–","–","78","3"
"Isobutane","59","87","–","1","22","169","6"
"Isobutylene","–","–","–","–","–","–","–"
"Other Liquids","20,898","338","14,246","26","3,894","39,402","1,313"
"Hydrogen/Oxygenates/Renewables/Other Hydrocarbons","1,327","73","1,132","6","591","3,129","104"
"Hydrogen","–","–","–","–","–","–","–"
"Oxygenates (excluding Fuel Ethanol)","–","–","422","–","–","422","14"
"Methyl Tertiary Butyl Ether (MTBE)","–","–","378","–","–","378","13"
"Other Oxygenates","–","–","44","–","–","44","1"
"Renewable Fuels (including Fuel Ethanol)","1,327","62","709","6","591","2,695","90"
"Fuel Ethanol","–","–","–","–","–","–","–"
"Biomass-Based Diesel Fuel","1,327","62","709","6","80","2,184","73"
"Other Renewable Diesel Fuel","–","–","–","–","511","511","17"
"Other Renewable Fuels","–","–","–","–","–","–","–"
"Other Hydrocarbons","–","11","1","–","–","12","0"
"Unfinished Oils","1,707","–","11,798","–","2,877","16,382","546"
"Naphthas and Lighter","631","–","65","–","193","889","30"
"Kerosene and Lighter Gas Oils","–","–","–","–","–","–","–"
"Heavy Gas Oils","684","–","8,820","–","2,684","12,188","406"
"Residuum","392","–","2,913","–","–","3,305","110"
"Motor Gasoline Blend.Comp. (MGBC)","17,864","265","1,316","20","426","19,891","663"
"Reformulated - RBOB","6,229","–","–","–","–","6,229","208"
"Conventional","11,635","265","1,316","20","426","13,662","455"
"CBOB","300","–","–","–","410","710","24"
"GTAB","3,670","–","–","–","–","3,670","122"
"Other","7,665","265","1,316","20","16","9,282","309"
"Aviation Gasoline Blend. Comp. ","–","–","–","–","–","–","–"
"Finished Petroleum Products","9,582","724","6,331","54","5,971","22,662","755"
"Finished Motor Gasoline","1,862","–","–","–","19","1,881","63"
"Reformulated","–","–","–","–","–","–","–"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–"
"Reformulated Other","–","–","–","–","–","–","–"
"Conventional","1,862","–","–","–","19","1,881","63"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–"
"Ed55 and Lower","–","–","–","–","–","–","–"
"Greater than Ed55","–","–","–","–","–","–","–"
"Conventional Other","1,862","–","–","–","19","1,881","63"
"Finished Aviation Gasoline","1","–","–","–","–","1","0"
"Kerosene-Type Jet Fuel","1,004","–","–","–","3,683","4,687","156"
"Bonded Aircraft Fuel","186","–","–","–","844","1,030","34"
"Other","818","–","–","–","2,839","3,657","122"
"Kerosene","67","–","–","–","–","67","2"
"Distillate Fuel Oil","3,400","47","693","8","188","4,336","145"
"15 ppm sulfur and under","2,423","47","–","8","187","2,665","89"
"Bonded","–","–","–","–","–","–","–"
"Other","2,423","47","–","8","187","2,665","89"
"Greater than 15 ppm to 500 ppm sulfur","341","–","–","–","–","341","11"
"Bonded","–","–","–","–","–","–","–"
"Other","341","–","–","–","–","341","11"
"Greater than 500 ppm to 2000 ppm sulfur","247","–","693","–","1","941","31"
"Bonded","–","–","–","–","–","–","–"
"Other","247","–","693","–","1","941","31"
"Greater than 2000 ppm","389","–","–","–","–","389","13"
"Bonded","–","–","–","–","–","–","–"
"Other","389","–","–","–","–","389","13"
"Residual Fuel Oil","2,515","94","3,189","–","1,951","7,749","258"
"Less than 0.31 percent sulfur","145","–","723","–","–","868","29"
"0.31 to 1.00 percent sulfur","–","84","409","–","–","493","16"
"Greater than 1.00 percent sulfur","2,370","10","2,057","–","1,951","6,388","213"
"Petrochemical Feedstocks","–","139","1,099","–","–","1,238","41"
"Naphtha for Petro. Feed. Use","–","83","1,087","–","–","1,170","39"
"Other Oils for Petro. Feed. Use","–","56","12","–","–","68","2"
"Special Naphthas","–","28","513","–","–","541","18"
"Lubricants","131","207","679","–","29","1,046","35"
"Waxes","92","4","2","–","14","112","4"
"Petroleum Coke (Marketable)","1","15","156","–","32","204","7"
"Asphalt and Road Oil","509","190","–","44","55","798","27"
"Miscellaneous Products","–","–","–","2","–","2","0"
"Total","59,391","74,209","125,680","10,026","40,065","309,371","10,312"
