"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","1,189","8","1,197","172","118","521","811","90","664","191","34","–","979","139","16","3,142"
"Pentanes Plus","216","–","216","–","19","91","110","16","190","–","–","–","206","55","–","587"
"Liquefied Petroleum Gases","973","8","981","172","99","430","701","74","474","191","34","–","773","84","16","2,555"
"Normal Butane","973","8","981","172","99","430","701","74","474","191","34","–","773","84","16","2,555"
"Isobutane","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other Liquids","87,169","6,259","93,428","44,463","8,879","13,366","66,708","16,755","11,548","2,747","8,801","1,051","40,902","4,265","44,061","249,364"
"Oxygenates/Renewables","9,509","683","10,192","4,816","1,038","1,523","7,377","1,766","841","374","1,002","132","4,115","601","4,967","27,252"
"Oxygenates (excluding Fuel Ethanol)","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Methyl Tertiary Butyl Ether (MTBE)","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"All Other Oxygenates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","9,509","683","10,192","4,816","1,038","1,523","7,377","1,766","841","374","1,002","132","4,115","601","4,967","27,252"
"Fuel Ethanol","9,182","624","9,806","4,627","990","1,447","7,064","1,722","776","287","969","106","3,860","588","4,552","25,870"
"Renewable Diesel Fuel","327","59","386","189","48","76","313","44","65","87","33","26","255","13","415","1,382"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Unfinished Oils (net)","1","-1","0","22","–","–","22","–","–","4","–","–","4","–","–","26"
"Naphthas and Lighter","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Kerosene and Light Gas Oils","–","-1","-1","-59","–","–","-59","–","–","0","–","–","0","–","–","-60"
"Heavy Gas Oils","1","–","1","–","–","–","–","–","–","4","–","–","4","–","–","5"
"Residuum","–","–","–","81","–","–","81","–","–","–","–","–","–","–","–","81"
"Motor Gasoline Blend.Comp. (MGBC)(net)","77,659","5,577","83,236","39,625","7,841","11,843","59,309","14,989","10,707","2,369","7,799","919","36,783","3,664","39,094","222,086"
"Reformulated - RBOB","25,461","–","25,461","7,264","1,354","935","9,553","6,504","4,235","–","–","–","10,739","–","29,034","74,787"
"Conventional","52,198","5,577","57,775","32,361","6,487","10,908","49,756","8,485","6,472","2,369","7,799","919","26,044","3,664","10,060","147,299"
"CBOB","43,051","5,577","48,628","31,193","6,438","10,908","48,539","8,485","-796","1,834","7,773","919","18,215","3,659","9,994","129,035"
"GTAB","2,165","–","2,165","–","–","–","–","–","–","–","–","–","–","–","–","2,165"
"Other","6,982","–","6,982","1,168","49","–","1,217","–","7,268","535","26","–","7,829","5","66","16,099"
"Aviation Gasoline Blend. Comp. (net)","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Total Input","88,358","6,267","94,625","44,635","8,997","13,887","67,519","16,845","12,212","2,938","8,835","1,051","41,881","4,404","44,077","252,506"
