"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","5,469","– –","– –","3,159","236","13","102","8,495","281","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","1,935","-1","420","9","620","– –","94","286","786","1,818"
"Pentanes Plus","217","-1","– –","9","-96","– –","17","88","2","22"
"Liquefied Petroleum Gases","1,717","– –","420","1","717","– –","77","198","784","1,796"
"Ethane/Ethylene","792","– –","4","–","313","– –","61","–","2","1,045"
"Propane/Propylene","597","– –","376","–","299","– –","7","–","698","567"
"Normal Butane/Butylene","125","– –","48","1","84","– –","12","80","78","87"
"Isobutane/Isobutylene","204","– –","-7","–","21","– –","-3","118","6","97"
"Other Liquids","– –","118","– –","550","-1,771","-4","5","-1,566","396","60"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","118","– –","27","145","121","-1","295","119","0"
"Hydrogen","– –","– –","– –","–","–","130","– –","130","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","73","– –","11","–","-9","1","3","72","0"
"Renewable Fuels (including Fuel Ethanol)","– –","45","– –","16","145","0","-2","161","47","0"
"Fuel Ethanol","– –","27","– –","0","144","17","-4","145","46","0"
"Renewable Fuels Except Fuel Ethanol","– –","19","– –","16","1","-17","2","16","1","0"
"Other Hydrocarbons","– –","– –","– –","0","–","0","–","–","–","0"
"Unfinished Oils","– –","– –","– –","477","18","– –","9","258","168","60"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","46","-1,933","-125","-3","-2,119","109","0"
"Reformulated","– –","–","– –","2","-426","99","-2","-323","0","0"
"Conventional","– –","–","– –","44","-1,507","-225","-1","-1,796","109","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","0","0","–","0"
"Finished Petroleum Products","– –","–","7,411","157","-1,723","132","-16","– –","2,429","3,564"
"Finished Motor Gasoline","– –","–","2,215","2","-258","108","-4","– –","543","1,528"
"Reformulated","– –","–","459","–","0","-120","–","– –","–","338"
"Conventional","– –","–","1,756","2","-258","229","-4","– –","543","1,190"
"Finished Aviation Gasoline","– –","– –","7","–","-18","– –","0","– –","–","-11"
"Kerosene-Type Jet Fuel","– –","– –","852","–","-498","– –","2","– –","135","217"
"Kerosene","– –","– –","8","–","-1","– –","0","– –","8","0"
"Distillate Fuel Oil","– –","– –","2,695","11","-938","23","-6","– –","1,019","779"
"15 ppm sulfur and under","– –","– –","2,450","1","-866","23","-7","– –","888","727"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","97","1","-12","–","-2","– –","85","2"
"Greater than 500 ppm sulfur","– –","– –","148","9","-60","– –","3","– –","45","50"
"Residual Fuel Oil","– –","– –","202","76","24","– –","-1","– –","217","86"
"Less than 0.31 percent sulfur","– –","– –","30","6","1","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","15","13","0","– –","9","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","156","57","23","– –","-10","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","256","26","3","– –","0","– –","–","285"
"Naphtha for Petro. Feed. Use","– –","– –","164","22","3","– –","0","– –","–","189"
"Other Oils for Petro. Feed. Use","– –","– –","92","3","0","– –","0","– –","–","95"
"Special Naphthas","– –","– –","32","13","-1","– –","0","– –","–","43"
"Lubricants","– –","– –","130","25","-24","– –","-3","– –","59","75"
"Waxes","– –","– –","3","1","–","– –","0","– –","1","4"
"Petroleum Coke","– –","– –","510","3","–","– –","-1","– –","435","79"
"Marketable","– –","– –","389","3","–","– –","-1","– –","435","-42"
"Catalyst","– –","– –","121","– –","– –","– –","– –","– –","– –","121"
"Asphalt and Road Oil","– –","– –","79","0","-12","– –","-3","– –","12","58"
"Still Gas","– –","– –","367","– –","– –","– –","– –","– –","– –","367"
"Miscellaneous Products","– –","– –","56","–","0","– –","0","– –","1","55"
"Total","7,404","118","7,832","3,876","-2,637","141","186","7,214","3,891","5,441"
