"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","30,976","– –","– –","29,208","3,944","2,233","1,342","65,019","–","0","52,121"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","2,025","-11","17","1,124","846","– –","-1,414","3,396","1,752","267","6,168"
"Pentanes Plus","1,020","-11","– –","–","–","– –","-21","899","28","103","36"
"Liquefied Petroleum Gases","1,005","– –","17","1,124","846","– –","-1,393","2,497","1,724","164","6,132"
"Ethane/Ethylene","1","– –","–","–","–","– –","–","–","–","1","–"
"Propane/Propylene","264","– –","1,365","915","294","– –","-191","–","1,510","1,519","2,137"
"Normal Butane/Butylene","383","– –","-1,327","187","427","– –","-1,200","1,681","214","-1,025","3,535"
"Isobutane/Isobutylene","357","– –","-21","22","125","– –","-2","816","0","-331","460"
"Other Liquids","– –","872","– –","3,894","9,428","-642","1,768","13,370","303","-1,889","50,933"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","872","– –","591","4,459","808","252","6,434","44","0","4,057"
"Hydrogen","– –","– –","– –","–","–","1,158","– –","1,158","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","1","–","–","1","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","872","– –","591","4,459","-350","252","5,276","44","0","4,057"
"Fuel Ethanol","– –","567","– –","–","4,261","103","260","4,642","30","0","2,742"
"Renewable Fuels Except Fuel Ethanol","– –","305","– –","591","198","-454","-8","634","14","0","1,315"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","2,877","–","– –","148","4,526","92","-1,889","19,687"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","426","4,969","-1,450","1,368","2,410","167","0","27,189"
"Reformulated","– –","–","– –","–","2,351","37","1,881","506","1","0","13,662"
"Conventional","– –","–","– –","426","2,618","-1,488","-513","1,904","165","0","13,527"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","87,302","5,971","932","1,566","294","– –","7,933","87,544","32,602"
"Finished Motor Gasoline","– –","–","47,226","19","331","1,347","300","– –","1,001","47,622","2,690"
"Reformulated","– –","–","33,012","–","–","-243","2","– –","–","32,767","20"
"Conventional","– –","–","14,214","19","331","1,590","298","– –","1,001","14,855","2,670"
"Finished Aviation Gasoline","– –","– –","89","–","–","– –","58","– –","–","31","286"
"Kerosene-Type Jet Fuel","– –","– –","12,057","3,683","235","– –","-352","– –","1,100","15,227","8,999"
"Kerosene","– –","– –","15","–","–","– –","2","– –","3","10","46"
"Distillate Fuel Oil","– –","– –","16,565","188","370","219","1,269","– –","2,363","13,709","13,031"
"15 ppm sulfur and under","– –","– –","15,949","187","370","219","1,424","– –","1,045","14,255","11,991"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","239","–","–","–","-31","– –","494","-224","187"
"Greater than 500 ppm sulfur","– –","– –","377","1","–","– –","-124","– –","825","-323","853"
"Residual Fuel Oil","– –","– –","2,409","1,951","–","– –","-662","– –","828","4,194","3,851"
"Less than 0.31 percent sulfur","– –","– –","–","–","–","– –","-10","– –","NA","NA","231"
"0.31 to 1.00 percent sulfur","– –","– –","793","–","–","– –","-49","– –","NA","NA","449"
"Greater than 1.00 percent sulfur","– –","– –","1,616","1,951","–","– –","-603","– –","NA","NA","3,165"
"Petrochemical Feedstocks","– –","– –","3","–","–","– –","-2","– –","–","5","3"
"Naphtha for Petro. Feed. Use","– –","– –","3","–","–","– –","-2","– –","–","5","3"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Special Naphthas","– –","– –","36","–","–","– –","-15","– –","–","51","44"
"Lubricants","– –","– –","97","29","-4","– –","-134","– –","103","153","825"
"Waxes","– –","– –","–","14","–","– –","–","– –","4","10","–"
"Petroleum Coke","– –","– –","4,295","32","–","– –","-325","– –","2,492","2,160","1,157"
"Marketable","– –","– –","3,276","32","–","– –","-325","– –","2,492","1,141","1,157"
"Catalyst","– –","– –","1,019","– –","– –","– –","– –","– –","– –","1,019","– –"
"Asphalt and Road Oil","– –","– –","746","55","–","– –","151","– –","38","612","1,588"
"Still Gas","– –","– –","3,372","– –","– –","– –","– –","– –","– –","3,372","– –"
"Miscellaneous Products","– –","– –","392","–","–","– –","4","– –","0","388","82"
"Total","33,001","861","87,319","40,197","15,150","3,157","1,990","81,785","9,988","85,922","141,824"
