"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","8,904","– –","– –","8,054","-148","-6","16,219","597","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","3,598","-22","347","190","– –","-329","695","1,261","2,487"
"Pentanes Plus","438","-22","– –","0","– –","22","144","165","85"
"Liquefied Petroleum Gases","3,160","– –","347","190","– –","-351","551","1,095","2,402"
"Ethane/Ethylene","1,345","– –","4","–","– –","114","–","91","1,144"
"Propane/Propylene","1,176","– –","590","160","– –","-39","–","849","1,116"
"Normal Butane/Butylene","339","– –","-230","24","– –","-408","324","152","64"
"Isobutane/Isobutylene","300","– –","-16","6","– –","-18","226","3","78"
"Other Liquids","– –","1,208","– –","1,313","32","160","1,989","511","-106"
"Hydrogen/Oxygenates/Renewables/ Other Hydrocarbons","– –","1,208","– –","104","40","-10","1,197","166","0"
"Hydrogen","– –","– –","– –","–","214","– –","214","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","76","– –","14","-19","6","2","64","0"
"Renewable Fuels (including Fuel Ethanol)","– –","1,132","– –","90","-156","-16","980","102","0"
"Fuel Ethanol","– –","1,019","– –","–","-40","-29","911","97","0"
"Renewable Fuels Except Fuel Ethanol","– –","113","– –","90","-116","13","69","5","0"
"Other Hydrocarbons","– –","– –","– –","0","0","0","1","–","0"
"Unfinished Oils","– –","– –","– –","546","– –","-94","486","260","-106"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","663","-7","264","306","85","0"
"Reformulated","– –","–","– –","208","190","127","271","0","0"
"Conventional","– –","0","– –","455","-198","137","35","85","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","– –","0","0","–","0"
"Finished Petroleum Products","– –","3","19,665","755","163","290","– –","3,022","17,274"
"Finished Motor Gasoline","– –","3","9,979","63","48","21","– –","828","9,243"
"Reformulated","– –","–","3,215","–","-192","0","– –","–","3,022"
"Conventional","– –","3","6,765","63","240","21","– –","828","6,221"
"Finished Aviation Gasoline","– –","– –","13","0","– –","2","– –","–","12"
"Kerosene-Type Jet Fuel","– –","– –","1,674","156","– –","7","– –","196","1,627"
"Kerosene","– –","– –","3","2","– –","-6","– –","9","3"
"Distillate Fuel Oil","– –","– –","5,065","145","115","210","– –","1,154","3,961"
"15 ppm sulfur and under","– –","– –","4,753","89","115","188","– –","1,002","3,766"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","93","11","–","3","– –","91","9"
"Greater than 500 ppm sulfur","– –","– –","220","44","– –","18","– –","60","186"
"Residual Fuel Oil","– –","– –","450","258","– –","43","– –","291","375"
"Less than 0.31 percent sulfur","– –","– –","54","29","– –","11","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","68","16","– –","8","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","329","213","– –","24","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","285","41","– –","6","– –","–","320"
"Naphtha for Petro. Feed. Use","– –","– –","183","39","– –","2","– –","–","220"
"Other Oils for Petro. Feed. Use","– –","– –","102","2","– –","4","– –","–","100"
"Special Naphthas","– –","– –","31","18","– –","0","– –","–","49"
"Lubricants","– –","– –","169","35","– –","13","– –","78","113"
"Waxes","– –","– –","5","4","– –","1","– –","5","3"
"Petroleum Coke","– –","– –","924","7","– –","-5","– –","446","489"
"Marketable","– –","– –","694","7","– –","-5","– –","446","259"
"Catalyst","– –","– –","230","– –","– –","– –","– –","– –","230"
"Asphalt and Road Oil","– –","– –","300","27","– –","0","– –","14","312"
"Still Gas","– –","– –","674","– –","– –","– –","– –","– –","674"
"Miscellaneous Products","– –","– –","92","0","– –","-2","– –","1","93"
"Total","12,502","1,190","20,012","10,312","47","114","18,902","5,392","19,655"
