"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","1,303","– –","– –","26,954","4,344","-2,092","-3,765","33,537","738","0","14,163"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","11,273","-16","244","1,382","-1,403","– –","-107","1,879","908","8,800","9,414"
"Pentanes Plus","1,114","-16","– –","–","-10","– –","159","216","110","603","390"
"Liquefied Petroleum Gases","10,159","– –","244","1,382","-1,393","– –","-266","1,663","798","8,197","9,024"
"Ethane/Ethylene","4,684","– –","8","–","-4,453","– –","-240","–","315","164","290"
"Propane/Propylene","3,768","– –","1,167","1,226","2,727","– –","539","–","475","7,874","7,284"
"Normal Butane/Butylene","1,142","– –","-811","97","368","– –","-501","1,369","7","-79","1,261"
"Isobutane/Isobutylene","565","– –","-120","59","-35","– –","-64","294","1","238","189"
"Other Liquids","– –","1,038","– –","20,898","48,621","11,174","1,649","79,804","1,845","-1,567","71,522"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","1,041","– –","1,327","8,836","-642","-18","10,492","88","0","8,231"
"Hydrogen","– –","– –","– –","–","–","115","– –","115","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","1","–","–","1","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","1,041","– –","1,327","8,836","-759","-18","10,377","87","0","8,231"
"Fuel Ethanol","– –","868","– –","–","8,795","-32","-401","9,968","64","0","6,183"
"Renewable Fuels Except Fuel Ethanol","– –","173","– –","1,327","41","-726","383","409","23","0","2,048"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","1,707","-55","– –","-858","2,425","1,652","-1,567","4,865"
"Motor Gasoline Blend.Comp. (MGBC)","– –","-3","– –","17,864","39,840","11,816","2,525","66,887","105","0","58,426"
"Reformulated","– –","–","– –","6,229","6,155","3,863","2,052","14,195","0","0","18,926"
"Conventional","– –","-3","– –","11,635","33,685","7,953","473","52,692","105","0","39,500"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","116,484","9,582","43,825","-11,090","990","– –","3,234","154,577","103,019"
"Finished Motor Gasoline","– –","–","96,129","1,862","7,391","-11,784","-411","– –","33","93,976","4,486"
"Reformulated","– –","–","38,886","–","–","-3,585","-1","– –","–","35,302","24"
"Conventional","– –","–","57,243","1,862","7,391","-8,199","-410","– –","33","58,674","4,462"
"Finished Aviation Gasoline","– –","– –","–","1","839","– –","-30","– –","–","870","125"
"Kerosene-Type Jet Fuel","– –","– –","2,691","1,004","13,349","– –","1,729","– –","166","15,149","12,761"
"Kerosene","– –","– –","51","67","–","– –","-66","– –","2","182","1,833"
"Distillate Fuel Oil","– –","– –","11,538","3,400","21,365","694","213","– –","859","35,925","67,516"
"15 ppm sulfur and under","– –","– –","10,579","2,423","19,216","694","209","– –","859","31,844","53,382"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","-10","341","191","–","-450","– –","0","972","6,900"
"Greater than 500 ppm sulfur","– –","– –","969","636","1,958","– –","454","– –","–","3,109","7,234"
"Residual Fuel Oil","– –","– –","1,549","2,515","–","– –","-167","– –","1,445","2,786","10,572"
"Less than 0.31 percent sulfur","– –","– –","268","145","–","– –","-48","– –","NA","NA","904"
"0.31 to 1.00 percent sulfur","– –","– –","193","–","–","– –","261","– –","NA","NA","2,729"
"Greater than 1.00 percent sulfur","– –","– –","1,088","2,370","–","– –","-380","– –","NA","NA","6,939"
"Petrochemical Feedstocks","– –","– –","145","–","–","– –","46","– –","–","99","217"
"Naphtha for Petro. Feed. Use","– –","– –","145","–","–","– –","46","– –","–","99","217"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Special Naphthas","– –","– –","23","–","–","– –","2","– –","–","21","23"
"Lubricants","– –","– –","409","131","539","– –","26","– –","256","797","1,288"
"Waxes","– –","– –","9","92","–","– –","31","– –","81","-11","333"
"Petroleum Coke","– –","– –","1,236","1","–","– –","–","– –","324","913","–"
"Marketable","– –","– –","522","1","–","– –","–","– –","324","199","–"
"Catalyst","– –","– –","714","– –","– –","– –","– –","– –","– –","714","– –"
"Asphalt and Road Oil","– –","– –","1,300","509","342","– –","-387","– –","52","2,486","3,828"
"Still Gas","– –","– –","1,299","– –","– –","– –","– –","– –","– –","1,299","– –"
"Miscellaneous Products","– –","– –","105","–","–","– –","4","– –","16","85","37"
"Total","12,576","1,022","116,728","58,816","95,387","-2,007","-1,233","115,220","6,725","161,810","198,118"
