"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","165,928","– –","– –","96,629","4,105","-2,394","-5,439","258,994","10,713","0","944,100"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","59,126","-18","9,168","–","18,697","– –","-3,773","10,432","27,601","52,713","157,395"
"Pentanes Plus","6,376","-18","– –","–","-2,595","– –","389","2,420","40","914","15,697"
"Liquefied Petroleum Gases","52,750","– –","9,168","–","21,292","– –","-4,162","8,012","27,562","51,798","141,698"
"Ethane/Ethylene","25,082","– –","107","–","10,080","– –","3,079","–","–","32,190","48,766"
"Propane/Propylene","17,892","– –","11,517","–","8,991","– –","-615","–","23,425","15,590","63,237"
"Normal Butane/Butylene","4,115","– –","-2,145","–","1,572","– –","-6,162","4,100","4,049","1,555","24,954"
"Isobutane/Isobutylene","5,661","– –","-311","–","649","– –","-464","3,912","87","2,464","4,741"
"Other Liquids","– –","3,725","– –","14,246","-43,977","-8,556","928","-48,881","12,330","1,062","121,201"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","3,725","– –","1,132","5,639","2,182","-406","8,836","4,248","0","5,920"
"Hydrogen","– –","– –","– –","–","–","3,862","– –","3,862","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","2,291","– –","422","–","-568","168","62","1,915","0","1,224"
"Renewable Fuels (including Fuel Ethanol)","– –","1,434","– –","709","5,639","-1,112","-574","4,912","2,332","0","4,696"
"Fuel Ethanol","– –","780","– –","–","5,725","-281","-439","4,360","2,303","0","3,147"
"Renewable Fuels Except Fuel Ethanol","– –","654","– –","709","-86","-830","-135","552","30","0","1,549"
"Other Hydrocarbons","– –","– –","– –","1","–","-1","–","–","–","0","–"
"Unfinished Oils","– –","– –","– –","11,798","968","– –","-2,455","8,254","5,896","1,071","42,632"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","1,316","-50,584","-10,737","3,785","-65,976","2,186","0","72,632"
"Reformulated","– –","–","– –","–","-9,999","2,478","286","-7,808","1","0","11,175"
"Conventional","– –","–","– –","1,316","-40,585","-13,215","3,499","-58,168","2,185","0","61,457"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","4","5","–","-9","17"
"Finished Petroleum Products","– –","–","230,148","6,331","-47,815","12,072","7,086","– –","77,464","116,186","116,143"
"Finished Motor Gasoline","– –","–","68,573","–","-7,974","11,019","-422","– –","23,246","48,793","9,898"
"Reformulated","– –","–","13,694","–","–","-2,577","–","– –","–","11,117","–"
"Conventional","– –","–","54,879","–","-7,974","13,595","-422","– –","23,246","37,676","9,898"
"Finished Aviation Gasoline","– –","– –","288","–","-900","– –","54","– –","–","-666","365"
"Kerosene-Type Jet Fuel","– –","– –","27,197","–","-14,716","– –","-986","– –","3,992","9,475","15,064"
"Kerosene","– –","– –","-65","–","–","– –","-111","– –","249","-203","265"
"Distillate Fuel Oil","– –","– –","83,408","693","-23,874","1,053","5,886","– –","31,174","24,221","44,144"
"15 ppm sulfur and under","– –","– –","75,645","–","-21,588","1,053","5,262","– –","28,166","21,683","37,294"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","2,453","–","-283","–","439","– –","2,165","-434","1,608"
"Greater than 500 ppm sulfur","– –","– –","5,310","693","-2,003","– –","185","– –","843","2,972","5,242"
"Residual Fuel Oil","– –","– –","7,613","3,189","552","– –","2,044","– –","6,282","3,028","24,585"
"Less than 0.31 percent sulfur","– –","– –","996","723","–","– –","366","– –","NA","NA","2,166"
"0.31 to 1.00 percent sulfur","– –","– –","838","409","40","– –","-36","– –","NA","NA","5,507"
"Greater than 1.00 percent sulfur","– –","– –","5,779","2,057","512","– –","1,714","– –","NA","NA","16,912"
"Petrochemical Feedstocks","– –","– –","7,491","1,099","167","– –","147","– –","–","8,610","2,489"
"Naphtha for Petro. Feed. Use","– –","– –","4,714","1,087","121","– –","45","– –","–","5,877","1,356"
"Other Oils for Petro. Feed. Use","– –","– –","2,777","12","46","– –","102","– –","–","2,733","1,133"
"Special Naphthas","– –","– –","830","513","-34","– –","6","– –","–","1,303","1,099"
"Lubricants","– –","– –","4,306","679","-780","– –","403","– –","1,804","1,998","9,635"
"Waxes","– –","– –","107","2","–","– –","-1","– –","34","76","246"
"Petroleum Coke","– –","– –","15,819","156","–","– –","121","– –","10,417","5,437","3,322"
"Marketable","– –","– –","12,219","156","–","– –","121","– –","10,417","1,837","3,322"
"Catalyst","– –","– –","3,600","– –","– –","– –","– –","– –","– –","3,600","– –"
"Asphalt and Road Oil","– –","– –","2,072","–","-246","– –","13","– –","261","1,552","4,464"
"Still Gas","– –","– –","10,804","– –","– –","– –","– –","– –","– –","10,804","– –"
"Miscellaneous Products","– –","– –","1,705","–","-10","– –","-68","– –","4","1,759","567"
"Total","225,054","3,707","239,316","117,206","-68,991","1,122","-1,198","220,545","128,107","169,961","1,338,839"
