"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","1,020","– –","– –","1,170","129","41","-6","2,357","10","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","63","0","61","17","25","– –","4","75","41","45"
"Pentanes Plus","29","0","– –","–","–","– –","0","25","1","4"
"Liquefied Petroleum Gases","33","– –","61","17","25","– –","4","51","41","41"
"Ethane/Ethylene","0","– –","–","–","–","– –","–","–","–","0"
"Propane/Propylene","11","– –","46","16","11","– –","2","–","29","54"
"Normal Butane/Butylene","11","– –","12","2","10","– –","2","28","12","-7"
"Isobutane/Isobutylene","11","– –","3","0","3","– –","0","23","0","-5"
"Other Liquids","– –","26","– –","119","314","-9","-1","460","20","-28"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","26","– –","17","148","31","2","217","4","0"
"Hydrogen","– –","– –","– –","–","–","41","– –","41","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","26","– –","17","148","-9","2","177","4","0"
"Fuel Ethanol","– –","18","– –","2","140","1","1","158","3","0"
"Renewable Fuels Except Fuel Ethanol","– –","8","– –","15","8","-10","1","19","1","0"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","73","–","– –","-4","102","3","-28"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","29","166","-40","1","141","12","0"
"Reformulated","– –","–","– –","2","82","-6","1","77","0","0"
"Conventional","– –","–","– –","26","84","-34","0","64","12","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","3,022","186","57","48","0","– –","322","2,993"
"Finished Motor Gasoline","– –","–","1,607","3","12","39","2","– –","48","1,611"
"Reformulated","– –","–","1,118","–","–","-6","0","– –","–","1,112"
"Conventional","– –","–","489","3","12","45","2","– –","48","499"
"Finished Aviation Gasoline","– –","– –","2","0","0","– –","0","– –","–","2"
"Kerosene-Type Jet Fuel","– –","– –","429","91","8","– –","2","– –","24","502"
"Kerosene","– –","– –","0","–","–","– –","0","– –","0","0"
"Distillate Fuel Oil","– –","– –","553","15","36","9","-2","– –","93","523"
"15 ppm sulfur and under","– –","– –","527","14","36","9","-2","– –","60","528"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","10","0","–","–","0","– –","13","-2"
"Greater than 500 ppm sulfur","– –","– –","16","1","–","– –","0","– –","19","-3"
"Residual Fuel Oil","– –","– –","110","70","2","– –","-1","– –","32","150"
"Less than 0.31 percent sulfur","– –","– –","0","–","–","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","22","2","–","– –","0","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","88","68","–","– –","0","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","0","1","–","– –","0","– –","–","1"
"Naphtha for Petro. Feed. Use","– –","– –","0","1","–","– –","0","– –","–","1"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Special Naphthas","– –","– –","1","–","–","– –","0","– –","–","1"
"Lubricants","– –","– –","14","1","0","– –","-1","– –","7","9"
"Waxes","– –","– –","–","1","–","– –","–","– –","0","1"
"Petroleum Coke","– –","– –","148","1","–","– –","0","– –","117","31"
"Marketable","– –","– –","114","1","–","– –","0","– –","117","-2"
"Catalyst","– –","– –","33","– –","– –","– –","– –","– –","– –","33"
"Asphalt and Road Oil","– –","– –","25","3","–","– –","0","– –","1","27"
"Still Gas","– –","– –","121","– –","– –","– –","– –","– –","– –","121"
"Miscellaneous Products","– –","– –","13","–","–","– –","0","– –","0","13"
"Total","1,083","26","3,084","1,492","526","80","-4","2,892","392","3,010"
