BLDGID1        Building ID                                         
YRCONC1        Year built                                 $YRCONC15
SQFTC1         Square footage category                    $SQFTC17.
BCWM1          Principal building activity                $BCWM25. 
REGION1        Census region                              $REGION13
XSECWT1        Cross sectional weight                              
STRATUM1       Half-sample stratum                                 
PAIR1          Half-sample pair                                    
ELSUPL1        Supplier reported electricity use          $YESNO15.
NGSUPL1        Supplier reported natural gas use          $YESNO15.
PRSUPL1        Supplier reported propane use              $YESNO15.
STSUPL1        Supplier reported steam use                $YESNO15.
FKSUPL1        Supplier report/Fuel oil-kero. use         $YESNO15.
OCCNUM1        Number of occupants                        $OCCNUM15
FEDGOV1        Federal government occupancy               $YESNO15.
STGOV1         State government occupancy                 $YESNO15.
LOCGOV1        Local government occupancy                 $YESNO15.
GOVOWN1        Government owned                           $YESNO15.
OWNOCC1        Building owner an occupant                 $YESNO15.
MANSUP1        Management office supervised               $YESNO15.
ONPREM1        Management office on premises              $ONPREM15
YRCON1         Year built                                 MISS4CH15
STRIP1         Stripping/caulking added                   $YESNO15.
STRIPY1        Year stripping/caulking added              MISS4CH15
INSUL1         Insulation added                           $YESNO15.
INSULY1        Year insulation added                      MISS4CH15
GLASP1         Over 50% exterior glass                    $YESNO15.
GLASPC1        Percent exterior glass                     $GLASPC15
GLASS1         Energy conservation glass                  $YESNO15.
GLASST1        Time glass installed                       $TIMEC18.
GLASSY1        Year glass installed                       MISS4CH15
AWNSH1         Outside awnings or shades                  $YESNO15.
AWNSHT1        Time awnings/shades installed              $TIMEC18.
AWNSHY1        Year awnings/shades installed              MISS4CH15
INSSH1         Inside shades                              $YESNO15.
NFLOOR1        Number of floors                           NFLOOR15.
SQFT1          Total square footage                       COMMA10. 
RESUSE1        Residential usage                          $YESNO15.
RESCAT1        Percent residential category               $RES3QTR1
SHPCEN1        Shopping center usage                      $YESNO15.
ACT751         One activity over 75%                      $YESNO15.
NWKER1         Number of workers                          COMMA6.  
NWKERC1        Number of workers category                 $NWKER15.
MONHR1         Monday hours of operation                  MISS2CH15
TUEHR1         Tuesday hours of operation                 MISS2CH15
WEDHR1         Wednesday hours of operation               MISS2CH15
THUHR1         Thursday hours of operation                MISS2CH15
FRIHR1         Friday hours of operation                  MISS2CH15
SATHR1         Saturday hours of operation                MISS2CH15
SUNHR1         Sunday hours of operation                  MISS2CH15
AVGNHR1        Avg. num. hrs for all Schedules            MISS3CH15
NSCHED1        Number of schedules                        MISS2CH15
SONU1          Self-contained onsite unit                 $YESNO15.
CONU1          Central onsite unit                        $YESNO15.
COFFU1         Central offsite unit                       $YESNO15.
OTU1           Other type unit                            $YESNO15.
LFU1           Local fan unit                             $YESNO15.
CAU1           Central air unit                           $YESNO15.
EB1            Electric baseboards                        $YESNO15.
HWB1           Hot water baseboards                       $YESNO15.
SB1            Steam baseboards                           $YESNO15.
RAD1           Radiators                                  $YESNO15.
WOFP1          Wall or floor panels                       $YESNO15.
OHD1           Other heat distribution                    $YESNO15.
HEATP1         Percent heated                             MISS3CH15
RESU1          Residential units                          $RESU22. 
RESHC1         Residential heat control                   $YESNO15.
RESHG1         Residential heat temp. goal                TEMP15.  
RESHW1         Residential heat temp. was                 TEMP15.  
RESNHR1        Residential night heat reduced             $YESNO15.
NRHC1          Nonresidential heat control                $NRH16.  
NRHG1          Nonresidential heat temp. goal             TEMP15.  
NRHW1          Nonresidential heat temp. was              TEMP15.  
NRNHR1         Nonres. night heat reduced                 $NRH16.  
COOLP1         Percent cooled                             MISS3CH15
RESCC1         Residential cooling control                $RESCC19.
RESC791        Res. cooling temp. was                     TEMP15.  
RESC781        Res. cooling temp. in 1978                 TEMP15.  
RESNCR1        Res. night cooling reduced                 $YESNO15.
NRCC1          Nonres. cooling control                    $YESNO15.
NRC791         Nonres. cooling temp. was                  TEMP15.  
NRC781         Nonres. cooling temp. in 1978              TEMP15.  
NRNCR1         Nonres. night cooling reduced              $YESNO15.
PORVAC1        Portion vacant                             $YESNO15.
VACP1          Percent vacant                             MISS3CH15
VHCR1          Vacant heating/cooling reduced             $YESNO15.
MAINT1         Regular maintenance                        $YESNO15.
HCCON1         Heating/cooling conservation               $YESNO15.
LTCON1         Lighting conservation                      $YESNO15.
FKCH1          Conv. from oil/Heating                     $YESNO15.
FKCAC1         Conv. from oil/Cooling                     $YESNO15.
FKCW1          Conv. from oil/Water heat                  $YESNO15.
FKCG1          Conv. from oil/Generation                  $YESNO15.
FKCM1          Conv. from oil/Manufacturing               $YESNO15.
