"Table 47.  Exports of Crude Oil and Petroleum Products by PAD District, December 2005",,,,,,,,,,
,,,      (Thousand Barrels),,,,,,,
Commodity,,,,PAD Districts,,,,,U.S. Totals,
,,,,1,2,3,4,5,Total,Daily Average
Crude Oila,,,,60,417,0,17,0,493,16
Natural Gas Liquids,,,,30,250,811,45,564,"1,700",55
,Pentanes Plus,,,0,154,0,44,13,211,7
,Liquefied Petroleum Gases,,,30,97,811,0,551,"1,489",48
,,Ethane/Ethylene,,0,0,0,0,0,0,0
,,Propane/Propylene,,20,21,782,0,548,"1,371",44
,,Normal Butane/Butylene,,10,76,29,0,3,118,4
,,Isobutane/Isobutylene,,0,0,0,0,0,0,0
Other Liquids,,,,174,25,"1,472",0,95,"1,766",57
,Other Hydrocarbons/Oxygenates,,,125,25,"1,082",0,93,"1,325",43
,,Other Hydrocarbons/Hydrogen,,0,0,0,0,0,0,0
,,Oxygenates,,125,25,"1,082",0,93,"1,325",43
,, ,Fuel Ethanol (FE),0,0,0,0,0,0,0
,,,Methyl Tertiary Butyl Ether (MTBE),0,1,"1,004",0,2,"1,007",32
,,,Other Oxygenates,125,24,78,0,90,317,10
,Motor Gasoline Blend. Comp,,,49,0,389,0,3,441,14
,,Reformulated,,0,0,0,0,0,0,0
,,Conventional,,49,0,389,0,3,441,14
,Aviation Gasoline Blend. Comp.,,,0,0,0,0,0,0,0
Finished Petroleum Products,,,,"1,176",585,"21,159",18,"7,121","30,058",970
,Finished Motor Gasoline,,,304,73,"5,280",0,1,"5,657",182
,,Reformulated,,7,0,530,0,0,538,17
,,Conventional,,296,73,"4,750",0,0,"5,120",165
,Finished Aviation Gasoline,,,0,0,0,0,0,0,0
,Kerosene-Type Jet Fuel,,,73,2,204,0,372,651,21
,Kerosene,,,2,0,0,0,6,9,0
,Distillate Fuel Oil,,,1,88,"1,362",0,553,"2,003",65
,,15 ppm sulfur and under,,0,0,0,0,0,0,0
,,Greater than 15 ppm to 500 ppm sulfur,,1,10,586,0,112,709,23
,,Greater than 500 ppm sulfur,,0,78,776,0,440,"1,294",42
,Residual Fuel Oil,,,430,90,"4,941",0,"1,870","7,330",236
,Naphtha For Petro. Feed. Use,,,0,0,0,0,0,0,0
,Other Oils for Petro. Feed. Use,,,0,0,0,0,0,0,0
,Special Naphthas,,,8,0,25,0,534,567,18
,Lubricants,,,107,121,"1,422",10,50,"1,709",55
,Waxes,,,83,25,51,0,13,172,6
,Petroleum Coke,,,94,116,"7,849",2,"3,635","11,696",377
,Asphalt and Road Oil,,,67,69,14,6,78,235,8
,Miscellaneous Products,,,8,0,11,0,9,28,1
Total,,,,"1,439","1,276","23,442",79,"7,780","34,017","1,097"
