"Table 53.  Stocks of Crude Oil and Petroleum Products by PAD District, December 2005",,,,,,,,,,
,,          (Thousand Barrels),,  (Thousand Barrels),,,,,,
,Commodity,,,,PAD Districts,,,,,
,,,,,1,2,3,4,5,U.S. Total
Crude Oil,,,,,"15,019","69,491","856,448","14,054","52,769","1,007,781"
,Refinery,,,,"14,213","14,336","47,129","2,344","21,840","99,862"
,"Tank Farms and Pipelines (Includes Cushing, OK)",,,,762,"54,265","111,331","10,723","22,717","199,798"
,,"Cushing, Oklahoma",,,-,"21,777",-,-,-,-
,Leases,,,,44,890,"13,444",987,"1,468","16,833"
,Strategic Petroleum Reservea ,,,,0,0,"684,544",0,0,"684,544"
,Alaskan In Transit,,,,0,0,0,0,"6,744","6,744"
"Total Stocks, All Oils (excluding Crude Oil)b",,,,,"159,828","150,922","269,110","16,327","91,890","688,077"
,Refinery,,,,"28,504","46,810","116,549","10,583","53,944","256,390"
,Bulk Terminal,,,,"102,244","61,806","92,389","2,412","28,384","287,235"
,Pipeline,,,,"29,008","41,720","57,306","3,182","9,452","140,668"
,Natural Gas Processing Plant ,,,,72,586,"2,866",150,110,"3,784"
Pentanes Plus,,,,,32,"2,209","5,563",171,95,"8,070"
,,Refinery,,,0,661,596,15,0,"1,272"
,,Bulk Terminal,,,0,991,"2,792",1,84,"3,868"
,,Pipeline,,,0,396,"1,649",108,0,"2,153"
,,Natural Gas Processing Plant ,,,32,161,526,47,11,777
Liquefied Petroleum Gases,,,,,"5,357","28,248","71,430","1,382","3,094","109,511"
,,Refinery,,,"1,138","3,086","6,372",373,"1,268","12,237"
,,Bulk Terminal,,,"2,336","17,652","45,490",158,"1,727","67,363"
,,Pipeline,,,"1,843","7,085","17,228",748,0,"26,904"
,,Natural Gas Processing Plant ,,,40,425,"2,340",103,99,"3,007"
,Ethane/Ethylene,,,,0,"2,622","21,726",323,0,"24,671"
,,Refinery,,,0,0,219,0,0,219
,,Bulk Terminal,,,0,"1,130","17,161",0,0,"18,291"
,,,Ethylene,,0,0,216,0,0,216
,,Pipeline,,,0,"1,417","3,824",321,0,"5,562"
,,Natural Gas Processing Plant ,,,0,75,522,2,0,599
,Propane/Propylene,,,,"4,276","18,144","33,031",530,"1,396","57,377"
,,Refinery,,,338,"1,381","1,814",89,136,"3,758"
,,Bulk Terminal,,,"2,193","12,671","21,059",158,"1,231","37,312"
,,,Nonfuel Use,,0,63,"3,796",0,0,"3,859"
,,Pipeline,,,"1,719","3,894","9,467",233,0,"15,313"
,,Natural Gas Processing Plant ,,,26,198,691,50,29,994
,Normal Butane/Butylene,,,,866,"5,658","12,701",371,"1,280","20,876"
,,Refinery,,,587,"1,325","3,268",211,837,"6,228"
,,Bulk Terminal,,,143,"2,992","5,570",0,419,"9,124"
,,,Refinery Grade Butane,,0,652,"2,589",0,0,"3,241"
,,Pipeline,,,124,"1,226","3,062",124,0,"4,536"
,,Natural Gas Processing Plant ,,,12,115,801,36,24,988
