"Table 33.  Percent Yield of Petroleum Products by PAD and Refining Districts, December 2005",,,,,,,,,,,,,,,,,,

Commodity,,,PAD District 1,,,PAD District 2,,,,PAD District 3,,,,,,PAD Dist. 4,PAD Dist. 5,
,,,East Coast,Appalachian No. 1,Total,"IN, IL, KY","MN, WI, ND, SD","OK, KS, MO",Total,Texas Inland,Texas Gulf Coast,LA Gulf Coast,"N. LA, AR",New Mexico,Total,Rocky Mt.,West Coast,U. S. Total
Liquefied Refinery Gases,,,0.7,-0.6,0.6,3.5,-1.1,-1.0,1.9,1.3,4.3,3.0,0.8,-0.1,3.4,-0.8,0.7,2.2
Finished Motor Gasolinea,,,50.3,36.7,49.5,50.6,52.5,52.9,51.3,56.5,45.7,44.5,22.5,59.6,45.7,47.7,49.3,48.0
Finished Aviation Gasolineb,,,0.2,0.0,0.2,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1
Kerosene-Type Jet Fuel,,,4.8,0.0,4.6,6.6,5.8,3.9,5.9,7.5,9.4,12.4,5.1,6.1,10.3,5.2,16.2,9.6
Kerosene,,,0.6,2.0,0.7,1.1,0.7,0.4,0.9,-0.1,0.8,0.2,0.2,0.0,0.4,0.8,0.0,0.5
Distillate Fuel Oil,,,30.1,29.7,30.0,25.8,29.7,36.1,28.5,28.4,25.5,23.5,21.3,25.0,24.8,29.9,20.6,25.6
Residual Fuel Oil,,,8.7,1.0,8.3,1.9,2.7,0.8,1.8,0.8,3.8,4.4,3.6,0.2,3.7,2.9,5.6,4.1
Naphtha for Petro. Feed. Use,,,0.8,0.0,0.8,1.1,0.0,0.0,0.7,0.3,2.6,1.9,0.0,-0.7,2.1,0.0,0.0,1.2
Other Oils for Petro. Feed. Use,,,0.0,0.0,0.0,0.3,0.0,0.4,0.3,0.6,2.1,2.6,0.0,0.0,2.1,0.1,0.4,1.1
Special Naphthas,,,0.1,0.7,0.1,0.2,0.0,0.3,0.2,0.5,0.6,-0.1,4.2,0.0,0.4,0.0,0.0,0.2
Lubricants,,,0.8,6.9,1.1,0.3,0.0,1.3,0.5,0.2,1.3,1.7,15.3,0.0,1.7,0.0,0.7,1.1
Waxes,,,0.0,0.5,0.0,0.1,0.0,0.2,0.1,0.0,0.2,0.1,0.8,0.0,0.1,0.5,0.0,0.1
Petroleum Coke,,,2.7,0.8,2.6,4.2,6.0,4.2,4.4,1.5,7.3,6.8,1.4,1.1,6.4,3.5,6.3,5.4
Asphalt and Road Oil,,,1.3,21.1,2.4,5.5,7.6,2.3,5.1,3.1,0.4,0.9,21.7,3.4,1.3,9.3,1.5,2.6
Still Gas,,,3.6,2.0,3.5,3.7,4.7,4.2,3.9,4.9,4.8,4.3,4.1,3.3,4.5,3.7,5.0,4.3
Miscellaneous Products,,,0.1,0.3,0.1,0.4,0.7,0.1,0.4,0.2,0.5,0.8,0.0,0.0,0.6,0.4,0.3,0.4
Processing Gain(-) or Loss(+)c,,,-4.7,-1.0,-4.5,-5.4,-9.5,-6.0,-6.0,-5.9,-9.1,-6.9,-0.9,2.1,-7.6,-3.3,-6.6,-6.6
