Table 25.  Production of Crude Oil by PAD District and State,,,,,,
,,          (Thousand Barrels),,,,
PAD District and State,,,October 2005,,January-October 2005,
,,,Total,Daily Average,Total ,Daily Average
PAD District 1,,,603,19,"5,985",20
,Florida,,208,7,"2,184",7
,New York,,22,1,149,0
,Pennsylvania,,237,8,"2,278",7
,Virginia,,1,0,6,0
,West Virginia,,139,4,"1,332",4
,Adjustmenta,,-4,0,36,0
PAD District 2,,,"13,671",441,"133,270",438
,Illnois,,876,28,"8,870",29
,Indiana,,150,5,"1,457",5
,Kansas,,"2,862",92,"27,983",92
,Kentucky,,152,5,"1,877",6
,Michigan,,538,17,"4,995",16
,Missouri,,5,0,45,0
,Nebraska,,204,7,"2,029",7
,North Dakota,,"3,008",97,"28,360",93
,Ohio,,475,15,"4,790",16
,Oklahoma,,"5,208",168,"51,354",169
,South Dakota,,139,4,"1,180",4
,Tennessee,,26,1,234,1
,Adjustmenta,,29,1,96,0
PAD District 3,,,"58,958","1,902","855,482","2,814"
,Alabama,,680,22,"6,537",22
,Arkansas,,541,17,"5,281",17
,Louisiana,,"4,257",137,"62,121",204
,Mississippi,,"1,564",50,"14,549",48
,New Mexico,,"5,075",164,"50,618",167
,Texas,,"32,304","1,042","321,619","1,058"
,Federal Offshore PAD District 3,,"15,757",508,"395,480","1,301"
,Adjustmenta,,"-1,221",-39,-723,-2
PAD District 4,,,"10,298",332,"98,294",323
,Colorado,,"1,555",50,"16,398",54
,Montana,,"2,984",96,"27,125",89
,Utah,,"1,410",45,"13,135",43
,Wyoming,,"4,369",141,"42,201",139
,Adjustmenta,,-20,-1,-565,-2
PAD District 5,,,"48,164","1,554","479,660","1,578"
,Alaska,,"26,715",862,"263,310",866
,,South Alaska,588,19,"5,997",20
,,North Slope,"26,128",843,"257,313",866
,,Adjustment for Alaskaa,0,0,0,0
,Arizona,,4,0,43,0
,California,,"19,289",622,"192,137",632
,Nevada,,36,1,375,1
,Federal Offshore PAD District 5,,"2,318",75,"22,211",73
,Adjustment excluding Alaskaa,,-199,-6,"1,584",5
U.S. Total,,,"131,693","4,248","1,572,691","5,173"
