"Table 3. U.S. Daily Average Supply and Disposition of Crude Oil and Petroleum Products, December 2005",,,,,,,,,,
,,       (Thousand Barrels per Day),,,,,,,,
Commodity,,,Supply,,,,Disposition,,,
,,,Field Production,Refinery and Blender Net Production,Imports,Adjust-mentsa,Stock Changeb,Refinery and Blender Net Inputs,Exports,Products Suppliedc
Crude Oil,,,"4,975",-,"9,988",96,10,"15,033",16,0
,Commercial,,"4,975",-,"9,988",96,45,-,16,-
,,Alaskan,836,-,-,-,-,-,-,-
,,Lower 48 States,"4,138",-,-,-,-,-,-,-
,Strategic Petroleum Reserve (SPR),,-,-,0,-,-35,-,-,-
,,Imports by SPR,-,-,0,-,-,-,-,-
,,Imports into SPR by Others,-,-,0,-,-,-,-,-
Natural Gas Liquids and LRGs,,,"1,452",342,411,-,-945,555,55,"2,540"
,Pentanes Plus,,234,-,53,-,-40,204,7,117
,Liquefied Petroleum Gases,,"1,218",342,358,-,-904,352,48,"2,422"
,,Ethane/Ethylene,500,18,0,-,-110,0,0,628
,,Propane/Propylene,442,542,291,-,-488,0,44,"1,719"
,,Normal Butane/Butylene,119,-191,53,-,-274,229,4,22
,,Isobutane/Isobutylene,157,-27,13,-,-32,122,0,53
Other Liquids,,,-,-,"1,103",-46,-158,"1,061",57,97
,Other Hydrocarbons/Oxygenates,,-,-,65,390,-12,425,43,0
,Unfinished Oils,,-,-,532,-,-265,702,0,95
,Motor Gasoline Blend. Comp. (MGBC),,-,-,506,-436,116,-60,14,0
,,Reformulated,-,-,108,-68,80,-40,0,0
,,Conventional,-,-,399,-369,36,-20,14,0
,Aviation Gasoline Blend. Comp.,,-,-,0,-,3,-5,0,2
Finished Petroleum Products,,,-,"17,353","2,004",483,113,-,970,"18,757"
,Finished Motor Gasoline,,-,"8,474",531,483,60,-,182,"9,246"
,,Reformulated,-,"2,912",193,75,8,-,17,"3,156"
,,Conventional,-,"5,562",338,408,52,-,165,"6,090"
,Finished Aviation Gasoline,,-,12,0,-,-4,-,0,15
,Kerosene-Type Jet Fuel,,-,"1,515",217,-,-22,-,21,"1,733"
,Kerosene,,-,77,10,-,3,-,0,83
,Distillate Fuel Oild,,-,"4,025",435,-,73,-,65,"4,323"
,,15 ppm sulfur and under,-,31,3,-,16,-,0,18
,,Greater than 15 ppm to 500 ppm sulfur,-,"2,929",170,-,128,-,23,"2,948"
,,Greater than 500 ppm sulfur,-,"1,064",262,-,-72,-,42,"1,357"
,Residual Fuel Oile,,-,647,508,-,-80,-,236,998
,,Less than 0.31 percent sulfur,-,91,130,-,30,-,-,-
,,0.31 to 1.00 percent sulfur,-,159,167,-,-51,-,-,-
,,Greater than 1.00 percent sulfur,-,397,211,-,-59,-,-,-
,Petrochemical Feedstocks,,-,361,220,-,7,-,-,575
,,Naphtha for Petro. Feed. Use,-,188,100,-,6,-,-,282
,,Other Oils for Petro. Feed. Use,-,174,120,-,1,-,-,293
,Special Naphthas,,-,38,20,-,0,-,18,40
,Lubricants,,-,179,5,-,10,-,55,119
,Waxes,,-,17,4,-,1,-,6,14
,Petroleum Coke,,-,857,25,-,-18,-,377,523
,,Marketable,-,626,25,-,-18,-,377,291
,,Catalyst,-,232,-,-,-,-,-,232
,Asphalt and Road Oil,,-,402,28,-,99,-,8,323
,Still Gas,,-,684,-,-,-,-,-,684
,Miscellaneous Products,,-,66,0,-,-17,-,1,82
Total,,,"6,427","17,695","13,506",533,-980,"16,649","1,097","21,393"
,,,,,,,,,,
,,,,,,,,,,
