"Table 21.  PAD District 5--Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products, December 2005",,,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,,Ending Stocks
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd,
Crude Oil,,,"47,441",-,"33,121",0,"4,394",88,"84,868",0,0,"52,769"
Natural Gas Liquids and LRGs,,,"2,327",604,10,0,-,"-2,153","2,492",564,"2,038","3,189"
,Pentanes Plus,,"1,074",-,0,0,-,-76,815,13,322,95
,Liquefied Petroleum Gases,,"1,253",604,10,0,-,"-2,077","1,677",551,"1,716","3,094"
,,Ethane/Ethylene,4,0,0,0,-,0,0,0,4,0
,,Propane/Propylene,412,"1,891",10,0,-,-590,0,548,"2,355","1,396"
,,Normal Butane/Butylene,391,-991,0,0,-,"-1,301","1,209",3,-511,"1,280"
,,Isobutane/Isobutylene,446,-296,0,0,-,-186,468,0,-132,418
Other Liquids,,,-,-,"2,703","1,418",914,-902,"4,318",95,"1,524","44,523"
,Other Hydrocarbons/Oxygenates,,-,-,540,0,"2,999",3,"3,443",93,0,"1,865"
,Unfinished Oils,,-,-,"1,268",50,-,"-2,103","1,897",0,"1,524","19,408"
,Motor Gasoline Blend. Comp. (MGBC),,-,-,895,"1,368","-2,084","1,198","-1,022",3,0,"23,250"
,,Reformulated,-,-,0,"1,368","-1,342",896,-870,0,0,"12,650"
,,Conventional,-,-,895,0,-742,302,-152,3,0,"10,600"
,Aviation Gasoline Blend. Comp.,,-,-,0,0,-,0,0,0,0,0
Finished Petroleum Products,,,-,"96,842","3,751","2,632","2,307","2,402",-,"7,121","96,009","44,178"
,Finished Motor Gasoline,,-,"47,681",33,"2,033","2,307",665,-,1,"51,388","8,471"
,,Reformulated,-,"35,025",0,0,"1,423",271,-,0,"36,177","1,140"
,,Conventional,-,"12,656",33,"2,033",884,394,-,0,"15,212","7,331"
,Finished Aviation Gasoline,,-,62,0,17,-,-18,-,0,97,330
,Kerosene-Type Jet Fuel,,-,"14,080","2,727",209,-,"1,369",-,372,"15,275","10,496"
,Kerosene,,-,-6,0,0,-,-14,-,6,2,84
,Distillate Fuel Oil,,-,"17,882",117,430,-,875,-,553,"17,001","13,698"
,,15 ppm sulfur and under,-,374,108,0,-,254,-,0,228,827
,,Greater than 15 ppm to 500 ppm sulfur,-,"14,482",8,413,-,478,-,112,"14,313","9,915"
,,Greater than 500 ppm sulfur,-,"3,026",1,17,-,143,-,440,"2,461","2,956"
,Residual Fuel Oile,,-,"4,880",728,0,-,-822,-,"1,870","4,560","5,072"
,,Less than 0.31 percent sulfur,-,227,0,0,-,82,-,-,-,279
,,0.31 to 1.00 percent sulfur,-,"1,850",0,0,-,-562,-,-,-,"1,048"
,,Greater than 1.00 percent sulfur,-,"2,803",728,0,-,-334,-,-,-,"3,570"
,Petrochemical Feedstocks,,-,307,0,0,-,34,-,-,273,188
,,Naphtha for Petro. Feed. Use,-,0,0,0,-,0,-,-,0,0
,,Other Oils for Petro. Feed. Use,-,307,0,0,-,34,-,-,273,188
,Special Naphthas,,-,39,0,0,-,10,-,534,-505,37
,Lubricants,,-,647,35,-57,-,-51,-,50,626,"1,147"
,Waxes,,-,0,24,0,-,0,-,13,11,0
,Petroleum Coke,,-,"5,428",8,-,-,84,-,"3,635","1,717","2,671"
,,Marketable,-,"4,285",8,-,-,84,-,"3,635",574,"2,671"
,,Catalyst,-,"1,143",-,-,-,-,-,0,"1,143",-
,Asphalt and Road Oil,,-,"1,275",79,0,-,286,-,78,990,"1,810"
,Still Gas,,-,"4,302",-,-,-,-,-,0,"4,302",-
,Miscellaneous Products,,-,265,0,0,-,-16,-,9,272,174
Total,,,"49,768","97,446","39,585","4,050","7,615",-565,"91,678","7,780","99,571","144,659"
