"Table 34.  Imports of Residual Fuel Oil by Sulfur Content and by PAD District and State of Entry, December 2005",,,,,,
,,          (Thousand Barrels),,,,
PAD District and State of Entry,,,Residual Fuel Oil,,,
,,,Less than 0.31 % sulfur,0.31 to 1.00 % sulfur,Greater than 1.00 % sulfur,Total
PAD District 1,,,"3,961","4,640","4,752","13,353"
,Connecticut,,0,0,0,0
,Delaware,,0,0,0,0
,Florida,,475,345,"1,569","2,389"
,Georgia,,0,0,400,400
,Maine,,0,479,513,992
,Maryland,,217,438,25,680
,Massachusetts,,0,941,75,"1,016"
,New Hampshire,,0,0,319,319
,New Jersey,,"1,614",505,889,"3,008"
,New York,,"1,277","1,333",104,"2,714"
,North Carolina,,168,0,260,428
,Pennsylvania,,0,408,245,653
,Rhode Island,,0,0,0,0
,South Carolina,,81,90,291,462
,Vermont,,2,10,62,74
,Virginia,,127,91,0,218
PAD District 2,,,0,54,116,170
,Illinois,,0,0,0,0
,Indiania,,0,0,0,0
,Michigan,,0,9,116,125
,Minnesota,,0,45,0,45
,North Dakota,,0,0,0,0
,Ohio,,0,0,0,0
,Wisconsin,,0,0,0,0
PAD District 3,,,63,491,930,"1,484"
,Alabama,,0,0,0,0
,Louisiana,,63,291,0,354
,Mississippi,,0,0,0,0
,New Mexico,,0,0,0,0
,Texas,,0,200,930,"1,130"
PAD District 4,,,0,0,0,0
,Idaho,,0,0,0,0
,Montana,,0,0,0,0
PAD District 5,,,0,0,728,728
,Alaska,,0,0,0,0
,California,,0,0,636,636
,Hawaii,,0,0,0,0
,Oregon,,0,0,92,92
,Washington,,0,0,0,0
U.S. Total,,,"4,024","5,185","6,526","15,735"
