"Table 54.  Refinery, Bulk Terminal, and Natural Gas Plant Stocks of Selected Petroleum Products by PAD",,,,,,,,,,,,
,,"         District and State, September 2005",,,,,,,,,,
,,         (Thousand Barrels),,,,,,,,,,
PAD District and State,,,Motor Gasoline,,,Kerosene,Distillate Fuel Oila,,,,Residual Fuel,Propane/  Propylene
,,,Conventional,Reformulated,Total,,15 ppm sulfur and Under,Greater than 15 ppm to 500 ppm sulfur,Greater than 500 ppm sulfur,Total,,
PAD District 1,,,"19,285","9,568","28,853","2,072",513,"14,212","37,557","52,282","11,342","2,766"
,Connecticut,,0,17,17,63,97,459,"5,457","6,013",98,0
,Delaware,,311,211,522,0,0,169,798,967,213,228
,District of Columbia,,0,0,0,0,0,0,0,0,0,0
,Florida,,"4,707",0,"4,707",35,1,888,486,"1,375",333,233
,Georgia,,"1,852",0,"1,852",3,23,433,253,709,250,0
,Maine,,749,0,749,403,0,347,"1,557","1,904",400,0
,Maryland,,135,720,855,126,10,587,"2,336","2,933","1,176",0
,Massachusetts,,0,"1,655","1,655",69,41,427,"2,376","2,844",348,0
,New Hampshire,,66,139,205,144,0,272,778,"1,050",125,585
,New Jersey,,"1,982","3,673","5,655",182,173,"2,583","11,942","14,698","3,907",177
,New York,,"1,595",61,"1,656",464,71,"2,724","5,607","8,402","2,520",47
,North Carolina,,"1,638",0,"1,638",71,0,616,514,"1,130",282,6
,Pennsylvania,,"4,061","1,221","5,282",321,4,"2,642","3,030","5,676",912,552
,Rhode Island,,0,706,706,48,0,580,"1,014","1,594",107,0
,South Carolina,,"1,004",0,"1,004",58,35,315,181,531,93,544
,Vermont,,45,0,45,0,0,12,14,26,0,0
,Virginia,,901,"1,165","2,066",66,29,"1,113","1,202","2,344",529,375
,West Virginia,,239,0,239,19,29,45,12,86,49,19
PAD District 2,,,"22,688",50,"22,738",795,158,"11,931","4,902","16,991","2,203","20,320"
,Illinois,,"2,059",0,"2,059",137,0,"2,426",897,"3,323",415,672
,Indiana,,"3,078",0,"3,078",146,95,"1,543",869,"2,507",142,83
,Iowa,,"1,160",0,"1,160",0,0,576,171,747,0,345
,Kansas,,"1,863",0,"1,863",5,0,855,251,"1,106",179,"14,756"
,Kentucky,,"1,068",0,"1,068",48,0,469,134,603,277,279
,Michigan,,"3,049",0,"3,049",125,0,926,267,"1,193",81,"2,883"
,Minnesota,,"1,220",0,"1,220",73,0,"1,019",60,"1,079",73,323
,Missouri,,417,50,467,0,47,173,164,384,4,112
,Nebraska,,214,0,214,0,0,254,68,322,0,301
,North Dakota,,301,0,301,0,0,350,100,450,38,41
,Ohio,,"3,879",0,"3,879",153,0,"1,206",733,"1,939",61,333
,Oklahoma,,"1,578",0,"1,578",82,0,699,699,"1,398",27,175
,South Dakota,,57,0,57,0,0,159,0,159,0,0
,Tennessee,,"1,689",0,"1,689",6,8,534,210,752,109,4
,Wisconsin,,"1,056",0,"1,056",20,8,742,279,"1,029",797,13
PAD District 3,,,"18,369","3,563","21,932",947,123,"10,145","6,316","16,584","14,879","28,835"
,Alabama,,"1,119",0,"1,119",16,0,372,378,750,187,67
,Arkansas,,619,0,619,0,0,276,112,388,7,7
,Louisiana,,"5,425",327,"5,752",259,0,"2,636","2,472","5,108","6,085","2,688"
,Mississippi,,"1,209",0,"1,209",0,0,824,237,"1,061",213,"4,319"
,New Mexico,,417,0,417,2,0,231,102,333,7,22
,Texas,,"9,580","3,236","12,816",670,123,"5,806","3,015","8,944","8,380","21,732"
PAD District 4,,,"2,722",0,"2,722",62,0,"1,166",350,"1,516",415,469
,Colorado,,633,0,633,55,0,217,71,288,41,17
,Idaho,,223,0,223,0,0,123,47,170,0,0
,Montana,,978,0,978,6,0,442,0,442,70,26
,Utah,,457,0,457,1,0,176,202,378,185,389
,Wyoming,,431,0,431,0,0,208,30,238,119,37
PAD District 5,,,"6,792","1,424","8,216",81,559,"6,479","2,057","9,095","5,239","2,178"
,Alaska,,660,0,660,0,0,25,756,781,356,3
,Arizona,,558,804,"1,362",0,14,254,0,268,0,"1,517"
,California,,"1,319",620,"1,939",77,438,"4,442",338,"5,218","2,798",574
,Hawaii,,663,0,663,0,25,98,393,516,577,74
,Nevada,,107,0,107,0,0,57,0,57,0,2
,Oregon,,"1,253",0,"1,253",4,74,370,137,581,447,0
,Washington,,"2,232",0,"2,232",0,8,"1,233",433,"1,674","1,061",8
U.S. Totala,,,"69,856","14,605","84,461","3,957","1,353","43,933","51,182","96,468","34,078","54,568"
