"Table 2.  U.S. Year-to-Date Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products, ",,,,,,,,,,,
,,        January-September 2005,,,,,,,,,
,,        (Thousand Barrels),,,,,,,,,
Commodity,,,Supply,,,,Disposition,,,,
,,,Field Production,Refinery and Blender Net Production,Imports,Adjust-mentsa,Stock Changeb,Refinery and Blender Net Inputs,Exports,Products Suppliedc,Ending Stocksd
Crude Oil,,,"1,440,997",-,"2,762,045","57,583","38,890","4,209,756","11,979",0,"1,000,770"
,Commercial,,"1,440,997",-,"2,748,028","57,583","20,831",-,"11,979",-,"307,111"
,,Alaskan,"236,595",-,-,-,-,-,-,-,-
,,Lower 48 States,"1,204,402",-,-,-,-,-,-,-,-
,Strategic Petroleum Reserve (SPR),,-,-,"14,017",-,"18,059",-,-,-,"693,659"
,,Imports by SPR,-,-,0,-,-,-,-,-,-
,,Imports into SPR by Others,-,-,"14,017",-,-,-,-,-,-
Natural Gas Liquids and LRGs,,,"482,731","181,485","92,094",-,"45,595","107,999","16,730","585,986","156,616"
,Pentanes Plus,,"74,311",-,"13,800",-,"3,082","48,592","1,602","34,835","10,362"
,Liquefied Petroleum Gases,,"408,420","181,485","78,294",-,"42,513","59,407","15,128","551,151","146,254"
,,Ethane/Ethylene,"184,115","5,593",103,-,"4,856",0,0,"184,955","25,936"
,,Propane/Propylene,"139,661","151,559","53,196",-,"14,066",0,"9,950","320,400","69,028"
,,Normal Butane/Butylene,"38,260","33,140","16,913",-,"22,564","22,768","5,177","37,804","44,160"
,,Isobutane/Isobutylene,"46,384","-8,807","8,082",-,"1,027","36,639",0,"7,993","7,130"
Other Liquids,,,-,-,"294,681","18,336",642,"306,737","18,627","-12,989","166,768"
,Other Hydrocarbons/Oxygenates,,-,-,"10,027","108,831","-1,746","109,177","11,427",0,"8,386"
,Unfinished Oils,,-,-,"151,311",-,"5,963","159,681",0,"-14,333","89,944"
,Motor Gasoline Blend. Comp. (MGBC),,-,-,"133,343","-90,494","-3,544","39,192","7,201",0,"68,332"
,,Reformulated,-,-,"23,139","3,222","-3,536","29,897",0,0,"21,496"
,,Conventional,-,-,"110,204","-93,716",-8,"9,295","7,201",0,"46,836"
,Aviation Gasoline Blend. Comp.,,-,-,0,-,-31,"-1,313",0,"1,344",106
Finished Petroleum Products,,,-,"4,714,347","512,802","101,406","-24,369",-,"291,368","5,061,556","381,272"
,Finished Motor Gasoline,,-,"2,254,205","160,275","101,406","-15,003",-,"38,456","2,492,434","128,119"
,,Reformulated,-,"774,654","65,954","-2,062","-4,283",-,"3,267","839,562","20,431"
,,Conventional,-,"1,479,551","94,321","103,468","-10,720",-,"35,189","1,652,871","107,688"
,Finished Aviation Gasoline,,-,"4,775",625,-,-180,-,0,"5,580","1,163"
,Kerosene-Type Jet Fuel,,-,"427,497","28,893",-,"-2,702",-,"17,133","441,959","37,481"
,Kerosene,,-,"17,471",692,-,-744,-,759,"18,148","4,143"
,Distillate Fuel Oil,,-,"1,087,133","75,616",-,"1,670",-,"42,390","1,118,689","127,716"
,,15 ppm sulfur and under,-,"7,830","1,027",-,133,-,0,"8,724","1,405"
,,Greater than 15 ppm to 500 ppm sulfur,-,"792,411","32,794",-,"-8,292",-,"12,262","821,235","67,182"
,,Greater than 500 ppm sulfur,-,"286,892","41,795",-,"9,829",-,"30,128","288,730","59,129"
,Residual Fuel Oile,,-,"172,502","136,391",-,"-8,123",-,"74,034","242,982","34,240"
,,Less than 0.31 percent sulfur,-,"20,053","20,465",-,"-1,806",-,-,-,"3,860"
,,0.31 to 1.00 percent sulfur,-,"39,112","44,843",-,"-3,930",-,-,-,"10,537"
,,Greater than 1.00 percent sulfur,-,"113,337","71,083",-,"-2,264",-,-,-,"19,681"
,Petrochemical Feedstocks,,-,"111,555","83,595",-,255,-,-,"194,895","3,253"
,,Naphtha for Petro. Feed. Use,-,"62,278","42,349",-,162,-,-,"104,465","1,847"
,,Other Oils for Petro. Feed. Use,-,"49,277","41,246",-,93,-,-,"90,430","1,406"
,Special Naphthas,,-,"9,998","3,671",-,-497,-,"5,822","8,344","1,303"
,Lubricants,,-,"45,906","2,706",-,-399,-,"10,868","38,143","9,969"
,Waxes,,-,"3,990","1,011",-,-198,-,"1,230","3,969",442
,Petroleum Coke,,-,"230,833","8,454",-,"1,987",-,"95,619","141,681","10,170"
,,Marketable,-,"164,661","8,454",-,"1,987",-,"95,619","75,509","10,170"
,,Catalyst,-,"66,172",-,-,-,-,-,"66,172",-
,Asphalt and Road Oil,,-,"142,501","10,830",-,-388,-,"3,166","150,553","21,687"
,Still Gas,,-,"189,969",-,-,-,-,-,"189,969",-
,Miscellaneous Products,,-,"16,012",43,-,-47,-,"1,891","14,211","1,586"
Total,,,"1,923,728","4,895,832","3,661,622","177,326","60,758","4,624,492","338,705","5,634,553","1,705,426"
