Table 26.  Natural Gas Plant Net Production and Stocks of Petroleum Products by PAD,,,,,,,,,,,,,,,,,,
,,"          and Refining Districts, September 2005",,,,,,,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,,,,,,,
Commodity,,,PAD District 1,,,PAD District 2,,,,PAD District 3,,,,,,PAD Dist. 4,PAD Dist. 5,
,,,East Coast,Appalachian No. 1,Total,"IN, IL, KY","MN, WI, ND, SD","OK, KS, MO",Total,Texas Inland,Texas Gulf Coast,LA Gulf Coast,"N. LA, AR",New Mexico,Total,Rocky Mt.,West Coast,U. S. Total
,,,Net Production,,,,,,,Net Production,,,,,,,,
Natural Gas Liquids,,,0,508,508,"2,142",393,"6,367","8,902","15,220","2,636","2,969",330,"5,567","26,722","6,080","2,044","44,256"
,Pentanes Plus,,0,90,90,108,111,882,"1,101","2,674",386,483,83,640,"4,266",900,954,"7,311"
,Liquefied Petroleum Gases,,0,418,418,"2,034",282,"5,485","7,801","12,546","2,250","2,486",247,"4,927","22,456","5,180","1,090","36,945"
,,Ethane,0,5,5,"1,040",0,"2,303","3,343","5,621","1,079","1,017",68,"2,615","10,400","2,511",5,"16,264"
,,Propane,0,278,278,740,171,"2,146","3,057","4,334",737,885,95,"1,502","7,553","1,673",419,"12,980"
,,Normal Butane,0,95,95,148,111,515,774,"1,639","-1,204",309,53,519,"1,316",702,166,"3,053"
,,Isobutane,0,40,40,106,0,521,627,952,"1,638",275,31,291,"3,187",294,500,"4,648"
,,,Stocks,,,,,,,Stocks,,,,,,,,
Natural Gas Liquids,,,7,52,59,142,68,964,"1,174",249,"4,631","1,020",10,42,"5,952",150,126,"7,461"
,Pentanes Plus,,0,30,30,25,27,146,198,48,853,459,3,12,"1,375",42,12,"1,657"
,Liquefied Petroleum Gases,,7,22,29,117,41,818,976,201,"3,778",561,7,30,"4,577",108,114,"5,804"
,,Ethane,0,0,0,17,0,309,326,35,"1,351",0,0,0,"1,386",2,0,"1,714"
,,Propane,4,19,23,64,23,227,314,141,"1,339",22,3,19,"1,524",50,38,"1,949"
,,Normal Butane,3,2,5,19,18,185,222,17,698,485,4,4,"1,208",42,69,"1,546"
,,Isobutane,0,1,1,17,0,97,114,8,390,54,0,7,459,14,7,595
