"Table 34.  Imports of Residual Fuel Oil by Sulfur Content and by PAD District and State of Entry, September 2005",,,,,,
,,          (Thousand Barrels),,,,
PAD District and State of Entry,,,Residual Fuel Oil,,,
,,,Less than 0.31 % sulfur,0.31 to 1.00 % sulfur,Greater than 1.00 % sulfur,Total
PAD District 1,,,"1,460","5,754","6,118","13,332"
,Connecticut,,0,0,0,0
,Delaware,,27,0,272,299
,Florida,,201,"2,310","1,005","3,516"
,Georgia,,0,0,483,483
,Maine,,0,0,280,280
,Maryland,,0,586,132,718
,Massachusetts,,0,124,74,198
,New Hampshire,,0,0,0,0
,New Jersey,,848,"1,002","1,879","3,729"
,New York,,75,"1,643",760,"2,478"
,North Carolina,,0,0,303,303
,Pennsylvania,,309,57,284,650
,Rhode Island,,0,0,0,0
,South Carolina,,0,0,458,458
,Vermont,,0,1,55,56
,Virginia,,0,31,133,164
PAD District 2,,,0,93,43,136
,Illinois,,0,0,0,0
,Indiania,,0,0,29,29
,Michigan,,0,48,14,62
,Minnesota,,0,45,0,45
,North Dakota,,0,0,0,0
,Ohio,,0,0,0,0
,Wisconsin,,0,0,0,0
PAD District 3,,,672,"1,663","1,572","3,907"
,Alabama,,0,0,0,0
,Louisiana,,599,48,723,"1,370"
,Mississippi,,0,0,0,0
,New Mexico,,0,0,0,0
,Texas,,73,"1,615",849,"2,537"
PAD District 4,,,0,0,0,0
,Idaho,,0,0,0,0
,Montana,,0,0,0,0
PAD District 5,,,578,388,"1,077","2,043"
,Alaska,,0,0,0,0
,California,,282,0,"1,050","1,332"
,Hawaii,,296,0,0,296
,Oregon,,0,0,0,0
,Washington,,0,388,27,415
U.S. Total,,,"2,710","7,898","8,810","19,418"
