"Table 22.  PAD District 5--Year-to-Date Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products, ",,,,,,,,,,,,
,,          January-September 2005,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,,Ending Stockse
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd,
Crude Oil,,,"431,496",-,"282,225",0,"1,051","-2,619","717,390",1,0,"50,301"
Natural Gas Liquids and LRGs,,,"21,381","20,928",694,0,-,"2,619","16,202","5,565","18,617","5,746"
,Pentanes Plus,,"10,489",-,0,0,-,222,"6,977",381,"2,909",242
,Liquefied Petroleum Gases,,"10,892","20,928",694,0,-,"2,397","9,225","5,184","15,708","5,504"
,,Ethane/Ethylene,32,0,0,0,-,-1,0,0,33,0
,,Propane/Propylene,"3,600","15,411",482,0,-,916,0,"4,094","14,483","2,178"
,,Normal Butane/Butylene,"2,568","8,438",212,0,-,"1,414","5,792","1,090","2,922","2,646"
,,Isobutane/Isobutylene,"4,692","-2,921",0,0,-,68,"3,433",0,"-1,730",680
Other Liquids,,,-,-,"28,229","9,511","23,990",489,"58,050","1,005","2,186","42,659"
,Other Hydrocarbons/Oxygenates,,-,-,574,0,"27,238",205,"26,638",969,0,"1,586"
,Unfinished Oils,,-,-,"17,601",509,-,"2,743","13,181",0,"2,186","20,931"
,Motor Gasoline Blend. Comp. (MGBC),,-,-,"10,054","9,002","-3,248","-2,459","18,231",36,0,"20,142"
,,Reformulated,-,-,"2,539","7,346",-554,"-2,435","11,766",0,0,"10,376"
,,Conventional,-,-,"7,515","1,656","-2,694",-24,"6,465",36,0,"9,766"
,Aviation Gasoline Blend. Comp.,,-,-,0,0,-,0,0,0,0,0
Finished Petroleum Products,,,-,"820,192","37,848","31,207","4,627","-3,686",-,"60,602","836,958","41,551"
,Finished Motor Gasoline,,-,"405,424","7,875","27,414","4,627",534,-,"3,076","441,729","9,455"
,,Reformulated,-,"293,660",0,"8,839",685,"1,085",-,"1,139","300,960","1,956"
,,Conventional,-,"111,764","7,875","18,575","3,942",-551,-,"1,937","140,770","7,499"
,Finished Aviation Gasoline,,-,551,5,240,-,15,-,0,781,283
,Kerosene-Type Jet Fuel,,-,"118,448","12,651","1,374",-,-992,-,"6,070","127,395","9,544"
,Kerosene,,-,159,0,0,-,-10,-,24,145,91
,Distillate Fuel Oil,,-,"146,546","4,483","2,459",-,"-1,919",-,"5,804","149,603","11,258"
,,15 ppm sulfur and under,-,"2,922",438,-130,-,7,-,0,"3,223",604
,,Greater than 15 ppm to 500 ppm sulfur,-,"117,897","2,431","2,489",-,"-1,799",-,"2,424","122,192","8,263"
,,Greater than 500 ppm sulfur,-,"25,727","1,614",100,-,-127,-,"3,380","24,188","2,391"
,Residual Fuel Oile,,-,"43,157","11,690",0,-,"-1,428",-,"14,833","41,442","5,400"
,,Less than 0.31 percent sulfur,-,"1,859","2,349",0,-,-1,-,-,-,217
,,0.31 to 1.00 percent sulfur,-,"11,983",974,0,-,-435,-,-,-,"1,450"
,,Greater than 1.00 percent sulfur,-,"29,315","8,367",0,-,-869,-,-,-,"3,572"
,Petrochemical Feedstocks,,-,"2,897",81,10,-,-6,-,-,"2,994",113
,,Naphtha for Petro. Feed. Use,-,16,81,10,-,-2,-,-,109,0
,,Other Oils for Petro. Feed. Use,-,"2,881",0,0,-,-4,-,-,"2,885",113
,Special Naphthas,,-,308,196,-100,-,8,-,"3,177","-2,781",32
,Lubricants,,-,"5,022",174,-190,-,-288,-,971,"4,323","1,100"
,Waxes,,-,0,171,0,-,0,-,124,47,0
,Petroleum Coke,,-,"45,740",157,-,-,"1,168",-,"25,692","19,037","2,565"
,,Marketable,-,"34,640",157,-,-,"1,168",-,"25,692","7,937","2,565"
,,Catalyst,-,"11,100",-,-,-,-,-,0,"11,100",-
,Asphalt and Road Oil,,-,"12,007",360,0,-,-784,-,714,"12,437","1,545"
,Still Gas,,-,"38,038",-,-,-,-,-,0,"38,038",-
,Miscellaneous Products,,-,"1,895",5,0,-,16,-,117,"1,767",165
Total,,,"452,877","841,120","348,996","40,718","29,668","-3,197","791,642","67,172","857,761","140,257"
