"Table 4.  U.S. Year-to-Date Daily Average Supply and Disposition of Crude Oil and Petroleum Products, ",,,,,,,,,,
,,        January-September 2005,,,,,,,,
,,       (Thousand Barrels per Day),,,,,,,,
Commodity,,,Supply,,,,Disposition,,,
,,,Field Production,Refinery and Blender Net Production,Imports,Adjust-mentsa,Stock Changeb,Refinery and Blender Net Inputs,Exports,Products Suppliedc
Crude Oil,,,"5,278",-,"10,117",211,142,"15,420",44,0
,Commercial,,"5,278",-,"10,066",211,76,-,44,-
,,Alaskan,867,-,-,-,-,-,-,-
,,Lower 48 States,"4,412",-,-,-,-,-,-,-
,Strategic Petroleum Reserve (SPR),,-,-,51,-,66,-,-,-
,,Imports by SPR,-,-,0,-,-,-,-,-
,,Imports into SPR by Others,-,-,51,-,-,-,-,-
Natural Gas Liquids and LRGs,,,"1,768",665,337,-,167,396,61,"2,146"
,Pentanes Plus,,272,-,51,-,11,178,6,128
,Liquefied Petroleum Gases,,"1,496",665,287,-,156,218,55,"2,019"
,,Ethane/Ethylene,674,20,0,-,18,0,0,677
,,Propane/Propylene,512,555,195,-,52,0,36,"1,174"
,,Normal Butane/Butylene,140,121,62,-,83,83,19,138
,,Isobutane/Isobutylene,170,-32,30,-,4,134,0,29
Other Liquids,,,-,-,"1,079",67,2,"1,124",68,-48
,Other Hydrocarbons/Oxygenates,,-,-,37,399,-6,400,42,0
,Unfinished Oils,,-,-,554,-,22,585,0,-53
,Motor Gasoline Blend. Comp. (MGBC),,-,-,488,-331,-13,144,26,0
,,Reformulated,-,-,85,12,-13,110,0,0
,,Conventional,-,-,404,-343,0,34,26,0
,Aviation Gasoline Blend. Comp.,,-,-,0,-,0,-5,0,5
Finished Petroleum Products,,,-,"17,269","1,878",371,-89,-,"1,067","18,540"
,Finished Motor Gasoline,,-,"8,257",587,371,-55,-,141,"9,130"
,,Reformulated,-,"2,838",242,-8,-16,-,12,"3,075"
,,Conventional,-,"5,420",345,379,-39,-,129,"6,054"
,Finished Aviation Gasoline,,-,17,2,-,-1,-,0,20
,Kerosene-Type Jet Fuel,,-,"1,566",106,-,-10,-,63,"1,619"
,Kerosene,,-,64,3,-,-3,-,3,66
,Distillate Fuel Oil,,-,"3,982",277,-,6,-,155,"4,098"
,,15 ppm sulfur and under,-,29,4,-,0,-,0,32
,,Greater than 15 ppm to 500 ppm sulfur,-,"2,903",120,-,-30,-,45,"3,008"
,,Greater than 500 ppm sulfur,-,"1,051",153,-,36,-,110,"1,058"
,Residual Fuel Oile,,-,632,500,-,-30,-,271,890
,,Less than 0.31 percent sulfur,-,73,75,-,-7,-,-,-
,,0.31 to 1.00 percent sulfur,-,143,164,-,-14,-,-,-
,,Greater than 1.00 percent sulfur,-,415,260,-,-8,-,-,-
,Petrochemical Feedstocks,,-,409,306,-,1,-,-,714
,,Naphtha for Petro. Feed. Use,-,228,155,-,1,-,-,383
,,Other Oils for Petro. Feed. Use,-,181,151,-,0,-,-,331
,Special Naphthas,,-,37,13,-,-2,-,21,31
,Lubricants,,-,168,10,-,-1,-,40,140
,Waxes,,-,15,4,-,-1,-,5,15
,Petroleum Coke,,-,846,31,-,7,-,350,519
,,Marketable,-,603,31,-,7,-,350,277
,,Catalyst,-,242,-,-,-,-,-,242
,Asphalt and Road Oil,,-,522,40,-,-1,-,12,551
,Still Gas,,-,696,-,-,-,-,-,696
,Miscellaneous Products,,-,59,0,-,0,-,7,52
Total,,,"7,047","17,933","13,413",650,223,"16,940","1,241","20,639"
