"Table 16.  PAD District 3--Year-to-Date Daily Average Supply and Disposition of Crude Oil and Petroleum Products,  ",,,,,,,,,,,
,,          January-September 2005,,,,,,,,,
,,          (Thousand Barrels per Day),,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd
Crude Oil,,,"2,918",-,"6,124","-1,836",241,142,"7,305",0,0
,Commercial,,"2,918",-,"6,073",-,241,76,"7,305",0,-
,Strategic Petroleum Reserve (SPR),,-,-,51,-,-,66,-,-,-
,,Imports by SPR,-,-,0,-,-,-,-,-,-
,,Imports into SPR by Others,-,-,51,-,-,-,-,-,-
Natural Gas Liquids and LRGs,,,"1,162",409,179,49,-,120,221,21,"1,436"
,Pentanes Plus,,168,-,49,-4,-,10,103,0,99
,Liquefied Petroleum Gases,,994,409,130,53,-,109,118,21,"1,337"
,,Ethane/Ethylene,468,20,0,143,-,21,0,0,610
,,Propane/Propylene,330,333,57,-90,-,35,0,19,575
,,Normal Butane/Butylene,72,62,50,5,-,50,40,2,98
,,Isobutane/Isobutylene,123,-7,24,-5,-,3,79,0,53
Other Liquids,,,-,-,466,-214,153,10,386,55,-46
,Other Hydrocarbons/Oxygenates,,-,-,5,0,129,-5,108,31,0
,Unfinished Oils,,-,-,384,-30,-,14,386,0,-46
,Motor Gasoline Blend. Comp. (MGBC),,-,-,76,-183,24,1,-108,24,0
,,Reformulated,-,-,1,-128,19,-1,-107,0,0
,,Conventional,-,-,75,-55,5,2,-2,24,0
,Aviation Gasoline Blend. Comp.,,-,-,0,0,-,0,0,0,0
Finished Petroleum Products,,,-,"8,019",426,"-3,992",-22,-44,-,754,"3,720"
,Finished Motor Gasoline,,-,"3,554",22,"-2,170",-22,-25,-,123,"1,286"
,,Reformulated,-,647,0,-308,-19,-9,-,6,323
,,Conventional,-,"2,907",21,"-1,863",-3,-16,-,117,963
,Finished Aviation Gasoline,,-,11,0,-6,-,0,-,0,5
,Kerosene-Type Jet Fuel,,-,785,2,-649,-,-5,-,31,113
,Kerosene,,-,44,0,0,-,1,-,3,40
,Distillate Fuel Oil,,-,"1,878",2,"-1,055",-,-11,-,121,715
,,15 ppm sulfur and under,-,14,0,-4,-,0,-,0,9
,,Greater than 15 ppm to 500 ppm sulfur,-,"1,344",1,-741,-,-8,-,32,581
,,Greater than 500 ppm sulfur,-,520,1,-310,-,-3,-,89,124
,Residual Fuel Oile,,-,301,77,-39,-,-5,-,193,152
,,Less than 0.31 percent sulfur,-,20,10,-9,-,1,-,-,-
,,0.31 to 1.00 percent sulfur,-,34,35,-6,-,-3,-,-,-
,,Greater than 1.00 percent sulfur,-,247,33,-24,-,-3,-,-,-
,Petrochemical Feedstocks,,-,346,300,-4,-,1,-,-,642
,,Naphtha for Petro. Feed. Use,-,186,150,-2,-,0,-,-,334
,,Other Oils for Petro. Feed. Use,-,160,150,-2,-,0,-,-,308
,Special Naphthas,,-,29,5,-3,-,-2,-,9,23
,Lubricants,,-,120,5,-35,-,1,-,28,61
,Waxes,,-,9,0,0,-,0,-,2,8
,Petroleum Coke,,-,455,12,-,-,4,-,238,224
,,Marketable,-,341,12,-,-,4,-,238,110
,,Catalyst,-,114,-,-,-,-,-,-,114
,Asphalt and Road Oil,,-,125,1,-29,-,-2,-,1,99
,Still Gas,,-,326,-,-,-,-,-,-,326
,Miscellaneous Products,,-,36,0,-2,-,0,-,6,27
Total,,,"4,079","8,427","7,195","-5,994",372,228,"7,912",830,"5,110"
