Crude Oil Supply and Disposition, 1973 - Present
(Thousand Barrels per Day)

--------------------------------------------------------------------------------
                                                Supply
                     ------------------------------------------------------
                      Field Production          Imports         Unaccounted
                     -------------------  ----------------------    for    
                      Total                                        Crude   
 Year/Month          Domestic  Alaskan   Total     SPR     Other    Oil/a
     September        5,411      886     8,797       0     8,797     -27                                                                                                                                                                                                                                                                                                                                        
     October          5,363      983     9,532       0     9,532     161                                                                                                                                                                                                                                                                                                                                        
     November         5,597      908     9,654      34     9,620      10                                                                                                                                                                                                                                                                                                                                        
     December         5,699    1,010     8,741      34     8,707     228                                                                                                                                                                                                                                                                                                                                        
     Average          5,746      984     9,140      16     9,124     110                                                                                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                                                                                                                                                                
2003 January          5,785      984     8,633       0     8,633    -180                                                                                                                                                                                                                                                                                                                                        
     February         5,791    1,015     8,474       0     8,474      15                                                                                                                                                                                                                                                                                                                                        
     March            5,817    1,022     9,226       0     9,226     239                                                                                                                                                                                                                                                                                                                                        
     April            5,774      971     9,928       0     9,928     223                                                                                                                                                                                                                                                                                                                                        
     May              5,733      990    10,153       0    10,153     -36                                                                                                                                                                                                                                                                                                                                        
     June             5,701      991    10,038       0    10,038      76                                                                                                                                                                                                                                                                                                                                        
     July             5,526      927    10,034       0    10,034     128                                                                                                                                                                                                                                                                                                                                        
     August           5,595      945    10,023       0    10,023      94                                                                                                                                                                                                                                                                                                                                        
     September        5,683      964    10,287       0    10,287     -80                                                                                                                                                                                                                                                                                                                                        
     October          5,635      967    10,063       0    10,063     126                                                                                                                                                                                                                                                                                                                                        
     November         5,560      963     9,351       0     9,351     209                                                                                                                                                                                                                                                                                                                                        
     December         5,579      956     9,684       0     9,684    -159                                                                                                                                                                                                                                                                                                                                        
     Average          5,681      974     9,665       0     9,665      54                                                                                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                                                                                                                                                                
2004 January        E 5,644    E 976     9,322       0     9,322      55                                                                                                                                                                                                                                                                                                                                        
     February       E 5,584    E 933     9,258       0     9,258     256                                                                                                                                                                                                                                                                                                                                        
     March          E 5,622    E 979    10,073       0    10,073    -154                                                                                                                                                                                                                                                                                                                                        
     April          E 5,568    E 950    10,062       0    10,062     350                                                                                                                                                                                                                                                                                                                                        
     May            E 5,612    E 942    10,324       0    10,324     237                                                                                                                                                                                                                                                                                                                                        
     June           E 5,403    E 919    10,505       0    10,505     510                                                                                                                                                                                                                                                                                                                                        
     July          RE 5,404   RE 811  R 10,302       0  R 10,302   R 266                                                                                                                                                                                                                                                                                                                                        
     August*       PE 5,296   PE 714  E 10,317     E 0  E 10,317   E 146                                                                                                                                                                                                                                                                                                                                        
     8-Mo. Avg     PE 5,516   PE 902  E 10,024     E 0  E 10,024   E 206                                                                                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                                                                                                                                                                
2003 8-Mo. Avg        5,714      980     9,574       0     9,574      70                                                                                                                                                                                                                                                                                                                                        
2002 8-Mo. Avg        5,860    1,003     9,120      15     9,105     117                                                                                                                                                                                                                                                                                                                                        
--------------------------------------------------------------------------------
                                             Disposition
                         -------------------------------------------------- 
                               Stock Change b                               
                              ---------------                             
                       Crude                    Refinery             Product 
 Year/Month           Losses    SPR    Other      Inputs    Exports  Supplied
--------------------------------------------------------------------------------
                                
1973 Average            13       --      -11      12,431        2        --
1974 Average            13       --       62      12,133        3        --
1975 Average            13       --       17      12,442        6        --
1976 Average            14       --       39      13,416        8        --
1977 Average            16       20      150      14,602       50        --
1978 Average            16      163      -84      14,739      158        --
1979 Average            16       67       81      14,648      235        --
1980 Average            14       45       52      13,481      287        --
1981 Average             5      336    e -46      12,470      228      d 58
1982 Average             3      174      -38      11,774      236      e 59
1983 Average             2      234    f -20      11,685      164        66
1984 Average             2      195        4      12,044      181        64
1985 Average             1      117      -67      12,002      204        60
1988 Average           (s)       52      -51      13,246      155        40                                                                                                                                                                                                                                                                                                                                     
1989 Average           (s)       56       30      13,401      142        28                                                                                                                                                                                                                                                                                                                                     
1990 Average           (s)       16      -51      13,409      109        24                                                                                                                                                                                                                                                                                                                                     
1991 Average           (s)      -47        5      13,301      116        18                                                                                                                                                                                                                                                                                                                                     
1992 Average           (s)       17      -18      13,411       89        13                                                                                                                                                                                                                                                                                                                                     
1993 Average           (s)       34       47      13,613       98        10                                                                                                                                                                                                                                                                                                                                     
1994 Average           (s)       13        5      13,866       99         9                                                                                                                                                                                                                                                                                                                                     
1995 Average           (s)      (s)      -93      13,973       95         7                                                                                                                                                                                                                                                                                                                                     
1996 Average           (s)      -71      -53      14,195      110         6                                                                                                                                                                                                                                                                                                                                     
1997 Average             0       -7       57      14,662      108         2                                                                                                                                                                                                                                                                                                                                     
1998 Average           (s)       22       52      14,889      110         0                                                                                                                                                                                                                                                                                                                                     
1999 Average           (s)      -11     -107      14,804      118         0                                                                                                                                                                                                                                                                                                                                     
2000 Average             0      -73        3      15,067       50         0                                                                                                                                                                                                                                                                                                                                     
2001 Average             0       26       73      15,128       20         0                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                
2002 January             0      141      268      14,487       11         0                                                                                                                                                                                                                                                                                                                                     
     February            0      191      252      14,306        4         0                                                                                                                                                                                                                                                                                                                                     
     March               0       50      198      14,526        8         0                                                                                                                                                                                                                                                                                                                                     
     April               0      175     -295      15,325        8         0                                                                                                                                                                                                                                                                                                                                     
     May                 0      146       77      15,301        7         0                                                                                                                                                                                                                                                                                                                                     
     June                0      173     -316      15,397        5         0                                                                                                                                                                                                                                                                                                                                     
     July                0       67     -428      15,430       33         0                                                                                                                                                                                                                                                                                                                                     
     August              0      121     -260      15,338        9         0                                                                                                                                                                                                                                                                                                                                     
     September           0      166     -852      14,861        7         0                                                                                                                                                                                                                                                                                                                                     
     October             0       77      672      14,303        4         0                                                                                                                                                                                                                                                                                                                                     
     November            0      209     -113      15,155       10         0                                                                                                                                                                                                                                                                                                                                     
     December            0      103     -337      14,900        2         0                                                                                                                                                                                                                                                                                                                                     
     Average             0      134      -94      14,947        9         0                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                
2003 January             0        5     -115      14,338       10         0                                                                                                                                                                                                                                                                                                                                     
     February            0        0     -106      14,381        5         0                                                                                                                                                                                                                                                                                                                                     
     March               0        0      339      14,933       10         0                                                                                                                                                                                                                                                                                                                                     
     April               0       11      326      15,575       12         0                                                                                                                                                                                                                                                                                                                                     
     May                 0      114     -189      15,910       15         0                                                                                                                                                                                                                                                                                                                                     
     June                0      181      -31      15,620       45         0                                                                                                                                                                                                                                                                                                                                     
     July                0      125       11      15,546        7         0                                                                                                                                                                                                                                                                                                                                     
     August              0      190     -175      15,693        4         0                                                                                                                                                                                                                                                                                                                                     
     September           0      202      239      15,446        3         0                                                                                                                                                                                                                                                                                                                                     
     October             0      210      258      15,342       14         0                                                                                                                                                                                                                                                                                                                                     
     November            0       91     -447      15,455       21         0                                                                                                                                                                                                                                                                                                                                     
     December            0      154     -398      15,345        4         0                                                                                                                                                                                                                                                                                                                                     
     Average             0      108      -24      15,304       12         0                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                
2004 January             0       89      110      14,816        6         0                                                                                                                                                                                                                                                                                                                                     
     February            0      197      183      14,711        8         0                                                                                                                                                                                                                                                                                                                                     
     March               0      170      550      14,802       19         0                                                                                                                                                                                                                                                                                                                                     
     April               0      202      177      15,546       55         0                                                                                                                                                                                                                                                                                                                                     
     May                 0      101       85      15,962       26         0                                                                                                                                                                                                                                                                                                                                     
     June                0       35       95      16,244       45         0                                                                                                                                                                                                                                                                                                                                     
     July                0    R 106   R -292    R 16,140     R 18         0                                                                                                                                                                                                                                                                                                                                     
     August*           E 0    E 130   E -365    E 15,982     E 12       E 0                                                                                                                                                                                                                                                                                                                                     
     8-Mo. Avg         E 0    E 128     E 66    E 15,529     E 24       E 0                                                                                                                                                                                                                                                                                                                                     
                                                                                                                                                                                                                                                                                                                                                                                                                
2003 8-Mo. Avg           0       79        8      15,257       13         0                                                                                                                                                                                                                                                                                                                                     
2002 8-Mo. Avg           0      132      -65      15,020       11         0                                                                                                                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------
*  Data collected from the Weekly Petroleum Supply Reporting System are used 
   to develop estimates of the most current monthly quantities. 
a  Unaccounted for crude oil represents the difference between the supply
   and disposition of crude oil.  Preliminary estimates of crude oil imports
   at the National level have historically understated final values by
   approximately 50 thousand barrels per day.  This causes the preliminary
   values of unaccounted for crude oil to overstate the final values by the
   same amount.
b  A negative number indicates a decrease in stocks and a positive number
   indicates an increase.  Crude oil stocks in the Strategic Petroleum Reserve
   include non-U.S. stocks held under foreign or commercial storage agreements.
d  Beginning in January 1983, crude oil used directly as fuel is shown as
   product supplied.
e  Stocks of Alaskan crude oil in transit were included beginning in January
   1981.  Stock changes are calculated using new basis stock levels.
f  Stock changes are calculated using new basis stock levels.  
R = Revised data.   E = Estimated data.   SPR = Strategic Petroleum Reserve.
PE = Preliminary data. RE = Revised estimate.
(s) = Less than 500 barrels per day.
Notes:   Crude oil includes lease condensate.  Geographic coverage is the 50
         States and the District of Columbia.  Totals may not equal sum of 
         components due to independent rounding.
Source:  Energy Information Administration/Petroleum Supply Monthly, Table S2.
------------  
For additional information, please contact the Energy Information
Administration's National Energy Information Center at (202)586-8800.

