Crude Oil and Petroleum Products Overview, 1973 - Present           
(Thousand Barrels per Day, Except Where Noted)

--------------------------------------------------------------------------------
                                                                       Ending
                                                                     Stocks/d   
                                                                     (Million)
                  Field Production         Stock Change/a            (Barrels)
            ----------------------------  -----------------           ---------
                                                                        Crude 
                                 Natural                     Petroleum  Oil and
              Total      Crude  Gas Plant  Crude   Petroleum Products  Petroleum
Yr/Month     Domestic/c   Oil    Liquids    Oil/d  Products  Supplied  Products
     March       8,139    5,883   1,901      248      -364    19,676     1,573                                                                                                                                                                                                                                                                                                                                  
     April       8,215    5,859   1,925     -120       641    19,552     1,588                                                                                                                                                                                                                                                                                                                                  
     May         8,317    5,924   1,936      222       504    19,728     1,611                                                                                                                                                                                                                                                                                                                                  
     June        8,206    5,915   1,870     -143       316    19,875     1,616                                                                                                                                                                                                                                                                                                                                  
     July        8,022    5,770   1,846     -362       190    20,076     1,611                                                                                                                                                                                                                                                                                                                                  
     August      8,205    5,811   1,937     -139      -328    20,221     1,596                                                                                                                                                                                                                                                                                                                                  
     September   7,748    5,411   1,898     -687       -56    19,461     1,574                                                                                                                                                                                                                                                                                                                                  
     October     7,645    5,363   1,875      749      -782    19,678     1,573                                                                                                                                                                                                                                                                                                                                  
     November    7,949    5,597   1,891       96        85    19,991     1,578                                                                                                                                                                                                                                                                                                                                  
     December    7,887    5,699   1,760     -234      -751    19,943     1,548                                                                                                                                                                                                                                                                                                                                  
     Average     8,043    5,746   1,880       40      -145    19,761        --                                                                                                                                                                                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                                                                                                                
2003 January     7,968    5,785   1,758     -110    -1,293    20,017     1,504                                                                                                                                                                                                                                                                                                                                  
     February    8,014    5,791   1,812     -106    -1,464    20,375     1,460                                                                                                                                                                                                                                                                                                                                  
     March       7,963    5,817   1,729      339       114    19,708     1,474                                                                                                                                                                                                                                                                                                                                  
     April       7,845    5,774   1,701      338       383    19,830     1,496                                                                                                                                                                                                                                                                                                                                  
     May         7,791    5,733   1,564      -75     1,263    19,344     1,533                                                                                                                                                                                                                                                                                                                                  
     June        7,692    5,701   1,582      150       745    19,793     1,560                                                                                                                                                                                                                                                                                                                                  
     July        7,615    5,526   1,649      135       209    20,094     1,570                                                                                                                                                                                                                                                                                                                                  
     August      7,710    5,595   1,703       15        35    20,586     1,572                                                                                                                                                                                                                                                                                                                                  
     September   7,956    5,683   1,761      441       426    19,933     1,598                                                                                                                                                                                                                                                                                                                                  
     October     7,853    5,635   1,818      468      -348    20,182     1,602                                                                                                                                                                                                                                                                                                                                  
     November    7,771    5,560   1,839     -356       241    19,873     1,598                                                                                                                                                                                                                                                                                                                                  
     December    7,717    5,579   1,723     -244      -721    20,679     1,568                                                                                                                                                                                                                                                                                                                                  
     Average     7,823    5,681   1,719       84       -28    20,034        --                                                                                                                                                                                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                                                                                                                
2004 January   E 7,853  E 5,644   1,803      199      -692    20,393     1,552                                                                                                                                                                                                                                                                                                                                  
     February  E 7,798  E 5,584   1,798      380      -549    20,549     1,547                                                                                                                                                                                                                                                                                                                                  
     March     E 7,892  E 5,622   1,829      720       -91    20,161     1,566                                                                                                                                                                                                                                                                                                                                  
     April     E 7,766  E 5,568   1,784      379      -111    20,207     1,574                                                                                                                                                                                                                                                                                                                                  
     May       E 7,841  E 5,612   1,795      186       646    20,209     1,600                                                                                                                                                                                                                                                                                                                                  
     June      E 7,577  E 5,403   1,737      130       831    20,333     1,629                                                                                                                                                                                                                                                                                                                                  
     July     RE 7,630 RE 5,404 R 1,810   R -186     R 782  R 20,601   R 1,647                                                                                                                                                                                                                                                                                                                                  
     August*   E 7,525 PE 5,296 E 1,791   E -235     E 383  E 20,733   E 1,647                                                                                                                                                                                                                                                                                                                                  
     8-Mo. Avg E 7,735 PE 5,516 E 1,794    E 195     E 154  E 20,398        --                                                                                                                                                                                                                                                                                                                                  
                                                                                                                                                                                                                                                                                                                                                                                                                
2003 8-Mo. Avg   7,823    5,714   1,686       87        12    19,965        --                                                                                                                                                                                                                                                                                                                                  
2002 8-Mo. Avg   8,162    5,860   1,893       67       -26    19,757        --                                                                                                                                                                                                                                                                                                                                  
--------------------------------------------------------------------------------
                      Imports                        Exports
           ------------------------------  ----------------------------  
                       Crude   Petroleum              Crude   Petroleum   Net/f
Yr/Month        Total   Oil/e  Products     Total      Oil    Products  Imports
--------------------------------------------------------------------------------

1973 Average    6,256   3,244     3,012       231         2       229     6,025
1974 Average    6,112   3,477     2,635       221         3       218     5,892
1975 Average    6,056   4,105     1,951       209         6       204     5,846
1976 Average    7,313   5,287     2,026       223         8       215     7,090
1977 Average    8,807   6,615     2,193       243        50       193     8,565
1978 Average    8,363   6,356     2,008       362       158       204     8,002
1979 Average    8,456   6,519     1,937       472       235       237     7,984
1980 Average    6,909   5,263     1,646       544       287       258     6,365
1981 Average    5,996   4,396     1,599       595       228       367     5,401
1982 Average    5,113   3,488     1,625       815       236       579     4,298
1983 Average    5,051   3,329     1,722       739       164       575     4,312
1988 Average    7,402   5,107     2,295       815       155       661     6,587                                                                                                                                                                                                                                                                                                                                 
1989 Average    8,061   5,843     2,217       859       142       717     7,202                                                                                                                                                                                                                                                                                                                                 
1990 Average    8,018   5,894     2,123       857       109       748     7,161                                                                                                                                                                                                                                                                                                                                 
1991 Average    7,627   5,782     1,844     1,001       116       885     6,626                                                                                                                                                                                                                                                                                                                                 
1992 Average    7,888   6,083     1,805       950        89       861     6,938                                                                                                                                                                                                                                                                                                                                 
1993 Average    8,620   6,787     1,833     1,003        98       904     7,618                                                                                                                                                                                                                                                                                                                                 
1994 Average    8,996   7,063     1,933       942        99       843     8,054                                                                                                                                                                                                                                                                                                                                 
1995 Average    8,835   7,230     1,605       949        95       855     7,886                                                                                                                                                                                                                                                                                                                                 
1996 Average    9,478   7,508     1,971       981       110       871     8,498                                                                                                                                                                                                                                                                                                                                 
1997 Average   10,162   8,225     1,936     1,003       108       896     9,158                                                                                                                                                                                                                                                                                                                                 
1998 Average   10,708   8,706     2,002       945       110       835     9,764                                                                                                                                                                                                                                                                                                                                 
1999 Average   10,852   8,731     2,122       940       118       822     9,912                                                                                                                                                                                                                                                                                                                                 
2000 Average   11,459   9,071     2,389     1,040        50       990    10,419                                                                                                                                                                                                                                                                                                                                 
2001 Average   11,871   9,328     2,543       971        20       951    10,900                                                                                                                                                                                                                                                                                                                                 
                                                                                                                                                                                                                                                                                                                                                                                                                
2002 January   11,088   8,709     2,380       861        11       850    10,228                                                                                                                                                                                                                                                                                                                                 
     February  10,904   8,753     2,151     1,175         4     1,170     9,729                                                                                                                                                                                                                                                                                                                                 
     March     11,198   8,799     2,399       853         8       845    10,345                                                                                                                                                                                                                                                                                                                                 
     April     11,765   9,301     2,464       890         8       882    10,876                                                                                                                                                                                                                                                                                                                                 
     May       11,769   9,323     2,446       910         7       903    10,859                                                                                                                                                                                                                                                                                                                                 
     June      11,753   9,324     2,429       880         5       874    10,873                                                                                                                                                                                                                                                                                                                                 
     July      11,624   9,184     2,440       839        33       806    10,785                                                                                                                                                                                                                                                                                                                                 
     August    11,890   9,544     2,346     1,138         9     1,129    10,752                                                                                                                                                                                                                                                                                                                                 
     September 11,075   8,797     2,278     1,015         7     1,008    10,059                                                                                                                                                                                                                                                                                                                                 
     October   11,893   9,532     2,361       962         4       958    10,931                                                                                                                                                                                                                                                                                                                                 
     November  12,268   9,654     2,613     1,026        10     1,016    11,242                                                                                                                                                                                                                                                                                                                                 
     December  11,100   8,741     2,359     1,272         2     1,270     9,828                                                                                                                                                                                                                                                                                                                                 
     Average   11,530   9,140     2,390       984         9       975    10,546                                                                                                                                                                                                                                                                                                                                 
                                                                                                                                                                                                                                                                                                                                                                                                                
2003 January   11,104   8,633     2,471     1,212        10     1,202     9,892                                                                                                                                                                                                                                                                                                                                 
     February  10,921   8,474     2,447     1,067         5     1,062     9,854                                                                                                                                                                                                                                                                                                                                 
     March     12,044   9,226     2,819     1,051        10     1,042    10,993                                                                                                                                                                                                                                                                                                                                 
     April     12,599   9,928     2,671     1,053        12     1,041    11,546                                                                                                                                                                                                                                                                                                                                 
     May       12,918  10,153     2,765     1,097        15     1,082    11,822                                                                                                                                                                                                                                                                                                                                 
     June      13,001  10,038     2,962     1,065        45     1,020    11,936                                                                                                                                                                                                                                                                                                                                 
     July      12,736  10,034     2,702       976         7       969    11,760                                                                                                                                                                                                                                                                                                                                 
     August    12,769  10,023     2,746       947         4       943    11,822                                                                                                                                                                                                                                                                                                                                 
     September 12,868  10,287     2,581       960         3       956    11,908                                                                                                                                                                                                                                                                                                                                 
     October   12,373  10,063     2,310       970        14       956    11,402                                                                                                                                                                                                                                                                                                                                 
     November  11,712   9,351     2,361       933        21       911    10,780                                                                                                                                                                                                                                                                                                                                 
     December  12,033   9,684     2,349       990         4       986    11,043                                                                                                                                                                                                                                                                                                                                 
     Average   12,264   9,665     2,599     1,027        12     1,014    11,238                                                                                                                                                                                                                                                                                                                                 
                                                                                                                                                                                                                                                                                                                                                                                                                
2004 January   11,727   9,322     2,405       748         6       742    10,979                                                                                                                                                                                                                                                                                                                                 
     February  12,329   9,258     3,071     1,046         8     1,038    11,283                                                                                                                                                                                                                                                                                                                                 
     March     13,073  10,073     3,000     1,024        19     1,005    12,048                                                                                                                                                                                                                                                                                                                                 
     April     12,450  10,062     2,389     1,153        55     1,099    11,297                                                                                                                                                                                                                                                                                                                                 
     May       12,989  10,324     2,665     1,052        26     1,026    11,937                                                                                                                                                                                                                                                                                                                                 
     June      13,301  10,505     2,796     1,070        45     1,025    12,231                                                                                                                                                                                                                                                                                                                                 
     July      13,389  10,302   R 3,087   R 1,080      R 18   R 1,062    12,310                                                                                                                                                                                                                                                                                                                                 
     August*   13,151  10,317   E 2,834     E 992      E 12     E 980    12,159                                                                                                                                                                                                                                                                                                                                 
     8-Mo. Avg 12,805  10,024   E 2,780   E 1,020      E 24     E 996    11,785                                                                                                                                                                                                                                                                                                                                 
                                                                                                                                                                                                                                                                                                                                                                                                                
2003 8-Mo. Avg 12,274   9,574     2,700     1,058        13     1,045    11,215                                                                                                                                                                                                                                                                                                                                 
2002 8-Mo. Avg 11,504   9,120     2,384       941        11       930    10,563                                                                                                                                                                                                                                                                                                                                 
--------------------------------------------------------------------------------
*  Data collected from the Weekly Petroleum Supply Reporting System are used
   to develop estimates of the most current quantities.
a  A negative number indicates a decrease in stocks and a positive number
   indicates an increase.  Distillate stocks located in the "Northeast
   Heating Oil Reserve" are not included.
c  Includes crude oil, natural gas plant liquids, and other liquids.  Beginning
   in 1993, fuel ethanol blended into finished motor gasoline and oxygenate
   production from merchant MTBE plants are also included.
d  Includes stocks located in the Strategic Petroleum Reserve.  Excludes
   distillate stocks held in the "Northeast Heating Oil Reserve".
e  Includes crude oil for storage in the Strategic Petroleum Reserve.
f  Net imports equals imports minus exports.
g  In January 1975, 1981, and 1983, numerous respondents were added to surveys
   affecting stocks reported and stock change calculations.  Stock changes are
   calculated using new basic stock levels.  Bulk terminal and pipeline stocks
   of oxygenates were added beginning in January 1993.  
R = Revised data.   E = Estimated data.   PE = Preliminary data.  
RE = Revised estimate.
Notes:   Crude oil includes lease condensate. Stocks are totals as of end of
         period. Geographic coverage is the 50 States and the District of
         Columbia.  Totals may not equal sum of components due to independent
         rounding.
Source:  Energy Information Administration/Petroleum Supply Monthly, Table S1.
------------
For additional information, please contact the Energy Information
Administration's National Energy Information Center at (202)586-8800.
