Table 51. Stocks of Crude Oil and Petroleum Products by PAD District,
July 2004
(Thousand Barrels)               
--------------------------------------------------------------------------------
                                  Petroleum Administration for Defense Districts
                                 -----------------------------------------------
  Commodity                                               I        II       III
                                                                                                                                                                                                                                                                                                                                                                                                                
  Greater than 1.00% Sulfur                              259     3,852    19,052                                                                                                                                                                                                                                                                                                                                
  Refinery                                               259     1,481     7,281                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0     2,371    11,771                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Naphtha for Petrochemical Feedstock Use                    0         2     1,740                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         2     1,740                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Other Oils for Petrochemical Feedstock Use                 0        89     1,299                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0        89     1,299                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Special Naphthas                                           4        28     1,393                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 4        28     1,230                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0         0       163                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Lubricants                                                 0     1,252     7,740                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0       840     5,869                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0       412     1,871                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Waxes                                                      9         0       738                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 9         0       738                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Petroleum Coke                                            54     2,609    10,004                                                                                                                                                                                                                                                                                                                                
  Refinery                                                54     2,609    10,004                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Asphalt and Road Oil                                   2,038     2,609    27,028                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,588     1,608    13,922                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                          450     1,001    13,106                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Miscellaneous Products                                    33       132     1,394                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 4        50       645                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                           16        82       634                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                13         0       115                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Total Stocks, All Oils                                27,796   140,211 1,647,337                                                                                                                                                                                                                                                                                                                                

--------------------------------------------------------------------------------
(a) Crude oil stocks in the Strategic Petroleum Reserve include non-U.S.
    stocks held under foreign or commercial storage agreements.
(b) Includes stocks held by producers.
(c) Includes tertiary amyl methyl ether(TAME), tertiary butyl alcohol(TBA),
    and other aliphatic alcohols and ethers intended for motor gasoline
    blending (e.g. isopropyl ether(IPE) or n-propanol).
(d) Sulfur content not available for stocks help by pipelines.
(e) Excludes distillate stocks located in the "Northeast Heating Oil Reserve".

W = Withheld to avoid disclosure of individual company data.

Note: Stocks are reported as of the last day of the month.
Source: Energy Information Administration (EIA) Forms EIA-810, "Monthly
Refinery Report", "EIA-811, "Monthly Bulk Terminal Report", EIA-812,
"Monthly Product Pipeline Report", EIA-813, "Monthly Crude Oil Report", and
EIA-816, "Monthly Natural Gas Liquids Report". 
------------  
For additional information, please contact the Energy Information
Administration's National Energy Information Center at (202)586-8800.

