Day,Hour,order,ERCOT Price
8/1/2011,1,1,30.28
8/1/2011,2,2,26.97
8/1/2011,3,3,25.2
8/1/2011,4,4,23.95
8/1/2011,5,5,23.46
8/1/2011,6,6,25.66
8/1/2011,7,7,26.45
8/1/2011,8,8,27.77
8/1/2011,9,9,28.86
8/1/2011,10,10,34.73
8/1/2011,11,11,38.97
8/1/2011,12,12,49.2
8/1/2011,13,13,56.6
8/1/2011,14,14,82.64
8/1/2011,15,15,263.78
8/1/2011,16,16,310.26
8/1/2011,17,17,309.4
8/1/2011,18,18,244.33
8/1/2011,19,19,104.19
8/1/2011,20,20,56.23
8/1/2011,21,21,51.88
8/1/2011,22,22,44.81
8/1/2011,23,23,40.1
8/1/2011,24,24,33.91
8/2/2011,1,25,30.08
8/2/2011,2,26,26.77
8/2/2011,3,27,24.7
8/2/2011,4,28,22.94
8/2/2011,5,29,23.02
8/2/2011,6,30,25.03
8/2/2011,7,31,27.02
8/2/2011,8,32,28.02
8/2/2011,9,33,30.03
8/2/2011,10,34,36.02
8/2/2011,11,35,41.5
8/2/2011,12,36,53
8/2/2011,13,37,64.61
8/2/2011,14,38,112.98
8/2/2011,15,39,291.86
8/2/2011,16,40,373.1
8/2/2011,17,41,364.61
8/2/2011,18,42,261.29
8/2/2011,19,43,119.3
8/2/2011,20,44,65.43
8/2/2011,21,45,53.19
8/2/2011,22,46,47.17
8/2/2011,23,47,40.07
8/2/2011,24,48,33.97
8/3/2011,1,49,30.78
8/3/2011,2,50,26.6
8/3/2011,3,51,25.07
8/3/2011,4,52,23.46
8/3/2011,5,53,23.09
8/3/2011,6,54,25.03
8/3/2011,7,55,27.03
8/3/2011,8,56,28.64
8/3/2011,9,57,30.13
8/3/2011,10,58,34.96
8/3/2011,11,59,42.84
8/3/2011,12,60,53.69
8/3/2011,13,61,66.71
8/3/2011,14,62,188.36
8/3/2011,15,63,506.73
8/3/2011,16,64,664.89
8/3/2011,17,65,628.47
8/3/2011,18,66,508.01
8/3/2011,19,67,244.37
8/3/2011,20,68,72.4
8/3/2011,21,69,60.33
8/3/2011,22,70,53.75
8/3/2011,23,71,42.4
8/3/2011,24,72,35.28
8/4/2011,1,73,31.84
8/4/2011,2,74,27.49
8/4/2011,3,75,25.78
8/4/2011,4,76,24.42
8/4/2011,5,77,23.77
8/4/2011,6,78,26.47
8/4/2011,7,79,27.04
8/4/2011,8,80,28.04
8/4/2011,9,81,28.48
8/4/2011,10,82,34.39
8/4/2011,11,83,41.89
8/4/2011,12,84,55.47
8/4/2011,13,85,64.3
8/4/2011,14,86,303.62
8/4/2011,15,87,1500.64
8/4/2011,16,88,1778.38
8/4/2011,17,89,1838.75
8/4/2011,18,90,1426.66
8/4/2011,19,91,451.24
8/4/2011,20,92,94.65
8/4/2011,21,93,60.08
8/4/2011,22,94,48.91
8/4/2011,23,95,43.76
8/4/2011,24,96,36.98
8/5/2011,1,97,31
8/5/2011,2,98,27.02
8/5/2011,3,99,25.11
8/5/2011,4,100,23.97
8/5/2011,5,101,23.29
8/5/2011,6,102,24.96
8/5/2011,7,103,24.71
8/5/2011,8,104,25.42
8/5/2011,9,105,28.32
8/5/2011,10,106,35.39
8/5/2011,11,107,40.35
8/5/2011,12,108,51.14
8/5/2011,13,109,62.2
8/5/2011,14,110,248.01
8/5/2011,15,111,2000.41
8/5/2011,16,112,2500.98
8/5/2011,17,113,2501.2
8/5/2011,18,114,2250.5
8/5/2011,19,115,350.27
8/5/2011,20,116,76.3
8/5/2011,21,117,54.18
8/5/2011,22,118,46.03
8/5/2011,23,119,43.22
8/5/2011,24,120,38.03
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
