Net Generation for United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-12,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12
All Fuels,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fuels:All Sectors,thousand megawatthours,353531,323230,320471,303129,330203,362755,393226,421797,355394,332615,314103,346290,362998,325106,324630,305865,325245,373109,402900,388987,338056,318547,310046,343898,354993,300887,310603,289537,311306,347658,372542,381221,327401,307040,296635,350507,360957,319735,312168,287800,327936,375759,409725,408884,346045,307921,306010,362119,363855,313351,319092,302994,324757,368184,419480,406450,337606,309279,304268,336419,340743,310298,309709,296101
Coal,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal:All Sectors,thousand megawatthours,175739,163603,159811,146250,157513,173513,185054,190135,169391,162234,159382,173830,182876,166666,160743,146983,154916,171043,186733,180576,161356,151841,154281,167786,171925,140916,135530,125935,131673,148087,158234,163260,137145,139956,136810,166434,173320,153044,144406,126952,143272,165491,179600,177745,148746,132270,135185,167258,170983,138295,134717,124293,137493,158308,176709,171472,141220,126872,121197,132706,129064,113831,106032,95982
Natural Gas,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Gas:All Sectors,thousand megawatthours,61475,57622,56204,60153,66470,81511,97483,121338,88532,78358,60637,66808,72600,60042,62171,63046,62270,84620,100321,99673,79136,73283,61454,64364,66390,62139,68203,61159,68146,84205,101894,109240,92127,72603,63285,71590,74173,66198,63431,64644,73665,92268,114624,121151,93004,77738,69227,77573,74458,65852,66169,70529,75769,91096,120377,119646,91377,79078,75637,86606,91213,91260,92739,95882
Nuclear,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear:All Sectors,thousand megawatthours,74006,65225,64305,57301,65025,68923,72739,72751,67579,61690,64899,71983,70735,65130,64716,57333,64826,70319,74318,72617,67054,62820,63408,72931,74102,64227,67241,59408,65395,69735,72949,72245,65752,58021,59069,70710,72569,65245,64635,57611,66658,68301,71913,71574,69371,62751,62655,73683,72743,64789,65662,54547,57017,65270,72345,71339,66849,63354,64474,71837,72382,63850,61730,55871
Conventional Hydroelectric,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conventional Hydroelectric:All Sectors,thousand megawatthours,26045,18567,24163,23891,26047,22817,22478,19941,14743,14796,15682,18342,20779,18789,21669,22234,27221,29177,25555,21229,16178,15470,15668,20861,23490,17812,21827,25770,29560,29233,23385,19580,17359,19691,21008,24730,22383,20590,20886,19097,25079,29854,24517,20119,17265,17683,19562,23169,26148,24687,31737,31629,33105,32253,31570,26320,21500,20036,21374,24715,23933,20813,26287,26748
Other Renewables,thousand megawatthours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Renewables:All Sectors,thousand megawatthours,8668,7877,8778,8693,8621,8549,8371,8895,8843,9362,9029,9553,10243,9349,10703,10971,11100,11145,10333,9514,8924,10647,10782,12390,11739,11231,12950,12986,11864,11467,11187,11791,10524,12668,12810,13061,12805,10901,14654,15607,14631,14209,13107,13100,13227,13791,15782,15359,14930,16224,16811,18352,17777,17435,14094,13965,13135,16729,18478,17063,20245,17079,19677,18430
