"Residual fuel net imports, 1940 - 2010",,,
thousand barrels per day ,,,
Date,U.S. Exports,U.S. Imports,Net (Imports - Exports)
1936,-39,51,12
1937,-42,61,19
1938,-49,58,9
1939,-48,43,-5
1940,-52,80,28
1941,-39,102,63
1942,-33,50,17
1943,-41,75,34
1944,-38,100,62
1945,-32,87,55
1946,-26,115,89
1947,-29,149,120
1948,-36,146,110
1949,-35,206,171
1950,-44,329,285
1951,-79,326,247
1952,-76,351,275
1953,-71,360,289
1954,-73,354,281
1955,-93,417,324
1956,-76,445,369
1957,-106,475,369
1958,-71,499,428
1959,-57,610,553
1960,-51,637,586
1961,-38,666,628
1962,-35,724,689
1963,-42,747,705
1964,-52,808,756
1965,-41,946,905
1966,-35,1032,997
1967,-60,1085,1025
1968,-55,1120,1065
1969,-46,1265,1219
1970,-54,1528,1474
1971,-36,1583,1547
1972,-33,1742,1709
1973,-23,1853,1830
1974,-14,1587,1573
1975,-15,1223,1208
1976,-12,1413,1401
1977,-6,1359,1353
1978,-13,1355,1342
1979,-9,1151,1142
1980,-33,939,906
1981,-118,800,682
1982,-209,776,567
1983,-185,699,514
1984,-190,681,491
1985,-197,510,313
1986,-147,669,522
1987,-186,565,379
1988,-200,644,444
1989,-215,629,414
1990,-211,504,293
1991,-226,453,227
1992,-193,375,182
1993,-123,373,250
1994,-125,314,189
1995,-136,187,51
1996,-102,248,146
1997,-120,194,74
1998,-138,275,137
1999,-129,237,108
2000,-139,352,213
2001,-191,295,104
2002,-177,249,72
2003,-197,327,130
2004,-205,426,221
2005,-251,530,279
2006,-283,350,67
2007,-330,372,42
2008,-355,349,-6
2009,-415,331,-84
2010,-405,366,-39
