Annual energy-related carbon emissions (metric tons of carbon dioxide),,,,
Year,coal,natural gas,petroleum,total
1973,1206.672,1178.443,2350.056,4735.171
1974,1185.356,1137.669,2251.935,4574.959
1975,1181.031,1045.528,2212.494,4439.053
1976,1265.758,1065.902,2375.164,4706.823
1977,1299.743,1044.104,2503.112,4846.958
1978,1298.235,1048.255,2550.595,4897.086
1979,1409.981,1083.551,2472.085,4965.617
1980,1435.743,1061.062,2274.645,4771.45
1981,1484.717,1034.892,2126.303,4645.912
1982,1432.547,962.176,2010.437,4405.16
1983,1487.811,900.839,1988.73,4377.38
1984,1598.286,962.398,2053.149,4613.833
1985,1638.225,926.318,2035.687,4600.23
1986,1617.47,866.046,2124.142,4607.659
1987,1690.973,920.508,2154.475,4765.956
1988,1774.84,961.91,2247.538,4984.287
1989,1795.308,1022.986,2247.093,5070.116
1990,1821.405,1024.349,2186.701,5038.634
1991,1807.258,1046.891,2130.855,4992.61
1992,1821.923,1082.051,2174.168,5087.018
1993,1882.416,1109.068,2188.232,5188.723
1994,1893.24,1134.337,2224.321,5261.605
1995,1913.102,1183,2216.145,5322.592
1996,1995.447,1203.956,2300.147,5509.841
1997,2039.888,1210.253,2323.245,5584.131
1998,2064.457,1188.83,2371.536,5635.463
1999,2062.397,1193.202,2421.647,5687.939
2000,2155.495,1242.566,2459.027,5867.628
2001,2087.993,1187.778,2474.008,5761.031
2002,2094.564,1226.962,2469.677,5804.333
2003,2135.651,1193.161,2514.42,5855.056
2004,2160.157,1200.262,2602.555,5974.531
2005,2181.897,1182.912,2622.723,5999.166
2006,2146.902,1167.532,2593.38,5919.732
2007,2172.199,1243.098,2596.487,6023.464
2008,2139.43,1252.659,2437.266,5841.356
2009,1875.661,1230.027,2307.11,5424.44
2010,1982.014,1290.449,2339.238,5623.126
2011,1876.276,1305.946,2304.168,5497.815
2012,1663.773,1363.678,2254.428,5293.303
