"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","9,415","– –","– –","7,363","128","253","16,188","465","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","3,342","-21","615","156","– –","59","517","966","2,549"
"Pentanes Plus","434","-21","– –","11","– –","0","146","183","95"
"Liquefied Petroleum Gases","2,908","– –","615","145","– –","60","371","783","2,454"
"Ethane/Ethylene","1,130","– –","6","0","– –","-2","–","65","1,072"
"Propane/Propylene","1,144","– –","559","124","– –","50","–","615","1,162"
"Normal Butane/Butylene","333","– –","56","10","– –","11","169","97","123"
"Isobutane/Isobutylene","301","– –","-7","10","– –","0","201","7","97"
"Other Liquids","– –","1,113","– –","1,194","334","17","2,119","514","-9"
"Hydrogen/Oxygenates/Renewables/ Other Hydrocarbons","– –","1,113","– –","48","136","10","1,167","120","0"
"Hydrogen","– –","– –","– –","–","213","– –","213","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","65","– –","4","-7","0","2","60","0"
"Renewable Fuels (including Fuel Ethanol)","– –","1,048","– –","42","-69","11","951","60","0"
"Fuel Ethanol","– –","966","– –","6","-17","8","893","54","0"
"Renewable Fuels Except Fuel Ethanol","– –","82","– –","36","-52","3","58","6","0"
"Other Hydrocarbons","– –","– –","– –","2","-1","0","1","–","0"
"Unfinished Oils","– –","– –","– –","547","– –","12","291","252","-8"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","599","198","-6","661","142","0"
"Reformulated","– –","–","– –","176","201","-1","377","1","0"
"Conventional","– –","0","– –","423","-3","-5","284","141","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","– –","0","0","–","0"
"Finished Petroleum Products","– –","3","19,271","736","-125","102","– –","2,793","16,990"
"Finished Motor Gasoline","– –","3","9,754","71","-181","-7","– –","476","9,178"
"Reformulated","– –","–","3,146","–","-187","0","– –","–","2,959"
"Conventional","– –","3","6,608","71","6","-7","– –","476","6,219"
"Finished Aviation Gasoline","– –","– –","11","0","– –","-1","– –","–","11"
"Kerosene-Type Jet Fuel","– –","– –","1,590","132","– –","6","– –","168","1,548"
"Kerosene","– –","– –","16","4","– –","1","– –","13","6"
"Distillate Fuel Oil","– –","– –","4,983","200","56","69","– –","1,176","3,995"
"15 ppm sulfur and under","– –","– –","4,639","137","56","65","– –","966","3,801"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","123","12","–","4","– –","102","29"
"Greater than 500 ppm sulfur","– –","– –","222","51","– –","0","– –","107","165"
"Residual Fuel Oil","– –","– –","417","192","– –","23","– –","326","259"
"Less than 0.31 percent sulfur","– –","– –","45","16","– –","1","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","52","36","– –","-1","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","320","140","– –","23","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","291","40","– –","0","– –","–","331"
"Naphtha for Petro. Feed. Use","– –","– –","190","33","– –","0","– –","–","223"
"Other Oils for Petro. Feed. Use","– –","– –","101","7","– –","0","– –","–","108"
"Special Naphthas","– –","– –","36","15","– –","0","– –","–","52"
"Lubricants","– –","– –","179","34","– –","3","– –","72","138"
"Waxes","– –","– –","5","6","– –","0","– –","4","6"
"Petroleum Coke","– –","– –","874","11","– –","-3","– –","538","349"
"Marketable","– –","– –","649","11","– –","-3","– –","538","124"
"Catalyst","– –","– –","225","– –","– –","– –","– –","– –","225"
"Asphalt and Road Oil","– –","– –","341","32","– –","10","– –","19","343"
"Still Gas","– –","– –","683","– –","– –","– –","– –","– –","683"
"Miscellaneous Products","– –","– –","91","0","– –","1","– –","1","89"
"Total","12,757","1,095","19,886","9,449","337","432","18,824","4,738","19,531"
