"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","5,663","– –","– –","2,966","241","51","117","8,512","292","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","1,956","-1","400","13","372","– –","53","301","626","1,761"
"Pentanes Plus","225","-1","– –","11","-81","– –","-3","96","1","60"
"Liquefied Petroleum Gases","1,730","– –","400","2","453","– –","55","205","625","1,701"
"Ethane/Ethylene","772","– –","5","–","191","– –","-3","–","–","971"
"Propane/Propylene","616","– –","361","0","173","– –","53","–","551","546"
"Normal Butane/Butylene","137","– –","42","2","67","– –","6","87","66","88"
"Isobutane/Isobutylene","205","– –","-7","–","22","– –","-1","118","7","96"
"Other Liquids","– –","103","– –","475","-1,742","57","3","-1,556","447","-1"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","103","– –","13","146","121","3","286","95","0"
"Hydrogen","– –","– –","– –","–","–","126","– –","126","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","65","– –","4","–","-7","0","2","60","0"
"Renewable Fuels (including Fuel Ethanol)","– –","38","– –","10","146","1","3","157","35","0"
"Fuel Ethanol","– –","25","– –","0","142","9","3","139","34","0"
"Renewable Fuels Except Fuel Ethanol","– –","14","– –","9","4","-7","0","18","1","0"
"Other Hydrocarbons","– –","– –","– –","0","–","0","–","–","–","0"
"Unfinished Oils","– –","– –","– –","449","17","– –","-7","240","233","-1"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","13","-1,905","-63","7","-2,082","119","0"
"Reformulated","– –","–","– –","–","-455","120","3","-339","1","0"
"Conventional","– –","–","– –","13","-1,450","-183","4","-1,743","118","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","0","0","–","0"
"Finished Petroleum Products","– –","–","7,469","131","-1,870","69","20","– –","2,273","3,507"
"Finished Motor Gasoline","– –","–","2,209","3","-359","55","-6","– –","433","1,481"
"Reformulated","– –","–","426","–","–","-144","–","– –","–","282"
"Conventional","– –","–","1,783","3","-359","199","-6","– –","433","1,198"
"Finished Aviation Gasoline","– –","– –","7","–","-11","– –","0","– –","–","-4"
"Kerosene-Type Jet Fuel","– –","– –","805","–","-472","– –","0","– –","120","213"
"Kerosene","– –","– –","9","–","-1","– –","0","– –","8","0"
"Distillate Fuel Oil","– –","– –","2,815","11","-1,014","14","5","– –","1,021","799"
"15 ppm sulfur and under","– –","– –","2,555","0","-922","14","7","– –","866","774"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","96","–","-10","–","1","– –","65","20"
"Greater than 500 ppm sulfur","– –","– –","164","10","-82","– –","-3","– –","90","5"
"Residual Fuel Oil","– –","– –","189","43","22","– –","14","– –","233","7"
"Less than 0.31 percent sulfur","– –","– –","29","7","1","– –","2","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","16","9","1","– –","-4","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","144","28","21","– –","16","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","259","33","4","– –","0","– –","–","296"
"Naphtha for Petro. Feed. Use","– –","– –","164","28","3","– –","0","– –","–","196"
"Other Oils for Petro. Feed. Use","– –","– –","95","4","1","– –","0","– –","–","100"
"Special Naphthas","– –","– –","33","14","-2","– –","0","– –","–","46"
"Lubricants","– –","– –","140","21","-22","– –","4","– –","52","82"
"Waxes","– –","– –","3","1","–","– –","0","– –","1","4"
"Petroleum Coke","– –","– –","498","5","–","– –","-2","– –","396","108"
"Marketable","– –","– –","380","5","–","– –","-2","– –","396","-10"
"Catalyst","– –","– –","118","– –","– –","– –","– –","– –","– –","118"
"Asphalt and Road Oil","– –","– –","84","–","-14","– –","3","– –","8","57"
"Still Gas","– –","– –","362","– –","– –","– –","– –","– –","– –","362"
"Miscellaneous Products","– –","– –","57","–","0","– –","1","– –","1","56"
"Total","7,618","103","7,870","3,585","-2,998","177","192","7,257","3,638","5,268"
