"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","684,641","– –","– –","845,589","-148,133","-11,613","39,949","1,299,937","30,597","0","144,504"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","256,479","-6,975","41,016","26,983","-23,180","– –","1,513","33,505","92,506","166,799","54,064"
"Pentanes Plus","32,557","-6,975","– –","45","46,031","– –","838","6,692","62,837","1,291","9,985"
"Liquefied Petroleum Gases","223,922","– –","41,016","26,938","-69,211","– –","675","26,813","29,668","165,509","44,079"
"Ethane/Ethylene","70,173","– –","1","36","-9,980","– –","557","–","23,619","36,054","5,182"
"Propane/Propylene","101,202","– –","40,753","22,012","-50,822","– –","-1,381","–","1,551","112,975","25,352"
"Normal Butane/Butylene","34,948","– –","802","2,628","-9,700","– –","1,490","9,959","4,414","12,815","11,605"
"Isobutane/Isobutylene","17,599","– –","-540","2,262","1,291","– –","9","16,854","85","3,664","1,940"
"Other Liquids","– –","343,681","– –","3,452","-91,710","-2,727","3,307","241,434","10,800","-2,845","67,347"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","343,693","– –","707","-209,896","-19,470","964","107,399","6,672","0","8,098"
"Hydrogen","– –","– –","– –","–","–","12,622","– –","12,622","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","3","–","–","3","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","343,693","– –","58","-209,896","-31,820","970","94,397","6,668","0","8,056"
"Fuel Ethanol","– –","322,522","– –","–","-205,030","-22,140","580","89,156","5,616","0","7,216"
"Renewable Fuels Except Fuel Ethanol","– –","21,171","– –","58","-4,866","-9,680","390","5,241","1,052","0","840"
"Other Hydrocarbons","– –","– –","– –","649","–","-275","-6","380","–","0","42"
"Unfinished Oils","– –","– –","– –","–","-6,380","– –","1,347","-6,031","1,149","-2,845","12,883"
"Motor Gasoline Blend.Comp. (MGBC)","– –","-12","– –","2,745","124,566","16,743","996","140,066","2,980","0","46,366"
"Reformulated","– –","–","– –","–","29,469","-12,590","140","16,738","1","0","6,129"
"Conventional","– –","-12","– –","2,745","95,097","29,333","856","123,328","2,979","0","40,237"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","1,062","1,608,592","10,842","78,192","15,286","528","– –","26,295","1,687,151","62,258"
"Finished Motor Gasoline","– –","1,062","938,000","44","12,899","5,397","238","– –","2,741","954,423","7,308"
"Reformulated","– –","–","133,492","–","–","12,760","–","– –","–","146,252","–"
"Conventional","– –","1,062","804,508","44","12,899","-7,363","238","– –","2,741","808,171","7,308"
"Finished Aviation Gasoline","– –","– –","739","8","152","– –","4","– –","–","895","177"
"Kerosene-Type Jet Fuel","– –","– –","84,370","8","12,532","– –","934","– –","8,755","87,221","6,921"
"Kerosene","– –","– –","1,427","–","228","– –","11","– –","1,331","313","218"
"Distillate Fuel Oil","– –","– –","381,089","1,463","58,645","9,889","-1,291","– –","1,765","450,612","31,894"
"15 ppm sulfur and under","– –","– –","381,753","1,020","56,985","9,889","-1,256","– –","14","450,889","31,020"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","1,216","20","1,466","–","6","– –","1,438","1,258","503"
"Greater than 500 ppm sulfur","– –","– –","-1,880","423","194","– –","-41","– –","313","-1,535","371"
"Residual Fuel Oil","– –","– –","19,593","1,560","-9,851","– –","-53","– –","3,884","7,471","1,293"
"Less than 0.31 percent sulfur","– –","– –","110","17","–","– –","-215","– –","NA","NA","23"
"0.31 to 1.00 percent sulfur","– –","– –","2,816","1,004","-238","– –","-6","– –","NA","NA","137"
"Greater than 1.00 percent sulfur","– –","– –","16,667","539","-9,327","– –","168","– –","NA","NA","1,133"
"Petrochemical Feedstocks","– –","– –","10,350","1,799","-1,092","– –","-45","– –","–","11,102","755"
"Naphtha for Petro. Feed. Use","– –","– –","8,066","1,005","-1,100","– –","-67","– –","–","8,038","592"
"Other Oils for Petro. Feed. Use","– –","– –","2,284","794","8","– –","22","– –","–","3,064","163"
"Special Naphthas","– –","– –","522","460","575","– –","0","– –","–","1,557","153"
"Lubricants","– –","– –","2,867","2,428","2,574","– –","50","– –","1,854","5,965","669"
"Waxes","– –","– –","435","90","–","– –","9","– –","311","205","42"
"Petroleum Coke","– –","– –","63,281","264","–","– –","-518","– –","4,176","59,887","1,196"
"Marketable","– –","– –","46,270","264","–","– –","-518","– –","4,176","42,876","1,196"
"Catalyst","– –","– –","17,011","– –","– –","– –","– –","– –","– –","17,011","– –"
"Asphalt and Road Oil","– –","– –","51,690","2,717","1,472","– –","1,211","– –","1,476","53,192","11,515"
"Still Gas","– –","– –","48,849","– –","– –","– –","– –","– –","– –","48,849","– –"
"Miscellaneous Products","– –","– –","5,380","1","58","– –","-22","– –","2","5,459","117"
"Total","941,120","337,768","1,649,608","886,866","-184,831","946","45,297","1,574,876","160,198","1,851,106","328,173"
