"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","1,067","– –","– –","1,130","154","62","14","2,390","8","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","66","0","50","8","0","– –","-1","71","34","20"
"Pentanes Plus","30","0","– –","–","–","– –","0","25","2","3"
"Liquefied Petroleum Gases","36","– –","50","8","0","– –","-1","46","32","17"
"Ethane/Ethylene","0","– –","–","–","–","– –","–","–","–","0"
"Propane/Propylene","12","– –","41","8","–","– –","-2","–","22","41"
"Normal Butane/Butylene","12","– –","7","0","–","– –","1","25","11","-18"
"Isobutane/Isobutylene","11","– –","3","0","0","– –","0","21","0","-6"
"Other Liquids","– –","25","– –","118","306","-12","2","406","15","13"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","25","– –","17","139","32","1","210","2","0"
"Hydrogen","– –","– –","– –","–","–","41","– –","41","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","25","– –","17","139","-9","1","169","2","0"
"Fuel Ethanol","– –","18","– –","3","135","-1","1","153","1","0"
"Renewable Fuels Except Fuel Ethanol","– –","7","– –","14","4","-7","1","15","1","0"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","47","-1","– –","12","17","3","13"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","54","167","-45","-11","178","9","0"
"Reformulated","– –","–","– –","6","83","12","-7","107","0","0"
"Conventional","– –","–","– –","48","84","-56","-4","71","9","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","2,984","139","52","51","-7","– –","346","2,887"
"Finished Motor Gasoline","– –","–","1,547","6","10","46","-2","– –","33","1,579"
"Reformulated","– –","–","1,093","–","–","-10","0","– –","–","1,083"
"Conventional","– –","–","454","6","10","56","-2","– –","33","496"
"Finished Aviation Gasoline","– –","– –","1","–","0","– –","0","– –","–","2"
"Kerosene-Type Jet Fuel","– –","– –","427","62","9","– –","-1","– –","24","475"
"Kerosene","– –","– –","0","–","–","– –","0","– –","1","0"
"Distillate Fuel Oil","– –","– –","573","15","36","5","-3","– –","106","526"
"15 ppm sulfur and under","– –","– –","541","11","36","5","-2","– –","80","515"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","7","0","–","–","0","– –","13","-6"
"Greater than 500 ppm sulfur","– –","– –","25","3","–","– –","-1","– –","13","16"
"Residual Fuel Oil","– –","– –","113","49","–","– –","-2","– –","55","109"
"Less than 0.31 percent sulfur","– –","– –","0","1","–","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","22","4","–","– –","0","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","91","44","–","– –","-1","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","0","1","–","– –","0","– –","–","1"
"Naphtha for Petro. Feed. Use","– –","– –","0","1","–","– –","0","– –","–","1"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Special Naphthas","– –","– –","1","–","–","– –","0","– –","–","1"
"Lubricants","– –","– –","20","1","-4","– –","-1","– –","9","8"
"Waxes","– –","– –","–","1","–","– –","–","– –","0","1"
"Petroleum Coke","– –","– –","142","1","–","– –","0","– –","117","27"
"Marketable","– –","– –","113","1","–","– –","0","– –","117","-3"
"Catalyst","– –","– –","30","– –","– –","– –","– –","– –","– –","30"
"Asphalt and Road Oil","– –","– –","26","3","–","– –","1","– –","2","26"
"Still Gas","– –","– –","120","– –","– –","– –","– –","– –","– –","120"
"Miscellaneous Products","– –","– –","13","–","0","– –","0","– –","0","13"
"Total","1,133","25","3,034","1,394","511","100","8","2,867","403","2,920"
