"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","1,876","– –","– –","2,317","-406","-32","109","3,561","84","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","703","-19","112","74","-64","– –","4","92","253","457"
"Pentanes Plus","89","-19","– –","0","126","– –","2","18","172","4"
"Liquefied Petroleum Gases","613","– –","112","74","-190","– –","2","73","81","453"
"Ethane/Ethylene","192","– –","0","0","-27","– –","2","–","65","99"
"Propane/Propylene","277","– –","112","60","-139","– –","-4","–","4","310"
"Normal Butane/Butylene","96","– –","2","7","-27","– –","4","27","12","35"
"Isobutane/Isobutylene","48","– –","-1","6","4","– –","0","46","0","10"
"Other Liquids","– –","942","– –","9","-251","-7","9","661","30","-8"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","942","– –","2","-575","-53","3","294","18","0"
"Hydrogen","– –","– –","– –","–","–","35","– –","35","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","942","– –","0","-575","-87","3","259","18","0"
"Fuel Ethanol","– –","884","– –","–","-562","-61","2","244","15","0"
"Renewable Fuels Except Fuel Ethanol","– –","58","– –","0","-13","-27","1","14","3","0"
"Other Hydrocarbons","– –","– –","– –","2","–","-1","0","1","–","0"
"Unfinished Oils","– –","– –","– –","–","-17","– –","4","-17","3","-8"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","8","341","46","3","384","8","0"
"Reformulated","– –","–","– –","–","81","-34","0","46","0","0"
"Conventional","– –","0","– –","8","261","80","2","338","8","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","3","4,407","30","214","42","1","– –","72","4,622"
"Finished Motor Gasoline","– –","3","2,570","0","35","15","1","– –","8","2,615"
"Reformulated","– –","–","366","–","–","35","–","– –","–","401"
"Conventional","– –","3","2,204","0","35","-20","1","– –","8","2,214"
"Finished Aviation Gasoline","– –","– –","2","0","0","– –","0","– –","–","2"
"Kerosene-Type Jet Fuel","– –","– –","231","0","34","– –","3","– –","24","239"
"Kerosene","– –","– –","4","–","1","– –","0","– –","4","1"
"Distillate Fuel Oil","– –","– –","1,044","4","161","27","-4","– –","5","1,235"
"15 ppm sulfur and under","– –","– –","1,046","3","156","27","-3","– –","0","1,235"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","3","0","4","–","0","– –","4","3"
"Greater than 500 ppm sulfur","– –","– –","-5","1","1","– –","0","– –","1","-4"
"Residual Fuel Oil","– –","– –","54","4","-27","– –","0","– –","11","20"
"Less than 0.31 percent sulfur","– –","– –","0","0","–","– –","-1","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","8","3","-1","– –","0","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","46","1","-26","– –","0","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","28","5","-3","– –","0","– –","–","30"
"Naphtha for Petro. Feed. Use","– –","– –","22","3","-3","– –","0","– –","–","22"
"Other Oils for Petro. Feed. Use","– –","– –","6","2","0","– –","0","– –","–","8"
"Special Naphthas","– –","– –","1","1","2","– –","0","– –","–","4"
"Lubricants","– –","– –","8","7","7","– –","0","– –","5","16"
"Waxes","– –","– –","1","0","–","– –","0","– –","1","1"
"Petroleum Coke","– –","– –","173","1","–","– –","-1","– –","11","164"
"Marketable","– –","– –","127","1","–","– –","-1","– –","11","117"
"Catalyst","– –","– –","47","– –","– –","– –","– –","– –","– –","47"
"Asphalt and Road Oil","– –","– –","142","7","4","– –","3","– –","4","146"
"Still Gas","– –","– –","134","– –","– –","– –","– –","– –","– –","134"
"Miscellaneous Products","– –","– –","15","0","0","– –","0","– –","0","15"
"Total","2,578","925","4,519","2,430","-506","3","124","4,315","439","5,072"
