"STUB_1","1","2","3","4","5","Total","Daily Average"
"Crude Oil","239,720","770,904","1,159,806","101,637","415,342","2,687,409","7,363"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","18,503","26,983","4,588","3,912","2,803","56,789","156"
"Pentanes Plus","9","45","3,955","–","–","4,009","11"
"Liquefied Petroleum Gases","18,494","26,938","633","3,912","2,803","52,780","145"
"Ethane","–","–","–","–","–","–","–"
"Ethylene","–","36","–","–","–","36","0"
"Propane","13,647","17,963","47","3,694","2,740","38,091","104"
"Propylene","2,988","4,049","–","–","6","7,043","19"
"Normal Butane","540","1,769","–","23","52","2,384","7"
"Butylene","–","859","586","–","–","1,445","4"
"Isobutane","1,319","2,262","–","195","5","3,781","10"
"Isobutylene","–","–","–","–","–","–","–"
"Other Liquids","215,455","3,452","173,364","547","42,896","435,714","1,194"
"Hydrogen/Oxygenates/Renewables/Other Hydrocarbons","5,673","707","4,923","29","6,160","17,492","48"
"Hydrogen","–","–","–","–","–","–","–"
"Oxygenates (excluding Fuel Ethanol)","–","–","1,314","–","–","1,314","4"
"Methyl Tertiary Butyl Ether (MTBE)","–","–","1,314","–","–","1,314","4"
"Other Oxygenates","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","5,672","58","3,533","29","6,160","15,452","42"
"Fuel Ethanol","981","–","143","–","1,055","2,179","6"
"Biomass-Based Diesel Fuel","4,149","58","2,947","29","1,216","8,399","23"
"Other Renewable Diesel Fuel","542","–","443","–","3,889","4,874","13"
"Other Renewable Fuels","–","–","–","–","–","–","–"
"Other Hydrocarbons","1","649","76","–","–","726","2"
"Unfinished Oils","18,775","–","163,783","–","17,057","199,615","547"
"Naphthas and Lighter","793","–","1,936","–","–","2,729","7"
"Kerosene and Lighter Gas Oils","–","–","–","–","–","–","–"
"Heavy Gas Oils","8,432","–","109,956","–","16,443","134,831","369"
"Residuum","9,550","–","51,891","–","614","62,055","170"
"Motor Gasoline Blend.Comp. (MGBC)","191,007","2,745","4,658","518","19,679","218,607","599"
"Reformulated - RBOB","62,170","–","–","–","2,074","64,244","176"
"Conventional","128,837","2,745","4,658","518","17,605","154,363","423"
"CBOB","15,126","92","1","–","6,432","21,651","59"
"GTAB","38,811","–","–","–","412","39,223","107"
"Other","74,900","2,653","4,657","518","10,761","93,489","256"
"Aviation Gasoline Blend. Comp. ","–","–","–","–","–","–","–"
"Finished Petroleum Products","158,540","10,842","47,821","928","50,691","268,822","736"
"Finished Motor Gasoline","22,680","44","944","24","2,349","26,041","71"
"Reformulated","–","–","–","–","–","–","–"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–"
"Reformulated Other","–","–","–","–","–","–","–"
"Conventional","22,680","44","944","24","2,349","26,041","71"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–"
"Ed55 and Lower","–","–","–","–","–","–","–"
"Greater than Ed55","–","–","–","–","–","–","–"
"Conventional Other","22,680","44","944","24","2,349","26,041","71"
"Finished Aviation Gasoline","12","8","–","10","–","30","0"
"Kerosene-Type Jet Fuel","25,569","8","–","–","22,541","48,118","132"
"Bonded Aircraft Fuel","12","–","–","–","6,136","6,148","17"
"Other","25,557","8","–","–","16,405","41,970","115"
"Kerosene","1,593","–","–","–","–","1,593","4"
"Distillate Fuel Oil","62,167","1,463","3,915","272","5,361","73,178","200"
"15 ppm sulfur and under","44,636","1,020","135","233","4,137","50,161","137"
"Bonded","–","–","–","–","–","–","–"
"Other","44,636","1,020","135","233","4,137","50,161","137"
"Greater than 15 ppm to 500 ppm sulfur","4,343","20","–","20","3","4,386","12"
"Bonded","–","–","–","–","–","–","–"
"Other","4,343","20","–","20","3","4,386","12"
"Greater than 500 ppm to 2000 ppm sulfur","13,188","285","3,780","19","1,221","18,493","51"
"Bonded","–","–","–","–","–","–","–"
"Other","13,188","285","3,780","19","1,221","18,493","51"
"Greater than 2000 ppm","–","138","–","–","–","138","0"
"Bonded","–","–","–","–","–","–","–"
"Other","–","138","–","–","–","138","0"
"Residual Fuel Oil","34,524","1,560","15,779","163","17,888","69,914","192"
"Less than 0.31 percent sulfur","2,985","17","2,437","–","276","5,715","16"
"0.31 to 1.00 percent sulfur","7,079","1,004","3,219","163","1,522","12,987","36"
"Greater than 1.00 percent sulfur","24,460","539","10,123","–","16,090","51,212","140"
"Petrochemical Feedstocks","188","1,799","11,992","–","449","14,428","40"
"Naphtha for Petro. Feed. Use","188","1,005","10,379","–","449","12,021","33"
"Other Oils for Petro. Feed. Use","–","794","1,613","–","–","2,407","7"
"Special Naphthas","–","460","5,072","–","–","5,532","15"
"Lubricants","1,942","2,428","7,840","–","251","12,461","34"
"Waxes","1,131","90","436","–","399","2,056","6"
"Petroleum Coke (Marketable)","1,438","264","1,843","–","347","3,892","11"
"Asphalt and Road Oil","7,296","2,717","–","444","1,106","11,563","32"
"Miscellaneous Products","–","1","–","15","–","16","0"
"Total","632,218","812,181","1,385,579","107,024","511,732","3,448,734","9,449"
