"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Kerosene-Type Jet Fuel","34,985","103","35,088","62,411","10,965","10,994","84,370","15,729","139,566","136,352","2,021","–","293,668","11,624","155,681","580,431"
"Kerosene","1,097","6","1,103","1,389","3","35","1,427","110","-304","3,342","135","–","3,283","3","121","5,937"
"Distillate Fuel Oil","117,761","9,255","127,016","217,280","51,212","112,597","381,089","73,193","489,468","416,314","29,743","18,808","1,027,526","73,932","209,217","1,818,780"
"15 ppm sulfur and under","99,731","8,254","107,985","218,146","50,884","112,723","381,753","73,191","461,730","350,101","28,656","18,808","932,486","73,341","197,521","1,693,086"
"Greater than 15 ppm to 500 ppm sulfur","3,401","1,825","5,226","-392","397","1,211","1,216","2","11,054","23,679","486","–","35,221","535","2,575","44,773"
"Greater than 500 ppm sulfur","14,629","-824","13,805","-474","-69","-1,337","-1,880","–","16,684","42,534","601","–","59,819","56","9,121","80,921"
"Residual Fuel Oil","17,858","127","17,985","14,580","3,578","1,435","19,593","3,583","27,487","38,027","-984","691","68,804","4,516","41,368","152,266"
"Less than 0.31 percent sulfur","3,317","107","3,424","–","106","4","110","2,682","-424","8,616","-239","–","10,635","2,308","75","16,552"
"0.31 to 1.00 percent sulfur","2,086","20","2,106","1,364","1,452","–","2,816","–","2,881","3,413","-745","222","5,771","375","7,970","19,038"
"Greater than 1.00 percent sulfur","12,455","–","12,455","13,216","2,020","1,431","16,667","901","25,030","25,998","–","469","52,398","1,833","33,323","116,676"
"Petrochemical Feedstocks","1,505","–","1,505","9,661","135","554","10,350","1,406","66,035","26,963","16","–","94,420","–","64","106,339"
"Naphtha for Petro. Feed. Use","1,505","–","1,505","7,696","135","235","8,066","1,243","45,524","12,957","16","–","59,740","–","64","69,375"
"Other Oils for Petro. Feed. Use","–","–","–","1,965","–","319","2,284","163","20,511","14,006","–","–","34,680","–","–","36,964"
"Special Naphthas","–","259","259","367","–","155","522","1,130","8,281","–","2,626","–","12,037","–","458","13,276"
"Lubricants","2,270","2,110","4,380","–","–","2,867","2,867","328","21,174","20,100","9,319","–","50,921","–","7,281","65,449"
"Waxes","–","64","64","–","–","435","435","–","484","485","287","–","1,256","–","–","1,755"
"Petroleum Coke","12,646","221","12,867","44,275","8,531","10,475","63,281","5,239","101,860","72,552","1,596","483","181,730","8,955","52,001","318,834"
"Marketable","4,638","–","4,638","31,732","6,519","8,019","46,270","2,309","78,153","56,810","1,445","–","138,717","6,071","41,109","236,805"
"Catalyst","8,008","221","8,229","12,543","2,012","2,456","17,011","2,930","23,707","15,742","151","483","43,013","2,884","10,892","82,029"
"Asphalt and Road Oil","12,957","7,430","20,387","32,137","14,423","5,130","51,690","2,832","4,321","10,200","12,162","979","30,494","12,436","9,422","124,429"
"Still Gas","14,862","743","15,605","29,999","7,112","11,738","48,849","8,974","68,994","50,909","2,405","982","132,264","8,720","43,733","249,171"
"Miscellaneous Products","676","375","1,051","3,603","1,167","610","5,380","1,752","12,062","6,780","230","96","20,920","1,313","4,584","33,248"
"Total","1,274,788","112,013","1,386,801","1,063,059","235,116","351,433","1,649,608","364,473","1,327,587","981,687","156,266","42,419","2,872,432","241,891","1,107,582","7,258,314"
"Processing Gain(-) or Loss(+)","-18,984","369","-18,615","-48,200","-13,046","-13,486","-74,732","-10,626","-118,867","-92,982","-951","-261","-223,687","-9,306","-61,270","-387,610"
