"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","389,288","– –","– –","412,565","56,162","22,574","5,189","872,491","2,909","0","54,144"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","24,186","-154","18,375","2,803","-8","– –","-334","25,760","12,518","7,258","4,729"
"Pentanes Plus","11,099","-154","– –","–","–","– –","-40","9,093","723","1,169","34"
"Liquefied Petroleum Gases","13,087","– –","18,375","2,803","-8","– –","-294","16,667","11,795","6,089","4,695"
"Ethane/Ethylene","35","– –","–","–","–","– –","–","–","–","35","–"
"Propane/Propylene","4,519","– –","14,811","2,746","–","– –","-720","–","7,925","14,871","1,474"
"Normal Butane/Butylene","4,410","– –","2,416","52","–","– –","426","9,166","3,859","-6,573","2,758"
"Isobutane/Isobutylene","4,123","– –","1,148","5","-8","– –","0","7,501","11","-2,244","463"
"Other Liquids","– –","9,137","– –","42,896","111,583","-4,510","795","148,061","5,338","4,912","51,286"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","9,137","– –","6,160","50,789","11,862","543","76,662","743","0","3,428"
"Hydrogen","– –","– –","– –","–","–","15,019","– –","15,019","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","17","–","–","17","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","9,137","– –","6,160","50,789","-3,174","543","61,643","726","0","3,428"
"Fuel Ethanol","– –","6,751","– –","1,055","49,308","-527","250","56,025","312","0","2,479"
"Renewable Fuels Except Fuel Ethanol","– –","2,386","– –","5,105","1,481","-2,647","293","5,618","414","0","949"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","17,057","-267","– –","4,418","6,270","1,190","4,912","21,029"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","19,679","61,061","-16,372","-4,166","65,129","3,405","0","26,829"
"Reformulated","– –","–","– –","2,074","30,369","4,214","-2,559","39,214","2","0","13,214"
"Conventional","– –","–","– –","17,605","30,692","-20,586","-1,607","25,915","3,403","0","13,615"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","1,089,207","50,691","18,812","18,596","-2,706","– –","126,396","1,053,616","32,993"
"Finished Motor Gasoline","– –","–","564,750","2,349","3,642","16,899","-829","– –","11,973","576,496","1,917"
"Reformulated","– –","–","398,958","–","–","-3,513","2","– –","–","395,443","14"
"Conventional","– –","–","165,792","2,349","3,642","20,412","-831","– –","11,973","181,053","1,903"
"Finished Aviation Gasoline","– –","– –","527","–","28","– –","-54","– –","–","609","184"
"Kerosene-Type Jet Fuel","– –","– –","155,681","22,541","3,339","– –","-236","– –","8,603","173,194","8,486"
"Kerosene","– –","– –","121","–","–","– –","-59","– –","193","-13","54"
"Distillate Fuel Oil","– –","– –","209,217","5,361","13,211","1,697","-1,046","– –","38,583","191,949","13,842"
"15 ppm sulfur and under","– –","– –","197,521","4,137","13,211","1,697","-725","– –","29,173","188,118","12,703"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","2,575","3","–","–","-79","– –","4,814","-2,157","341"
"Greater than 500 ppm sulfur","– –","– –","9,121","1,221","–","– –","-242","– –","4,596","5,988","798"
"Residual Fuel Oil","– –","– –","41,368","17,888","–","– –","-591","– –","20,226","39,621","4,154"
"Less than 0.31 percent sulfur","– –","– –","75","276","–","– –","-10","– –","NA","NA","284"
"0.31 to 1.00 percent sulfur","– –","– –","7,970","1,522","–","– –","-69","– –","NA","NA","604"
"Greater than 1.00 percent sulfur","– –","– –","33,323","16,090","–","– –","-512","– –","NA","NA","3,260"
"Petrochemical Feedstocks","– –","– –","64","449","–","– –","0","– –","–","513","2"
"Naphtha for Petro. Feed. Use","– –","– –","64","449","–","– –","0","– –","–","513","2"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Special Naphthas","– –","– –","458","–","–","– –","6","– –","–","452","62"
"Lubricants","– –","– –","7,281","251","-1,412","– –","-221","– –","3,325","3,016","1,010"
"Waxes","– –","– –","–","399","–","– –","–","– –","65","334","–"
"Petroleum Coke","– –","– –","52,001","347","–","– –","-87","– –","42,713","9,722","1,464"
"Marketable","– –","– –","41,109","347","–","– –","-87","– –","42,713","-1,170","1,464"
"Catalyst","– –","– –","10,892","– –","– –","– –","– –","– –","– –","10,892","– –"
"Asphalt and Road Oil","– –","– –","9,422","1,106","–","– –","414","– –","703","9,411","1,753"
"Still Gas","– –","– –","43,733","– –","– –","– –","– –","– –","– –","43,733","– –"
"Miscellaneous Products","– –","– –","4,584","–","4","– –","-3","– –","12","4,579","65"
"Total","413,474","8,983","1,107,582","508,955","186,549","36,661","2,944","1,046,312","147,161","1,065,786","143,152"
