"STUB_1","Less than 0.31 % sulfur","0.31 to 1.00 % sulfur","Greater than 1.00 % sulfur","Total"
"PAD District 1","2,985","7,079","24,460","34,524"
"Connecticut","–","–","129","129"
"Delaware","1,512","–","967","2,479"
"Florida","–","1,338","5,860","7,198"
"Georgia","–","138","1,491","1,629"
"Maine","–","–","135","135"
"Maryland","225","–","364","589"
"Massachusetts","–","–","88","88"
"New Hampshire","–","–","220","220"
"New Jersey","1,064","2,914","11,289","15,267"
"New York","10","2,161","1,314","3,485"
"North Carolina","–","–","–","–"
"Pennsylvania","126","–","1,100","1,226"
"Rhode Island","–","–","–","–"
"South Carolina","–","133","1,477","1,610"
"Vermont","–","16","22","38"
"Virginia","48","379","4","431"
"West Virginia","–","–","–","–"
"PAD District 2","17","1,004","539","1,560"
"Illnois","–","–","–","–"
"Indiana","–","–","–","–"
"Michigan","–","46","460","506"
"Minnesota","17","681","79","777"
"North Dakota","–","277","–","277"
"Ohio","–","–","–","–"
"Wisconsin","–","–","–","–"
"PAD District 3","2,437","3,219","10,123","15,779"
"Alabama","–","–","–","–"
"Louisiana","369","1,349","1,148","2,866"
"Mississippi","–","–","–","–"
"New Mexico","–","–","–","–"
"Texas","2,068","1,870","8,975","12,913"
"PAD District 4","–","163","–","163"
"Idaho","–","–","–","–"
"Montana","–","163","–","163"
"PAD District 5","276","1,522","16,090","17,888"
"Alaska","–","–","–","–"
"California","30","651","13,838","14,519"
"Hawaii","65","111","564","740"
"Oregon","–","–","–","–"
"Washington","181","760","1,688","2,629"
"U.S. Total","5,715","12,987","51,212","69,914"
