"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","17,461","– –","– –","227,649","164,471","27,719","1,261","409,350","26,689","0","16,151"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","101,401","-191","14,223","18,503","-4,395","– –","950","12,558","16,485","99,548","8,282"
"Pentanes Plus","11,676","-191","– –","9","4","– –","99","583","708","10,108","209"
"Liquefied Petroleum Gases","89,725","– –","14,223","18,494","-4,399","– –","851","11,975","15,777","89,440","8,073"
"Ethane/Ethylene","30,964","– –","170","–","-31,804","– –","30","–","–","-700","118"
"Propane/Propylene","40,253","– –","13,538","16,635","27,621","– –","1,016","–","13,517","83,514","6,723"
"Normal Butane/Butylene","13,221","– –","848","540","-60","– –","-251","8,409","2,237","4,154","1,040"
"Isobutane/Isobutylene","5,287","– –","-333","1,319","-156","– –","56","3,566","24","2,471","192"
"Other Liquids","– –","10,592","– –","215,455","612,855","109,600","513","946,278","7,810","-6,099","69,219"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","10,628","– –","5,673","101,798","8,900","1,403","124,154","1,441","0","8,858"
"Hydrogen","– –","– –","– –","–","–","1,547","– –","1,547","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","18","–","–","18","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","10,628","– –","5,672","101,798","7,336","1,403","122,607","1,423","0","8,858"
"Fuel Ethanol","– –","9,094","– –","981","100,134","11,638","1,132","119,302","1,414","0","7,218"
"Renewable Fuels Except Fuel Ethanol","– –","1,534","– –","4,691","1,664","-4,303","271","3,305","10","0","1,640"
"Other Hydrocarbons","– –","– –","– –","1","–","-1","–","–","–","0","–"
"Unfinished Oils","– –","– –","– –","18,775","506","– –","909","19,869","4,602","-6,099","5,477"
"Motor Gasoline Blend.Comp. (MGBC)","– –","-36","– –","191,007","510,551","100,700","-1,799","802,255","1,766","0","54,884"
"Reformulated","– –","–","– –","62,170","106,059","37,959","757","205,418","13","0","19,757"
"Conventional","– –","-36","– –","128,837","404,492","62,741","-2,556","596,837","1,753","0","35,127"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","1,372,578","158,540","586,035","-108,309","32,739","– –","36,829","1,939,276","100,657"
"Finished Motor Gasoline","– –","–","1,135,268","22,680","119,374","-112,339","436","– –","1,030","1,163,517","5,838"
"Reformulated","– –","–","460,188","–","–","-24,817","-10","– –","–","435,381","16"
"Conventional","– –","–","675,080","22,680","119,374","-87,522","446","– –","1,030","728,136","5,822"
"Finished Aviation Gasoline","– –","– –","–","12","3,982","– –","-28","– –","–","4,022","141"
"Kerosene-Type Jet Fuel","– –","– –","35,088","25,569","149,207","– –","1,295","– –","214","208,355","10,073"
"Kerosene","– –","– –","1,103","1,593","–","– –","417","– –","165","2,114","1,974"
"Distillate Fuel Oil","– –","– –","127,016","62,167","301,350","4,030","25,695","– –","15,940","452,927","65,076"
"15 ppm sulfur and under","– –","– –","107,985","44,636","269,324","4,030","23,258","– –","7,048","395,669","50,102"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","5,226","4,343","2,355","–","1,082","– –","7,375","3,467","5,476"
"Greater than 500 ppm sulfur","– –","– –","13,805","13,188","29,671","– –","1,355","– –","1,517","53,792","9,498"
"Residual Fuel Oil","– –","– –","17,985","34,524","1,679","– –","3,874","– –","9,878","40,436","11,597"
"Less than 0.31 percent sulfur","– –","– –","3,424","2,985","100","– –","-94","– –","NA","NA","1,665"
"0.31 to 1.00 percent sulfur","– –","– –","2,106","7,079","–","– –","1,183","– –","NA","NA","2,627"
"Greater than 1.00 percent sulfur","– –","– –","12,455","24,460","1,579","– –","2,785","– –","NA","NA","7,305"
"Petrochemical Feedstocks","– –","– –","1,505","188","-308","– –","77","– –","–","1,308","151"
"Naphtha for Petro. Feed. Use","– –","– –","1,505","188","23","– –","77","– –","–","1,639","151"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","-331","– –","–","– –","–","-331","–"
"Special Naphthas","– –","– –","259","–","–","– –","4","– –","–","255","30"
"Lubricants","– –","– –","4,380","1,942","7,046","– –","5","– –","2,020","11,343","1,210"
"Waxes","– –","– –","64","1,131","–","– –","159","– –","841","195","301"
"Petroleum Coke","– –","– –","12,867","1,438","–","– –","–","– –","4,964","9,341","–"
"Marketable","– –","– –","4,638","1,438","–","– –","–","– –","4,964","1,112","–"
"Catalyst","– –","– –","8,229","– –","– –","– –","– –","– –","– –","8,229","– –"
"Asphalt and Road Oil","– –","– –","20,387","7,296","3,793","– –","799","– –","1,557","29,120","4,229"
"Still Gas","– –","– –","15,605","– –","– –","– –","– –","– –","– –","15,605","– –"
"Miscellaneous Products","– –","– –","1,051","–","-88","– –","6","– –","220","737","37"
"Total","118,862","10,401","1,386,801","620,147","1,358,966","29,010","35,463","1,368,186","87,813","2,032,725","194,309"
