"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","48","– –","– –","624","451","76","3","1,122","73","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","278","-1","39","51","-12","– –","3","34","45","273"
"Pentanes Plus","32","-1","– –","0","0","– –","0","2","2","28"
"Liquefied Petroleum Gases","246","– –","39","51","-12","– –","2","33","43","245"
"Ethane/Ethylene","85","– –","0","–","-87","– –","0","–","–","-2"
"Propane/Propylene","110","– –","37","46","76","– –","3","–","37","229"
"Normal Butane/Butylene","36","– –","2","1","0","– –","-1","23","6","11"
"Isobutane/Isobutylene","14","– –","-1","4","0","– –","0","10","0","7"
"Other Liquids","– –","29","– –","590","1,679","300","1","2,593","21","-17"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","29","– –","16","279","24","4","340","4","0"
"Hydrogen","– –","– –","– –","–","–","4","– –","4","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","29","– –","16","279","20","4","336","4","0"
"Fuel Ethanol","– –","25","– –","3","274","32","3","327","4","0"
"Renewable Fuels Except Fuel Ethanol","– –","4","– –","13","5","-12","1","9","0","0"
"Other Hydrocarbons","– –","– –","– –","0","–","0","–","–","–","0"
"Unfinished Oils","– –","– –","– –","51","1","– –","2","54","13","-17"
"Motor Gasoline Blend.Comp. (MGBC)","– –","0","– –","523","1,399","276","-5","2,198","5","0"
"Reformulated","– –","–","– –","170","291","104","2","563","0","0"
"Conventional","– –","0","– –","353","1,108","172","-7","1,635","5","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","3,760","434","1,606","-297","90","– –","101","5,313"
"Finished Motor Gasoline","– –","–","3,110","62","327","-308","1","– –","3","3,188"
"Reformulated","– –","–","1,261","–","–","-68","0","– –","–","1,193"
"Conventional","– –","–","1,850","62","327","-240","1","– –","3","1,995"
"Finished Aviation Gasoline","– –","– –","–","0","11","– –","0","– –","–","11"
"Kerosene-Type Jet Fuel","– –","– –","96","70","409","– –","4","– –","1","571"
"Kerosene","– –","– –","3","4","–","– –","1","– –","0","6"
"Distillate Fuel Oil","– –","– –","348","170","826","11","70","– –","44","1,241"
"15 ppm sulfur and under","– –","– –","296","122","738","11","64","– –","19","1,084"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","14","12","6","–","3","– –","20","9"
"Greater than 500 ppm sulfur","– –","– –","38","36","81","– –","4","– –","4","147"
"Residual Fuel Oil","– –","– –","49","95","5","– –","11","– –","27","111"
"Less than 0.31 percent sulfur","– –","– –","9","8","0","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","6","19","–","– –","3","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","34","67","4","– –","8","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","4","1","-1","– –","0","– –","–","4"
"Naphtha for Petro. Feed. Use","– –","– –","4","1","0","– –","0","– –","–","4"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","-1","– –","–","– –","–","-1"
"Special Naphthas","– –","– –","1","–","–","– –","0","– –","–","1"
"Lubricants","– –","– –","12","5","19","– –","0","– –","6","31"
"Waxes","– –","– –","0","3","–","– –","0","– –","2","1"
"Petroleum Coke","– –","– –","35","4","–","– –","–","– –","14","26"
"Marketable","– –","– –","13","4","–","– –","–","– –","14","3"
"Catalyst","– –","– –","23","– –","– –","– –","– –","– –","– –","23"
"Asphalt and Road Oil","– –","– –","56","20","10","– –","2","– –","4","80"
"Still Gas","– –","– –","43","– –","– –","– –","– –","– –","– –","43"
"Miscellaneous Products","– –","– –","3","–","0","– –","0","– –","1","2"
"Total","326","28","3,799","1,699","3,723","79","97","3,748","241","5,569"
