"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Liquefied Refinery Gases","14,069","154","14,223","33,983","2,191","4,842","41,016","7,774","75,908","61,463","581","401","146,127","4,588","18,375","224,329"
"Ethane/Ethylene","170","–","170","–","1","–","1","15","1,789","128","–","–","1,932","–","–","2,103"
"Ethane","–","–","–","–","1","–","1","15","1,660","128","–","–","1,803","–","–","1,804"
"Ethylene","170","–","170","–","–","–","–","–","129","–","–","–","129","–","–","299"
"Propane/Propylene","13,256","282","13,538","28,678","4,529","7,546","40,753","7,351","67,529","55,881","278","579","131,618","3,349","14,811","204,069"
"Propane","8,341","282","8,623","18,545","2,863","5,395","26,803","2,825","29,247","19,914","221","579","52,786","3,210","12,001","103,423"
"Propylene","4,915","–","4,915","10,133","1,666","2,151","13,950","4,526","38,282","35,967","57","–","78,832","139","2,810","100,646"
"Normal Butane/Butylene","748","100","848","5,047","-1,995","-2,250","802","773","11,853","2,517","303","-180","15,266","1,258","2,416","20,590"
"Normal Butane","733","100","833","4,417","-1,995","-2,248","174","773","15,170","3,738","303","-201","19,783","726","2,419","23,935"
"Butylene","15","–","15","630","–","-2","628","0","-3,317","-1,221","–","21","-4,517","532","-3","-3,345"
"Isobutane/Isobutylene","-105","-228","-333","258","-344","-454","-540","-365","-5,263","2,937","–","2","-2,689","-19","1,148","-2,433"
"Isobutane","-105","-228","-333","258","-344","-454","-540","-365","-4,982","2,937","–","2","-2,408","-19","1,148","-2,152"
"Isobutylene","–","–","–","–","–","–","–","–","-281","–","–","–","-281","–","–","-281"
"Finished Motor Gasoline","9,090","13,941","23,031","80,715","23,598","27,564","131,877","39,127","177,938","101,830","5,083","6,966","330,944","63,234","36,970","586,056"
"Reformulated","9,090","–","9,090","–","–","23","23","–","–","–","–","–","–","–","7,922","17,035"
"Reformulated Blended with Fuel Ethanol","9,090","–","9,090","–","–","23","23","–","–","–","–","–","–","–","7,922","17,035"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","–","13,941","13,941","80,715","23,598","27,541","131,854","39,127","177,938","101,830","5,083","6,966","330,944","63,234","29,048","569,021"
"Conventional Blended with Fuel Ethanol","–","11,622","11,622","18,656","17,706","9,258","45,620","21,054","5,142","15,563","4,800","5,497","52,056","34,970","3,318","147,586"
"Ed55 and Lower","–","11,622","11,622","18,656","17,706","9,258","45,620","21,007","5,142","15,563","4,800","5,497","52,009","34,970","3,318","147,539"
"Greater than Ed55","–","–","–","–","–","–","–","47","–","–","–","–","47","–","–","47"
"Conventional Other","–","2,319","2,319","62,059","5,892","18,283","86,234","18,073","172,796","86,267","283","1,469","278,888","28,264","25,730","421,435"
"Finished Aviation Gasoline","–","–","–","–","739","–","739","660","970","987","–","–","2,617","70","547","3,973"
