"Table 3.  PAD District 1 -- Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products,  2005",,,,,,,,,,,,
,,      (Thousand Barrels),,,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,,
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd, Ending Stocks 
Crude Oil,,,"8,299",  - ,"585,963","3,261",66,544,"593,809","3,236",0,"15,019"
Natural Gas Liquids and LRGs,,,"6,273","15,123","23,191","36,994",  - ,"-1,324","1,693","1,044","80,168","5,389"
,Pentanes Plus,,"1,071",  - ,0,0,  - ,20,0,5,"1,046",32
,Liquefied Petroleum Gases,,"5,202","15,123","23,191","36,994",  - ,"-1,344","1,693","1,039","79,122","5,357"
,,Ethane/Ethylene,148,107,0,0,  - ,0,0,0,255,0
,,Propane/Propylene,"3,359","17,172","20,262","36,150",  - ,"-1,318",0,206,"78,055","4,276"
,,Normal Butane/Butylene,"1,075",-612,"2,246",844,  - ,-58,428,833,"2,350",866
,,Isobutane/Isobutylene,620,"-1,544",683,0,  - ,32,"1,265",0,"-1,538",215
Other Liquids,,,  - ,  - ,"192,063","6,266","9,066","-2,570","197,742","2,057","10,166","22,623"
,Other Hydrocarbons/Oxygenates,,  - ,  - ,"11,699",0,"20,107",-634,"31,251","1,189",0,"1,715"
,Unfinished Oils,,  - ,  - ,"40,131",42,  - ,163,"31,487",0,"8,523","8,145"
,Motor Gasoline Blend. Comp. (MGBC),,  - ,  - ,"140,233","6,224","-11,041","-2,120","136,668",868,0,"12,624"
,,Reformulated,  - ,  - ,"29,685","4,067","11,615",-753,"46,120",0,0,"4,858"
,,Conventional,  - ,  - ,"110,548","2,157","-22,656","-1,367","90,548",868,0,"7,766"
,Aviation Gasoline Blend. Comp.,,  - ,  - ,0,0,  - ,21,"-1,664",0,"1,643",139
Finished Petroleum Products,,,  - ,"809,738","514,921","984,945","11,082","1,498",  - ,"20,421","2,298,791","131,883"
,Finished Motor Gasoline,,  - ,"460,911","196,677","531,011","11,082","-6,143",  - ,"2,428","1,203,421","38,930"
,,Reformulated,  - ,"288,890","85,221","93,764","-11,615","-2,646",  - ,422,"458,484","11,727"
,,Conventional,  - ,"172,021","111,456","437,247","22,697","-3,497",  - ,"2,006","744,936","27,203"
,Finished Aviation Gasoline,,  - ,0,659,"1,101",  - ,12,  - ,0,"1,748",91
,Kerosene-Type Jet Fuel,,  - ,"35,374","36,502","173,268",  - ,93,  - ,"2,343","242,708","8,956"
,Kerosene,,  - ,"4,116","2,539",199,  - ,200,  - ,18,"6,636","3,396"
,Distillate Fuel Oile,,  - ,"180,348","106,151","245,740",  - ,"8,255",  - ,"1,127","522,857","58,581"
,,15 ppm sulfur and under,  - ,0,589,294,  - ,221,  - ,0,662,612
,,Greater than 15 ppm to 500 ppm sulfur,  - ,"102,176","45,392","160,053",  - ,"2,278",  - ,416,"304,927","21,163"
,,Greater than 500 ppm sulfur,  - ,"78,172","60,170","85,393",  - ,"5,756",  - ,712,"217,267","36,806"
,Residual Fuel Oilf,,  - ,"38,929","147,101","16,856",  - ,"-2,506",  - ,"6,979","198,413","14,514"
,,Less than 0.31 percent sulfur,  - ,"17,391","28,365","4,147",  - ,255,  - ,  - ,  - ,"4,383"
,,0.31 to 1.00 percent sulfur,  - ,"20,878","48,879","2,280",  - ,"-1,482",  - ,  - ,  - ,"5,871"
,,Greater than 1.00 percent sulfur,  - ,660,"69,857","10,429",  - ,"-1,279",  - ,  - ,  - ,"4,260"
,Petrochemical Feedstocks,,  - ,"4,718","1,376",650,  - ,138,  - ,  - ,"6,606",443
,,Naphtha for Petro. Feed. Use,  - ,"4,718","1,312",992,  - ,138,  - ,  - ,"6,884",443
,,Other Oils for Petro. Feed. Use,  - ,0,64,-342,  - ,0,  - ,  - ,-278,0
,Special Naphthas,,  - ,545,"2,605",130,  - ,50,  - ,83,"3,147",73
,Lubricants,,  - ,"6,215",911,"7,706",  - ,168,  - ,"1,451","13,213","1,988"
,Waxes,,  - ,161,484,0,  - ,2,  - ,551,92,167
,Petroleum Coke,,  - ,"18,039","6,535",  - ,  - ,-139,  - ,"4,346","20,367",34
,,Marketable,  - ,"6,294","6,535",  - ,  - ,-139,  - ,"4,346","8,622",34
,,Catalyst,  - ,"11,745",  - ,  - ,  - ,  - ,  - ,  - ,"11,745",  - 
,Asphalt and Road Oil,,  - ,"35,838","13,381","8,254",  - ,"1,386",  - ,923,"55,164","4,601"
,Still Gas,,  - ,"23,993",  - ,  - ,  - ,  - ,  - ,  - ,"23,993",  - 
,Miscellaneous Products,,  - ,551,0,30,  - ,-18,  - ,173,426,109
Total,,,"14,572","824,861","1,316,138","1,031,466","20,214","-1,852","793,244","26,758","2,389,125","174,914"
