"Table 2.  U.S. Daily Average Supply and Disposition of Crude Oil and Petroleum Products,  2005",,,,,,,,,,
,,      (Thousand Barrels per Day),,,,,,,,
Commodity,,,Supply,,,,Disposition,,,
,,,Field Production,Refinery and Blender Net Production,Imports ,Adjust-mentsa,Stock Changeb,Refinery and Blender Net Inputs,Exports,Products Suppliedc
Crude Oil,,,"5,178",  - ,"10,126",76,129,"15,220",32,0
,Commercial,,"5,178",  - ,"10,074",  - ,104,  - ,32,  - 
,,Alaskan,864,  - ,  - ,  - ,  - ,  - ,  - ,  - 
,,Lower 48 States,"4,314",  - ,0,  - ,0,0,0,  - 
,Strategic Petroleum Reserve (SPR),,  - ,  - ,52,  - ,25,  - ,  - ,  - 
,,Imports by SPR,  - ,  - ,0,  - ,  - ,  - ,  - ,  - 
,,Imports into SPR by Others,  - ,  - ,52,  - ,  - ,  - ,  - ,  - 
Natural Gas Liquids and LRGs,,,"1,717",573,374,  - ,17,441,60,"2,146"
,Pentanes Plus,,266,  - ,47,  - ,2,188,7,116
,Liquefied Petroleum Gases,,"1,451",573,328,  - ,15,253,53,"2,030"
,,Ethane/Ethylene,649,20,1,  - ,10,0,0,660
,,Propane/Propylene,499,540,233,  - ,6,0,37,"1,229"
,,Normal Butane/Butylene,134,43,66,  - ,-2,119,15,110
,,Isobutane/Isobutylene,168,-30,28,  - ,1,134,0,30
Other Liquids,,,  - ,  - ,"1,138",83,2,"1,149",64,6
,Other Hydrocarbons/Oxygenates,,  - ,  - ,46,403,-5,412,42,0
,Unfinished Oils,,  - ,  - ,582,  - ,12,569,0,1
,Motor Gasoline Blend. Comp. (MGBC),,  - ,  - ,510,-320,-5,173,22,0
,,Reformulated,  - ,  - ,90,37,0,128,0,0
,,Conventional,  - ,  - ,420,-357,-5,45,22,0
,Aviation Gasoline Blend. Comp.,,  - ,  - ,0,  - ,0,-5,0,5
Finished Petroleum Products,,,  - ,"17,227","2,075",354,-3,  - ,"1,010","18,650"
,Finished Motor Gasoline,,  - ,"8,318",603,354,-20,  - ,136,"9,159"
,,Reformulated,  - ,"2,898",239,-33,-13,  - ,13,"3,103"
,,Conventional,  - ,"5,419",364,387,-7,  - ,123,"6,056"
,Finished Aviation Gasoline,,  - ,17,2,  - ,0,  - ,0,19
,Kerosene-Type Jet Fuel,,  - ,"1,546",190,  - ,5,  - ,53,"1,679"
,Kerosene,,  - ,66,7,  - ,1,  - ,2,70
,Distillate Fuel Oild,,  - ,"3,954",329,  - ,27,  - ,138,"4,118"
,,15 ppm sulfur and under,  - ,23,4,  - ,1,  - ,0,26
,,Greater than 15 ppm to 500 ppm sulfur,  - ,"2,909",152,  - ,5,  - ,39,"3,017"
,,Greater than 500 ppm sulfur,  - ,"1,022",173,  - ,21,  - ,99,"1,075"
,Residual Fuel Oile,,  - ,628,530,  - ,-14,  - ,251,920
,,Less than 0.31 percent sulfur,  - ,76,93,  - ,1,  - ,  - ,  - 
,,0.31 to 1.00 percent sulfur,  - ,142,175,  - ,-8,  - ,  - ,  - 
,,Greater than 1.00 percent sulfur,  - ,410,262,  - ,-6,  - ,  - ,  - 
,Petrochemical Feedstocks,,  - ,389,310,  - ,1,  - ,  - ,698
,,Naphtha for Petro. Feed. Use,  - ,214,151,  - ,1,  - ,  - ,365
,,Other Oils for Petro. Feed. Use,  - ,174,159,  - ,0,  - ,  - ,333
,Special Naphthas,,  - ,38,14,  - ,-1,  - ,21,33
,Lubricants,,  - ,168,11,  - ,-2,  - ,40,141
,Waxes,,  - ,16,4,  - ,0,  - ,5,16
,Petroleum Coke,,  - ,835,32,  - ,4,  - ,347,515
,,Marketable,  - ,596,32,  - ,4,  - ,347,276
,,Catalyst,  - ,239,  - ,  - ,  - ,  - ,  - ,239
,Asphalt and Road Oil,,  - ,512,43,  - ,-3,  - ,11,546
,Still Gas,,  - ,684,  - ,  - ,  - ,  - ,  - ,684
,Miscellaneous Products,,  - ,59,0,  - ,-1,  - ,6,53
Total,,,"6,895","17,800","13,714",513,145,"16,811","1,165","20,802"
