"Table 32.  Stocks of Crude Oil and Petroleum Products by PAD District,  2005",,,,,,,,,,
,,,,  (Thousand Barrels),,,,,,
,Commodity,,,,PAD Districts,,,,,
,,,,,1,2,3,4,5,U.S. Total
Crude Oil,,,,,"15,019","69,501","856,883","14,054","52,791","1,008,248"
,Refinery,,,,"14,213","14,346","47,564","2,344","21,862","100,329"
,"Tank Farms and Pipelines (Includes Cushing, OK)",,,,762,"54,265","111,331","10,723","23,497","200,578"
,,"Cushing, Oklahoma",,,-,"21,777",-,-,-,-
,Leases,,,,44,890,"13,444",987,688,"16,053"
,Strategic Petroleum Reservea ,,,,0,0,"684,544",0,0,"684,544"
,Alaskan In Transit,,,,0,0,0,0,"6,744","6,744"
"Total Stocks, All Oils (excluding Crude Oil)b",,,,,"159,895","152,185","269,411","16,323","91,542","689,356"
,Refinery,,,,"28,504","46,683","116,545","10,579","53,929","256,240"
,Bulk Terminal,,,,"102,311","63,206","92,682","2,412","28,051","288,662"
,Pipeline,,,,"29,008","41,720","57,306","3,182","9,452","140,668"
,Natural Gas Processing Plant ,,,,72,576,"2,878",150,110,"3,786"
Pentanes Plus,,,,,32,"2,190","5,562",171,95,"8,050"
,,Refinery,,,0,642,596,15,0,"1,253"
,,Bulk Terminal,,,0,991,"2,792",1,84,"3,868"
,,Pipeline,,,0,396,"1,649",108,0,"2,153"
,,Natural Gas Processing Plant ,,,32,161,525,47,11,776
Liquefied Petroleum Gases,,,,,"5,357","28,105","71,424","1,382","3,094","109,362"
,,Refinery,,,"1,138","2,953","6,353",373,"1,268","12,085"
,,Bulk Terminal,,,"2,336","17,652","45,490",158,"1,727","67,363"
,,Pipeline,,,"1,843","7,085","17,228",748,0,"26,904"
,,Natural Gas Processing Plant ,,,40,415,"2,353",103,99,"3,010"
,Ethane/Ethylene,,,,0,"2,622","21,727",323,0,"24,672"
,,Refinery,,,0,0,219,0,0,219
,,Bulk Terminal,,,0,"1,130","17,161",0,0,"18,291"
,,,Ethylene,,0,0,216,0,0,216
,,Pipeline,,,0,"1,417","3,824",321,0,"5,562"
,,Natural Gas Processing Plant ,,,0,75,523,2,0,600
,Propane/Propylene,,,,"4,276","18,009","33,020",530,"1,396","57,231"
,,Refinery,,,338,"1,256","1,791",89,136,"3,610"
,,Bulk Terminal,,,"2,193","12,671","21,059",158,"1,231","37,312"
,,,Nonfuel Use,,0,63,"3,796",0,0,"3,859"
,,Pipeline,,,"1,719","3,894","9,467",233,0,"15,313"
,,Natural Gas Processing Plant ,,,26,188,703,50,29,996
,Normal Butane/Butylene,,,,866,"5,636","12,714",371,"1,280","20,867"
,,Refinery,,,587,"1,303","3,281",211,837,"6,219"
,,Bulk Terminal,,,143,"2,992","5,570",0,419,"9,124"
,,,Refinery Grade Butane,,0,652,"2,589",0,0,"3,241"
,,Pipeline,,,124,"1,226","3,062",124,0,"4,536"
,,Natural Gas Processing Plant ,,,12,115,801,36,24,988
,Isobutane/Isobutylene,,,,215,"1,838","3,963",158,418,"6,592"
,,Refinery,,,213,394,"1,062",73,295,"2,037"
,,Bulk Terminal,,,0,859,"1,700",0,77,"2,636"
,,Pipeline,,,0,548,875,70,0,"1,493"
,,Natural Gas Processing Plant ,,,2,37,326,15,46,426
Other Hydrocarbons/Hydrogen/Oxygenates,,,,,"1,715","2,619","2,556",89,"1,865","8,844"
,,Refinery,,,512,47,"1,120",48,39,"1,766"
,,Bulk Terminal,,,"1,203","2,572","1,436",41,"1,662","6,914"
,,Pipeline,,,0,0,0,0,164,164
,Other Hydrocarbons/Hydrogen,,,,0,28,4,0,13,45
,,Refinery,,,0,28,4,0,13,45
,Fuel Ethanol,,,,897,"2,591",134,89,"1,852","5,563"
,,Refinery,,,0,19,16,48,26,109
,,Bulk Terminalc,,,897,"2,572",118,41,"1,662","5,290"
,,Pipeline,,,0,0,0,0,164,164
,MTBE,,,,818,0,"2,089",0,0,"2,907"
,,Refinery,,,512,0,"1,093",0,0,"1,605"
,,Bulk Terminald,,,306,0,996,0,0,"1,302"
,,Pipeline,,,0,0,0,0,0,0
,Other Oxygenatese,,,,0,0,329,0,0,329
,,Refinery,,,0,0,7,0,0,7
,,Bulk Terminald,,,0,0,322,0,0,322
,,Pipeline,,,0,0,0,0,0,0
Unfinished Oils,,,,,"8,145","12,198","42,967","3,005","19,408","85,723"
,Naphthas and Lighter,,,,"1,523","3,464","9,634",617,"3,532","18,770"
,,Refinery,,,"1,257","3,464","9,351",617,"3,511","18,200"
,,Bulk Terminal,,,266,0,283,0,21,570
,Kerosene and Light Gas Oils,,,,"1,943","2,130","7,206",486,"3,338","15,103"
,,Refinery,,,"1,919","2,130","7,088",486,"3,338","14,961"
,,Bulk Terminal,,,24,0,118,0,0,142
,Heavy Gas Oils,,,,"2,740","4,060","18,383","1,264","9,650","36,097"
,,Refinery,,,"2,740","4,060","17,778","1,264","9,650","35,492"
,,Bulk Terminal,,,0,0,605,0,0,605
,Residuum ,,,,"1,939","2,544","7,744",638,"2,888","15,753"
,,Refinery,,,"1,938","2,523","7,744",638,"2,888","15,731"
,,Bulk Terminal,,,1,21,0,0,0,22
Motor Gasoline Blending Components,,,,,"12,624","14,572","20,500","1,580","23,244","72,520"
,Refinery,,,,"4,334","7,701","14,321","1,488","13,646","41,490"
,Bulk Terminal,,,,"7,414","4,202","5,011",92,"5,651","22,370"
,Pipeline,,,,876,"2,669","1,168",0,"3,947","8,660"
,Reformulated,,,,"4,858","5,293","2,092",0,"12,650","24,893"
,,Refinery,,,772,"1,268",632,0,"5,891","8,563"
,,Bulk Terminal,,,"3,648","3,043",703,0,"4,737","12,131"
,,Pipeline,,,438,982,757,0,"2,022","4,199"
,,GTAB,,,"1,082",0,0,0,0,"1,082"
,,,Refinery,,0,0,0,0,0,0
,,,Bulk Terminal,,"1,082",0,0,0,0,"1,082"
,,,Pipeline,,0,0,0,0,0,0
,,RBOB for Blending with Ether,,,104,0,0,0,0,104
,,,Refinery,,0,0,0,0,0,0
,,,Bulk Terminal,,104,0,0,0,0,104
,,,Pipeline,,0,0,0,0,0,0
,,RBOB for Blending with Alcohol,,,"3,672","5,293","2,092",0,"12,650","23,707"
,,,Refinery,,772,"1,268",632,0,"5,891","8,563"
,,,Bulk Terminal,,"2,462","3,043",703,0,"4,737","10,945"
,,,Pipeline,,438,982,757,0,"2,022","4,199"
,Conventional,,,,"7,766","9,279","18,408","1,580","10,594","47,627"
,,Refinery,,,"3,562","6,433","13,689","1,488","7,755","32,927"
,,Bulk Terminal,,,"3,766","1,159","4,308",92,914,"10,239"
,,Pipeline,,,438,"1,687",411,0,"1,925","4,461"
,,CBOB,,,13,"2,950",683,0,"1,059","4,705"
,,,Refinery,,0,"1,108",229,0,542,"1,879"
,,,Bulk Terminal,,13,"1,120",131,0,170,"1,434"
,,,Pipeline,,0,722,323,0,347,"1,392"
,,GTAB,,,732,34,0,0,278,"1,044"
,,,Refinery,,0,0,0,0,0,0
,,,Bulk Terminal,,732,34,0,0,278,"1,044"
,,,Pipeline,,0,0,0,0,0,0
,,Other,,,"7,021","6,295","17,725","1,580","9,257","41,878"
,,,Refinery,,"3,562","5,325","13,460","1,488","7,213","31,048"
,,,Bulk Terminal,,"3,021",5,"4,177",92,466,"7,761"
