"Table 8.  PAD District 3 -- Daily Average Supply and Disposition of Crude Oil and Petroleum Products,  2005",,,,,,,,,,,
,,      (Thousand Barrels per Day),,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd
Crude Oil,,,"2,804",  - ,"6,125","-1,796",66,99,"7,098",2,0
,Commercial,,"2,804",  - ,"6,074",  - ,66,75,"7,098",2,  - 
,Strategic Petroleum Reserve (SPR),,  - ,  - ,52,  - ,  - ,25,  - ,  - ,  - 
,,Imports by SPR,  - ,  - ,0,  - ,  - ,  - ,  - ,  - ,  - 
,,Imports into SPR by Others,  - ,  - ,52,  - ,  - ,  - ,  - ,  - ,  - 
Natural Gas Liquids and LRGs,,,"1,123",354,189,10,  - ,26,235,22,"1,393"
,Pentanes Plus,,163,  - ,45,-8,  - ,2,105,0,93
,Liquefied Petroleum Gases,,959,354,144,18,  - ,23,130,22,"1,300"
,,Ethane/Ethylene,450,20,0,131,  - ,12,0,0,589
,,Propane/Propylene,320,321,78,-112,  - ,11,0,20,577
,,Normal Butane/Butylene,67,23,44,4,  - ,-2,56,2,82
,,Isobutane/Isobutylene,121,-9,21,-6,  - ,2,74,0,53
Other Liquids,,,  - ,  - ,509,-199,146,1,394,51,10
,Other Hydrocarbons/Oxygenates,,  - ,  - ,6,0,123,-4,102,31,0
,Unfinished Oils,,  - ,  - ,414,-19,  - ,7,377,0,11
,Motor Gasoline Blend. Comp. (MGBC),,  - ,  - ,89,-180,24,-2,-85,20,0
,,Reformulated,  - ,  - ,2,-126,16,1,-110,0,0
,,Conventional,  - ,  - ,87,-54,8,-3,24,20,0
,Aviation Gasoline Blend. Comp.,,  - ,  - ,0,0,  - ,0,0,0,0
Finished Petroleum Products,,,  - ,"7,880",472,"-3,862",-21,2,  - ,703,"3,763"
,Finished Motor Gasoline,,  - ,"3,525",37,"-2,087",-21,-2,  - ,119,"1,337"
,,Reformulated,  - ,631,5,-284,-15,-6,  - ,9,334
,,Conventional,  - ,"2,894",32,"-1,803",-6,4,  - ,111,"1,003"
,Finished Aviation Gasoline,,  - ,11,0,-6,  - ,0,  - ,0,5
,Kerosene-Type Jet Fuel,,  - ,764,17,-632,  - ,1,  - ,24,124
,Kerosene,,  - ,41,0,0,  - ,0,  - ,2,39
,Distillate Fuel Oil,,  - ,"1,834",11,"-1,022",  - ,5,  - ,106,712
,,15 ppm sulfur and under,  - ,7,0,-5,  - ,0,  - ,0,3
,,Greater than 15 ppm to 500 ppm sulfur,  - ,"1,326",10,-721,  - ,4,  - ,28,582
,,Greater than 500 ppm sulfur,  - ,501,2,-296,  - ,2,  - ,78,127
,Residual Fuel Oile,,  - ,295,78,-43,  - ,-1,  - ,176,155
,,Less than 0.31 percent sulfur,  - ,20,8,-11,  - ,0,  - ,  - ,  - 
,,0.31 to 1.00 percent sulfur,  - ,32,35,-6,  - ,-1,  - ,  - ,  - 
,,Greater than 1.00 percent sulfur,  - ,243,36,-26,  - ,-1,  - ,  - ,  - 
,Petrochemical Feedstocks,,  - ,328,302,-4,  - ,1,  - ,  - ,626
,,Naphtha for Petro. Feed. Use,  - ,174,144,-2,  - ,0,  - ,  - ,316
,,Other Oils for Petro. Feed. Use,  - ,154,158,-2,  - ,0,  - ,  - ,309
,Special Naphthas,,  - ,29,6,-3,  - ,-1,  - ,9,24
,Lubricants,,  - ,118,5,-35,  - ,-1,  - ,29,61
,Waxes,,  - ,10,0,0,  - ,0,  - ,2,9
,Petroleum Coke,,  - ,449,14,  - ,  - ,2,  - ,231,230
,,Marketable,  - ,336,14,  - ,  - ,2,  - ,231,117
,,Catalyst,  - ,113,  - ,  - ,  - ,  - ,  - ,  - ,113
,Asphalt and Road Oil,,  - ,123,1,-29,  - ,-1,  - ,1,96
,Still Gas,,  - ,320,  - ,  - ,  - ,  - ,  - ,  - ,320
,Miscellaneous Products,,  - ,31,0,0,  - ,0,  - ,5,26
Total,,,"3,927","8,234","7,295","-5,847",192,128,"7,728",777,"5,166"
